"i","j","G_mu_hat","G_mu_true","n_ave"
1,1,0.450226959850637,0.318416009702165,1
2,1,0.443788886559047,0.319819097276706,1
3,1,0.433890830915996,0.319312591991187,1
4,1,0.421068043130513,0.316909667751023,1
5,1,0.406026270252662,0.312641016614717,1
6,1,0.389589987642556,0.306554393190662,1
7,1,0.372624885000029,0.298713938730853,1
8,1,0.355935463481746,0.289199295276253,1
9,1,0.340145911129431,0.278104523328215,1
10,1,0.325583106697484,0.265536839429517,1
11,1,0.312191020655046,0.251615192692036,1
12,1,0.299509202910189,0.236468701664787,1
13,1,0.286738155222108,0.220234974959491,1
14,1,0.272890836040197,0.203058340709892,1
15,1,0.257000680678532,0.185088011210148,1
16,1,0.238335353616659,0.166476209937487,1
17,1,0.216561435721996,0.14737628860202,1
18,1,0.191819101716922,0.127940861875808,1
19,1,0.164691123806745,0.108319987034475,1
20,1,0.13607857867478,0.0886594149050172,1
21,1,0.107018820580961,0.0690989372666173,1
22,1,0.0784939026684287,0.0497708542175871,1
23,1,0.0512764560186607,0.0307985830270122,1
24,1,0.0258455437185874,0.0122954276663055,1
25,1,0.00238197176416854,-0.00563647439942618,1
26,1,-0.0191712647742584,-0.0229070144459011,1
27,1,-0.0390144644174348,-0.039438773106239,1
28,1,-0.0573985160508373,-0.0551674719524325,1
29,1,-0.0745624673357265,-0.0700422119563469,1
30,1,-0.0907139439468949,-0.08402549812913,1
31,1,-0.106046783393516,-0.0970930530211307,1
32,1,-0.120775924880165,-0.109233425093242,1
33,1,-0.13516370493612,-0.120447401192478,1
34,1,-0.14951595387319,-0.130747235428817,1
35,1,-0.164139087583777,-0.140155709608694,1
36,1,-0.179266174618187,-0.148705042988002,1
37,1,-0.194974456528808,-0.156435671423248,1
38,1,-0.211123255397712,-0.163394917987197,1
39,1,-0.227336830548668,-0.169635578743961,1
40,1,-0.243043137108241,-0.175214448622651,1
41,1,-0.257561966627183,-0.180190813169156,1
42,1,-0.270221361737923,-0.184624932379506,1
43,1,-0.280474611354803,-0.188576542819407,1
44,1,-0.287992926636663,-0.192103403813311,1
45,1,-0.29271849450018,-0.195259912650066,1
46,1,-0.294874239274231,-0.198095812514414,1
47,1,-0.294935982172755,-0.200655015234596,1
48,1,-0.293577758933618,-0.202974558962114,1
49,1,-0.291602209539131,-0.205083718602206,1
50,1,-0.289866740051605,-0.207003284229542,1
1,2,0.443788886559046,0.319819097276706,1
2,2,0.43997590657956,0.325434327439245,1
3,2,0.432810304463409,0.329093813744514,1
4,2,0.422769655726044,0.330770192066737,1
5,2,0.410477307498217,0.33045471691617,1
6,2,0.396656910786117,0.328157329538459,1
7,2,0.382067938189203,0.323906481536679,1
8,2,0.367423293788944,0.317748716874948,1
9,2,0.353294748534272,0.309748018734543,1
10,2,0.340019140321651,0.299984931203743,1
11,2,0.327626149802966,0.288555469136922,1
12,2,0.315812537211877,0.275569832664327,1
13,2,0.303982751083754,0.261150945722829,1
14,2,0.291359710526541,0.245432840564877,1
15,2,0.2771467182086,0.228558912447785,1
16,2,0.260701718817844,0.210680070573833,1
17,2,0.241678045068125,0.191952812814522,1
18,2,0.220094828021333,0.172537252787418,1
19,2,0.196321389568182,0.152595128445677,1
20,2,0.170984956562328,0.132287821479793,1
21,2,0.144831625682069,0.111774416516846,1
22,2,0.118580803813266,0.0912098283399996,1
23,2,0.09281100000013,0.0707430241527953,1
24,2,0.0679013762412034,0.0505153662983291,1
25,2,0.0440338555710821,0.0306590988385104,1
26,2,0.021241666936078,0.0112959990354458,1
27,2,-0.000521817954860337,-0.00746378790690984,1
28,2,-0.0213219081872879,-0.0255227154446079,1
29,2,-0.0412091514057929,-0.0427965914358076,1
30,2,-0.0602198878349213,-0.0592151141932826,1
31,2,-0.078402593666645,-0.074722183517975,1
32,2,-0.0958515992550031,-0.0892759849564351,1
33,2,-0.112726983222397,-0.10284884911247,1
34,2,-0.129244773132669,-0.115426891389478,1
35,2,-0.145633137774126,-0.127009440988844,1
36,2,-0.162064028468,-0.137608271287083,1
37,2,-0.178580714646628,-0.147246646808245,1
38,2,-0.195045593427936,-0.155958204849793,1
39,2,-0.211127796680265,-0.16378569236512,1
40,2,-0.226338197325537,-0.170779580914216,1
41,2,-0.240104997738198,-0.176996584331151,1
42,2,-0.251871589372155,-0.182498105194404,1
43,2,-0.261193698679442,-0.187348637201397,1
44,2,-0.267815747664909,-0.191614151126149,1
45,2,-0.271714481312879,-0.195360492170334,1
46,2,-0.273107289657349,-0.198651816201403,1
47,2,-0.272429910365106,-0.201549091612525,1
48,2,-0.270291954785053,-0.204108692350368,1
49,2,-0.267419471622261,-0.20638110605755,1
50,2,-0.264592877028097,-0.208409779292834,1
1,3,0.433890830915993,0.319312591991187,1
2,3,0.43281030446341,0.329093813744514,1
3,3,0.428511625733446,0.336891384693649,1
4,3,0.421420178223264,0.342637687933701,1
5,3,0.412083107152918,0.346284583795015,1
6,3,0.401128793692576,0.34780400137366,1
7,3,0.3892127637234,0.347188265028986,1
8,3,0.376951710499518,0.344450151157759,1
9,3,0.364850024005828,0.339622674603175,1
10,3,0.353227568630651,0.332758608114963,1
11,3,0.342162646203688,0.32392974228064,1
12,3,0.331467575585439,0.313225897235386,1
13,3,0.320712387017133,0.300753701168637,1
14,3,0.309302200951812,0.286635154121365,1
15,3,0.296597448268718,0.271005998755421,1
16,3,0.28204957927596,0.254013922625485,1
17,3,0.2653165144536,0.23581661895116,1
18,3,0.246326720531039,0.216579734933259,1
19,3,0.225276947854125,0.196474738252887,1
20,3,0.202569582074959,0.175676733510108,1
21,3,0.17871312964444,0.154362260983719,1
22,3,0.154217705538757,0.132707110215919,1
23,3,0.12951463636099,0.110884180543964,1
24,3,0.104917519797016,0.0890614198220018,1
25,3,0.0806261956705479,0.0673998712144278,1
26,3,0.0567609154184293,0.0460518561194783,1
27,3,0.0334062014704108,0.0251593190273669,1
28,3,0.0106443825665151,0.00485235746725913,1
29,3,-0.0114336401300185,-0.0147520428062108,1
30,3,-0.0327417013541665,-0.0335510505455579,1
31,3,-0.0532265947821844,-0.0514567963836104,1
32,3,-0.0728957609415071,-0.0683969353282805,1
33,3,-0.0918287018773584,-0.0843149587570833,1
34,3,-0.11016196684365,-0.0991702542624691,1
35,3,-0.12804709617392,-0.112937915685051,1
36,3,-0.145591234464871,-0.125608309608021,1
37,3,-0.162797634027904,-0.137186408410375,1
38,3,-0.179525127391007,-0.147690903628833,1
39,3,-0.195480940190785,-0.157153116800918,1
40,3,-0.21025151566625,-0.165615728100917,1
41,3,-0.223364883309099,-0.173131345886964,1
42,3,-0.234369593079062,-0.179760942707275,1
43,3,-0.242912161777843,-0.185572185328741,1
44,3,-0.248797702880307,-0.190637687920023,1
45,3,-0.252024903400353,-0.195033218619868,1
46,3,-0.25279364148922,-0.198835890332512,1
47,3,-0.251488805409388,-0.202122366706774,1
48,3,-0.248646428053611,-0.204967113872325,1
49,3,-0.244908694057925,-0.207440727632425,1
50,3,-0.24097381692193,-0.209608364461348,1
1,4,0.421068043130515,0.316909667751023,1
2,4,0.422769655726045,0.330770192066737,1
3,4,0.421420178223264,0.342637687933701,1
4,4,0.417396081753961,0.352405087657159,1
5,4,0.411172539931276,0.359985405888554,1
6,4,0.403287168570256,0.365312846811326,1
7,4,0.394294367317192,0.368343629652249,1
8,4,0.384712535144382,0.36905652033666,1
9,4,0.37496793289003,0.367453061529767,1
10,4,0.365341225822879,0.363557497849849,1
11,4,0.355925570291984,0.357416397631938,1
12,4,0.346607347886629,0.349097977190735,1
13,4,0.337080114581994,0.338691138007989,1
14,4,0.326896863464611,0.326304231582515,1
15,4,0.315555169270199,0.312063570763295,1
16,4,0.302597580562203,0.296111710174206,1
17,4,0.287701712585673,0.278605521773842,1
18,4,0.270735855536129,0.259714094622386,1
19,4,0.251766966444192,0.239616490502509,1
20,4,0.231023939451018,0.21849938912306,1
21,4,0.208833043363345,0.196554658190684,1
22,4,0.185548919482946,0.173976884641809,1
23,4,0.16150191298126,0.150960903770309,1
24,4,0.136972965834522,0.127699362858429,1
25,4,0.112195333213884,0.104380355222777,1
26,4,0.0873727551641687,0.0811851593349917,1
27,4,0.0626996317733024,0.0582861158883611,1
28,4,0.0383708987828957,0.0358446733859031,1
29,4,0.0145759592645743,0.0140096300589659,1
30,4,-0.00852090449640835,-0.00708440326777284,1
31,4,-0.0308048446866695,-0.0273182983181013,1
32,4,-0.0522280686092424,-0.0465894453544612,1
33,4,-0.0728110256038718,-0.0648125170042287,1
34,4,-0.0926226064260588,-0.0819199512479812,1
35,4,-0.111741776225544,-0.097862149357322,1
