date,open,high,low,close,volume,amount,outstanding_share,turnover,pct_change,MA_5,MA_20
1995-03-20,10.0,10.1,8.68,8.69,7272400.0,65356288.0,14000000.0,0.5194571428571428,,,
1995-03-21,8.4,8.5,8.04,8.3,2520100.0,20689919.0,14000000.0,0.18000714285714287,-4.487917146144982,,
1995-03-22,8.3,8.63,8.15,8.6,2991300.0,25223002.0,14000000.0,0.21366428571428572,3.6144578313252795,,
1995-03-23,8.68,8.7,8.36,8.39,1621800.0,13860979.0,14000000.0,0.11584285714285714,-2.4418604651162634,,
1995-03-24,8.3,8.51,8.25,8.48,869700.0,7261582.0,14000000.0,0.06212142857142857,1.0727056019070202,8.492,
1995-03-27,8.4,8.49,8.3,8.4,1072400.0,9012656.0,14000000.0,0.0766,-0.9433962264150941,8.434000000000001,
1995-03-28,8.4,8.4,8.21,8.25,749000.0,6196883.0,14000000.0,0.0535,-1.7857142857142905,8.424,
1995-03-29,8.25,8.38,8.16,8.35,568900.0,4684650.0,14000000.0,0.04063571428571429,1.2121212121211977,8.373999999999999,
1995-03-30,8.35,8.45,8.18,8.21,815400.0,6808912.0,14000000.0,0.058242857142857145,-1.6766467065868151,8.338000000000001,
1995-03-31,8.15,8.35,8.15,8.28,426500.0,3511797.0,14000000.0,0.030464285714285715,0.8526187576126443,8.298,
1995-04-03,8.3,8.31,8.18,8.26,569700.0,4705427.0,14000000.0,0.04069285714285714,-0.24154589371979673,8.27,
1995-04-04,8.2,8.33,8.17,8.31,629300.0,5177060.0,14000000.0,0.04495,0.6053268765133346,8.282,
1995-04-05,8.3,8.4,8.18,8.18,461300.0,3830522.0,14000000.0,0.03295,-1.564380264741283,8.248000000000001,
1995-04-06,8.17,8.4,8.14,8.32,287500.0,2368634.0,14000000.0,0.020535714285714286,1.7114914425427896,8.27,
1995-04-07,8.32,9.15,8.28,9.0,3571300.0,31681758.0,14000000.0,0.2550928571428571,8.173076923076916,8.414,
1995-04-10,9.15,9.55,9.1,9.32,3704900.0,34620962.0,14000000.0,0.2646357142857143,3.5555555555555562,8.626000000000001,
1995-04-11,9.32,9.32,8.69,8.7,2198100.0,19620142.0,14000000.0,0.15700714285714285,-6.6523605150214715,8.703999999999999,
1995-04-12,8.6,8.98,8.51,8.82,1098200.0,9638947.0,14000000.0,0.07844285714285715,1.379310344827589,8.831999999999999,
1995-04-13,8.8,8.9,8.58,8.6,604900.0,5270726.0,14000000.0,0.043207142857142854,-2.4943310657596474,8.888,
1995-04-14,8.41,8.75,8.41,8.73,441100.0,3816187.0,14000000.0,0.03150714285714286,1.5116279069767424,8.834,8.5095
1995-04-17,8.73,8.79,8.6,8.62,295100.0,2554063.0,14000000.0,0.02107857142857143,-1.2600229095074633,8.693999999999999,8.506
1995-04-18,8.57,8.67,8.5,8.5,276400.0,2365820.0,14000000.0,0.019742857142857142,-1.3921113689094988,8.654,8.516
1995-04-19,8.5,8.66,8.5,8.66,259300.0,2232000.0,14000000.0,0.01852142857142857,1.8823529411764683,8.622,8.519
1995-04-20,8.73,8.85,8.6,8.82,456500.0,3980428.0,14000000.0,0.032607142857142855,1.8475750577367167,8.666,8.5405
1995-04-21,8.8,8.8,8.55,8.56,564500.0,4893668.0,14000000.0,0.04032142857142857,-2.947845804988658,8.632,8.5445
1995-04-24,8.46,8.49,8.18,8.23,500200.0,4157000.0,14000000.0,0.03572857142857143,-3.855140186915884,8.553999999999998,8.536
1995-04-25,8.15,8.27,8.08,8.25,398200.0,3252957.0,14000000.0,0.02844285714285714,0.2430133657351119,8.504,8.536
