date,sh600588_daily,sh601360_daily,sh688030_daily,sh688036_daily,sh688039_daily,sh688051_daily,sh688058_daily,sh688060_daily,sh688061_daily,sh688078_daily,sh688080_daily,sh688083_daily,sh688088_daily,sh688090_daily,sh688095_daily,sh688100_daily,sh688109_daily,sh688111_daily,sh688118_daily,sh688152_daily,sh688158_daily,sh688169_daily,sh688188_daily,sh688228_daily,sh688500_daily,sh688568_daily,sh688579_daily,sh688588_daily,sh688589_daily,sh688618_daily,sh688777_daily,sz000004_daily,sz000009_daily,sz000034_daily,sz000063_daily,sz000066_daily,sz000070_daily,sz000158_daily,sz000409_daily,sz000503_daily,sz000938_daily,sz000977_daily,sz300002_daily,sz300018_daily,sz300020_daily,sz300025_daily,sz300036_daily,sz300042_daily,sz300044_daily,sz300047_daily,sz300050_daily,sz300051_daily,sz300061_daily,sz300074_daily,sz300075_daily,sz300078_daily,sz300096_daily,sz300098_daily,sz300130_daily
2023-04-21,1276.57,32.85,23.99,106.0,62.21,38.39,75.43,57.64,80.13,45.55,64.39,293.56,34.65,26.88,154.79,27.82,36.46,450.72,26.01,183.89,22.71,442.75,259.98,52.96,28.87,84.56,16.81,16.03,46.76,93.85,94.7,78.7,110.34,91.6,636.62,144.19,32.15,21.81,19.81,105.98,229.97,292.06,187.85,38.41,56.71,75.88,117.7,94.89,29.5,39.17,35.71,64.94,37.12,53.1,207.95,67.26,32.28,55.88,109.85
2023-04-24,1239.68,34.08,23.24,108.47,62.67,36.96,72.98,58.36,77.18,44.69,64.88,274.37,34.57,26.2,152.84,27.85,37.16,442.87,25.39,177.24,22.37,430.02,253.79,51.71,28.62,83.11,16.59,16.29,47.09,97.99,92.51,80.56,107.91,91.04,662.04,143.26,32.82,21.54,20.19,107.25,235.49,312.26,194.81,37.89,57.26,79.54,115.56,92.66,29.35,39.01,35.71,65.95,39.86,52.43,219.9,66.49,31.97,55.57,111.91
2023-04-25,1211.73,36.38,22.44,105.37,59.02,35.54,69.54,55.91,72.68,42.45,61.84,269.54,32.92,25.5,146.85,29.29,30.99,448.5,24.58,174.54,21.71,427.43,259.76,49.94,28.13,81.92,15.76,15.58,44.36,106.94,91.39,76.54,104.88,89.67,642.19,138.86,30.72,21.07,19.76,103.65,229.26,312.92,215.83,36.83,58.15,80.58,113.26,89.35,28.43,38.17,34.13,64.88,39.59,50.82,224.9,64.46,31.2,53.88,110.42
2023-04-28,1207.82,32.82,22.34,112.73,57.58,35.79,75.57,56.64,69.65,44.89,71.64,274.76,36.26,28.03,243.54,30.97,35.71,442.87,25.67,179.92,19.77,428.69,278.03,48.4,21.59,81.82,16.29,16.0,45.48,96.22,97.11,78.18,107.81,83.24,620.08,134.34,29.26,20.45,20.14,104.33,209.66,273.06,212.28,40.79,64.82,88.45,113.53,89.7,29.19,41.21,34.55,69.91,40.4,55.25,179.67,62.94,32.8,54.03,126.72
2023-05-08,1190.49,31.22,22.33,119.45,56.58,34.77,85.08,55.23,66.78,45.29,63.42,295.32,34.51,28.15,212.11,29.43,35.55,442.67,24.72,182.0,19.37,428.09,284.27,48.76,14.99,82.05,18.4,15.77,42.31,92.35,98.64,79.52,109.13,83.71,600.59,134.11,24.63,21.28,20.09,113.28,205.91,253.93,205.79,40.86,68.18,77.08,111.28,83.27,29.96,43.52,34.8,69.28,39.0,55.52,215.68,66.24,34.7,54.95,146.64
2023-05-09,1173.73,32.85,21.85,123.27,55.78,35.0,84.2,55.27,65.01,45.18,61.02,270.4,34.72,27.56,223.71,28.17,35.29,448.06,23.72,179.3,19.14,430.44,278.69,47.86,14.07,78.32,17.83,15.79,40.82,88.77,100.66,75.57,106.6,82.8,577.26,132.03,23.93,20.8,19.55,114.35,202.87,256.85,185.69,40.2,70.25,75.17,109.3,81.04,29.57,43.05,33.63,67.71,37.93,54.31,207.66,63.2,33.57,54.49,160.6
2023-05-10,1166.46,31.84,21.69,126.19,56.44,34.07,83.29,54.97,65.3,44.82,60.52,277.17,36.32,27.56,229.74,28.62,37.92,422.05,23.96,175.59,19.19,450.47,294.93,48.17,14.6,76.96,16.55,15.79,40.98,88.81,99.72,76.09,109.53,81.23,559.16,130.17,24.0,20.66,19.6,117.94,196.92,239.71,178.88,41.05,67.08,77.4,109.14,82.82,29.04,42.89,33.96,66.64,38.25,54.04,209.49,62.94,33.82,54.18,163.72
2023-05-11,1153.05,30.23,21.65,120.91,57.02,33.64,84.4,55.72,65.68,44.32,58.49,272.13,37.53,27.49,226.65,28.6,43.7,422.36,23.96,172.0,18.81,446.18,287.71,47.22,15.03,74.73,16.1,15.73,41.21,88.98,98.84,79.0,109.43,79.39,551.5,129.71,23.72,20.33,19.6,118.72,191.62,234.79,182.9,41.45,66.19,81.77,108.07,88.49,29.65,42.68,34.46,69.15,38.84,55.12,199.01,62.43,33.67,54.8,156.84
2023-05-12,1131.75,30.63,21.55,118.93,60.47,33.92,83.16,54.75,63.96,43.6,58.39,271.4,36.7,27.38,215.51,28.36,41.73,417.8,24.1,173.11,18.56,444.01,282.76,46.84,15.08,73.48,16.08,15.82,40.61,87.55,95.55,79.37,110.04,79.32,540.53,127.16,23.2,20.09,19.32,120.86,188.36,235.92,171.93,40.99,63.92,79.07,107.16,85.05,28.66,42.45,33.79,68.15,37.82,54.71,190.5,61.04,33.21,53.42,157.34
2023-05-15,1150.81,31.06,21.59,119.97,56.25,33.32,78.57,54.52,64.43,44.27,57.9,270.47,35.1,28.84,213.66,28.23,40.91,417.52,23.48,174.99,18.64,450.95,285.2,47.56,15.24,73.43,15.13,15.64,41.42,89.64,99.53,80.19,113.37,78.91,545.93,128.09,23.51,19.86,19.51,118.43,192.18,238.58,171.0,42.11,64.95,77.08,105.88,80.6,28.36,41.45,33.54,67.21,37.33,54.04,187.54,61.55,32.54,53.26,148.98
