date,sh600099_daily,sh600100_daily,sh600101_daily,sh600103_daily,sh600105_daily,sh600107_daily,sh600110_daily,sh600116_daily,sh600131_daily,sh600150_daily,sh600151_daily,sh600152_daily,sh600163_daily,sh600169_daily,sh600172_daily,sh600176_daily,sh600182_daily,sh600184_daily,sh600690_daily,sh600893_daily,sh600900_daily,sh601012_daily,sh601218_daily,sh688001_daily,sh688003_daily,sh688005_daily,sh688006_daily,sh688010_daily,sh688011_daily,sh688012_daily,sh688016_daily,sh688017_daily,sh688022_daily,sh688025_daily,sh688026_daily,sh688037_daily,sh688041_daily,sh688047_daily,sh688048_daily,sh688049_daily,sh688052_daily,sh688055_daily,sh688056_daily,sh688070_daily,sh688072_daily,sh688092_daily,sh688097_daily,sh688113_daily,sh688121_daily,sh688125_daily,sh688128_daily,sh688155_daily,sh688218_daily,sh688308_daily,sh688330_daily,sh688390_daily,sh688396_daily,sh688418_daily,sh688499_daily,sh688516_daily,sh688518_daily,sh688556_daily,sh688559_daily,sh688567_daily,sh688577_daily,sh688599_daily,sh688600_daily,sh688628_daily,sh688676_daily,sh688686_daily,sh688696_daily,sh688698_daily,sh688700_daily,sh688768_daily,sh688819_daily,sz000026_daily,sz000151_daily,sz000157_daily,sz000333_daily,sz000400_daily,sz000404_daily,sz000410_daily,sz000425_daily,sz000488_daily,sz000521_daily,sz000651_daily,sz300022_daily,sz300029_daily,sz300035_daily,sz300062_daily,sz300066_daily,sz300068_daily,sz300069_daily,sz300073_daily,sz300080_daily,sz300084_daily,sz300093_daily,sz300095_daily,sz300097_daily,sz300103_daily,sz300105_daily,sz300111_daily,sz300112_daily,sz300118_daily,sz300124_daily,sz300125_daily,sz300126_daily,sz300129_daily,sz300274_daily,sz300750_daily
2023-04-21,22.01,185.4,64.58,13.29,78.78,14.42,102.55,57.37,101.26,81.72,40.55,33.37,12.12,24.53,44.74,260.8,17.06,39.58,1004.71,159.87,72.5,719.98,8.98,34.95,40.92,67.49,43.51,30.35,24.13,184.0,187.08,166.74,53.23,49.11,29.98,292.35,91.39,152.0,112.02,37.26,305.67,4.66,49.52,42.34,409.0,27.17,29.09,49.75,37.57,51.8,23.68,55.09,17.33,65.97,62.52,384.59,58.03,18.02,118.68,249.03,28.17,93.41,46.26,21.0,49.1,48.47,25.41,44.2,34.41,235.13,267.34,26.66,87.88,142.85,33.13,105.53,37.74,504.39,277.39,166.65,28.22,19.17,315.19,48.84,41.32,8633.79,18.17,8.28,128.96,39.34,110.79,53.12,24.12,233.71,13.92,27.92,57.92,37.12,18.81,31.91,43.52,7.69,35.82,86.68,1500.06,73.28,21.34,51.14,747.26,407.19
2023-04-24,22.23,177.51,64.27,14.04,86.68,14.44,103.26,56.67,99.09,84.17,40.36,30.03,12.12,24.13,43.52,260.62,16.88,39.06,985.53,158.14,72.39,696.71,8.98,35.09,40.05,65.26,43.08,29.8,22.71,187.15,178.25,163.35,52.7,48.37,30.38,291.73,89.27,157.11,102.11,36.18,290.63,4.58,46.96,40.46,406.02,25.97,28.3,48.58,39.47,49.85,22.33,53.86,17.21,60.75,58.95,362.64,57.51,17.71,118.86,233.11,28.63,90.08,46.4,20.7,47.81,47.51,26.05,43.14,34.25,230.49,252.79,27.21,85.35,142.58,32.7,103.76,33.96,484.38,278.27,179.48,28.26,19.4,307.84,48.35,42.33,8690.62,18.29,7.5,128.87,39.68,113.11,51.33,24.28,226.64,13.76,27.61,58.1,36.34,18.85,31.56,43.14,7.76,35.89,82.98,1492.49,72.72,21.5,52.75,702.42,399.04
2023-04-25,21.84,191.16,63.29,13.78,80.87,14.21,99.15,56.61,100.31,83.68,40.03,27.97,12.05,23.92,41.84,255.65,16.55,38.27,980.3,154.85,72.87,673.25,8.88,33.49,38.82,62.39,40.16,28.58,22.47,179.0,174.94,155.9,49.41,45.17,28.55,295.67,98.75,173.73,97.49,34.3,281.61,4.4,45.49,39.36,398.02,25.23,27.9,46.58,39.9,46.17,24.6,51.82,16.38,56.76,50.88,351.36,57.07,16.56,112.92,230.51,27.48,88.57,45.39,20.34,45.38,46.29,25.79,42.6,33.38,218.91,247.7,26.2,83.29,134.44,32.23,104.42,31.78,488.38,281.3,170.48,27.85,20.1,305.08,47.86,46.58,8595.9,18.25,7.24,103.08,38.87,109.31,50.16,24.32,214.97,13.42,26.84,55.48,34.9,18.41,30.84,41.87,7.56,34.94,82.85,1501.53,69.96,20.88,54.05,695.97,388.0
2023-04-28,22.91,177.08,66.31,13.88,74.6,14.88,102.13,57.75,98.61,85.76,41.74,29.35,12.4,24.94,42.96,259.02,17.22,40.24,1033.04,160.2,75.32,670.56,9.17,33.52,38.43,66.85,50.32,26.34,23.8,181.45,175.97,157.55,50.44,58.91,29.12,287.37,94.15,150.58,93.42,33.33,285.67,4.41,47.3,42.66,412.49,26.08,27.99,46.87,40.1,48.88,26.52,52.04,17.67,56.6,51.08,366.48,57.53,18.34,97.19,246.92,27.97,99.3,45.8,21.44,44.43,50.16,28.63,46.44,33.69,224.08,246.26,27.67,85.05,132.71,34.47,109.54,33.96,518.8,277.05,179.32,27.65,20.1,315.19,49.13,43.11,8280.19,18.98,7.36,104.18,40.97,108.04,52.11,28.02,221.34,14.08,27.43,57.92,37.37,19.5,31.4,43.39,7.94,35.97,85.07,1509.83,73.74,22.51,57.82,765.87,420.54
2023-05-08,23.38,213.78,68.49,14.1,73.32,15.01,101.42,58.38,99.09,91.59,41.7,29.2,12.97,25.45,41.93,271.63,16.95,40.79,975.51,157.78,76.9,644.79,9.19,32.41,37.28,67.01,48.82,23.93,25.09,174.59,171.04,159.58,48.22,57.01,27.31,264.8,88.66,137.75,89.14,31.84,279.94,4.24,44.85,42.55,401.0,26.17,28.29,45.12,36.71,46.15,30.26,49.47,16.98,54.26,49.28,388.17,58.7,17.58,93.25,247.45,27.1,95.52,44.2,21.37,43.38,46.74,27.83,49.91,32.66,218.59,222.08,27.37,82.18,117.54,35.78,109.54,36.09,528.41,268.41,183.07,26.55,19.6,298.65,48.64,43.29,7284.63,19.14,7.01,104.61,41.31,106.35,51.87,27.84,215.88,13.63,27.56,56.64,37.08,20.23,33.49,42.44,7.42,35.82,81.92,1425.06,73.74,22.59,60.11,732.31,420.46
2023-05-09,23.66,214.21,67.29,13.83,68.09,14.93,101.28,58.45,97.07,91.95,42.22,28.56,12.85,25.34,40.91,268.26,16.78,40.3,970.28,157.93,78.31,635.18,9.05,37.91,36.89,65.04,47.05,23.58,24.21,167.8,167.92,160.39,46.2,58.51,26.91,251.37,88.9,140.7,86.39,31.44,270.59,4.17,40.6,40.7,375.0,25.66,28.96,45.34,37.27,44.94,29.5,47.29,16.11,51.47,48.36,371.26,59.27,16.79,90.93,243.86,25.7,90.73,42.3,20.63,42.2,46.75,26.35,47.76,30.25,207.78,217.33,26.28,79.31,125.34,35.43,109.35,36.42,526.01,267.39,184.5,26.26,19.2,292.22,49.13,43.65,7297.26,18.82,6.65,104.61,40.16,103.39,50.76,27.09,209.72,13.68,27.16,54.67,36.3,19.91,32.37,42.82,7.31,34.6,79.6,1411.62,70.88,22.2,58.69,727.56,411.39
2023-05-10,23.85,207.8,67.59,13.99,66.69,14.91,103.4,58.32,96.06,90.2,41.89,29.26,13.2,25.34,41.19,267.73,17.13,40.53,986.84,155.99,77.07,642.48,9.19,38.23,37.17,65.63,47.93,23.75,24.48,166.7,168.13,165.45,46.66,58.77,27.81,248.47,77.49,137.6,86.53,31.37,280.61,4.2,41.52,41.06,364.72,26.19,29.6,46.0,36.16,45.81,30.76,48.22,16.27,52.13,48.65,372.49,60.06,18.59,92.91,243.77,26.73,91.34,43.05,21.34,42.19,46.8,27.94,48.45,31.41,210.3,212.81,27.06,95.17,118.5,35.86,112.33,37.03,522.8,270.32,192.63,26.51,19.54,285.79,49.52,43.83,7280.42,18.98,6.7,106.47,44.02,105.29,52.63,27.09,218.16,13.89,27.11,56.3,36.5,20.12,32.98,43.2,7.24,34.98,81.31,1404.78,71.71,22.35,63.02,746.17,423.58
2023-05-11,24.01,197.14,68.42,14.04,65.88,15.12,103.97,58.64,95.48,87.71,41.6,29.57,13.2,25.34,41.0,263.11,17.35,40.2,975.07,154.67,78.48,649.02,9.21,38.84,36.28,66.85,48.42,23.4,24.56,167.91,171.4,165.52,46.61,58.92,27.74,249.15,75.95,140.58,85.39,32.9,274.6,4.22,41.57,40.83,378.52,26.4,29.55,45.94,35.0,45.93,28.99,49.94,16.73,51.84,48.58,376.6,60.65,20.4,91.75,244.85,26.3,91.9,42.93,21.97,44.59,46.66,27.55,46.12,32.33,211.69,220.17,27.38,100.59,119.76,35.74,114.1,36.45,521.2,270.56,192.71,26.14,19.95,294.06,49.23,42.69,7158.34,19.14,6.79,108.25,43.74,104.02,54.05,27.64,223.24,13.89,26.84,55.51,36.67,20.64,33.18,43.52,7.24,35.25,80.59,1388.9,71.99,22.66,65.55,754.73,437.93
2023-05-12,23.85,190.74,69.1,13.78,66.81,15.45,102.55,58.38,96.01,86.09,40.65,29.26,13.23,25.14,40.07,255.65,17.29,40.11,976.82,151.01,78.86,630.75,9.14,38.43,35.31,66.17,46.4,23.3,24.47,168.58,168.73,161.28,45.65,57.73,27.08,245.66,74.42,134.05,85.75,33.75,275.14,4.16,41.03,41.15,381.0,26.25,28.9,46.2,34.82,45.42,27.03,50.12,16.15,50.65,48.37,364.03,59.26,20.81,90.61,246.56,25.66,85.56,41.65,21.38,43.3,45.15,27.07,44.94,30.78,207.65,223.67,27.47,95.2,119.34,35.74,114.1,35.65,514.8,272.37,187.29,26.26,20.53,283.49,49.42,42.69,7213.07,18.94,6.6,107.32,42.32,103.6,52.68,27.05,221.34,13.52,26.48,54.0,36.13,20.67,32.47,44.03,7.18,34.6,77.88,1374.97,70.1,22.35,62.89,737.75,433.53
2023-05-15,24.1,182.42,69.25,13.83,67.16,15.09,103.54,58.26,96.91,94.7,41.22,29.72,13.32,25.45,40.25,259.38,17.36,40.47,978.56,155.58,79.17,650.56,9.24,38.12,36.33,67.46,47.61,23.37,24.41,160.16,172.39,164.34,46.57,58.06,27.75,255.71,76.5,133.35,87.65,33.91,275.6,4.2,41.86,41.58,394.0,26.49,28.63,47.32,35.69,46.14,28.6,51.24,16.39,52.46,48.7,384.18,60.36,20.88,91.97,255.16,26.6,89.83,42.87,21.59,42.76,47.49,29.23,45.06,32.4,210.45,234.92,27.94,97.07,120.89,36.96,112.99,36.39,515.6,276.12,194.79,26.43,20.91,287.16,49.42,42.27,7255.16,19.06,6.7,108.85,46.05,104.23,54.42,27.7,226.84,13.95,26.21,61.66,36.79,20.6,32.78,45.17,7.22,34.82,81.31,1402.09,72.26,22.66,67.16,791.34,434.09
