date,sh600118_daily,sh688053_daily,sh688066_daily,sh688081_daily,sh688132_daily,sh688151_daily,sh688586_daily,sh688636_daily,sz000519_daily,sz000768_daily,sz300008_daily,sz300034_daily,sz300045_daily,sz300065_daily,sz300099_daily,sz300101_daily,sz300123_daily
2023-04-21,492.14,58.69,92.59,19.54,23.51,20.29,24.43,88.52,158.6,217.75,50.99,137.44,69.17,132.98,94.64,190.45,46.69
2023-04-24,455.22,54.8,94.67,19.16,22.66,20.22,23.97,86.89,154.6,211.1,51.45,136.95,69.09,135.78,94.93,191.27,45.17
2023-04-25,450.51,52.98,94.38,18.13,22.9,19.59,23.67,84.85,148.4,208.12,48.81,133.08,66.79,124.56,91.29,179.31,40.92
2023-04-28,445.62,54.09,100.48,21.66,25.74,20.42,25.87,83.47,148.32,220.82,52.14,142.88,68.84,123.77,93.91,190.04,43.9
2023-05-08,467.02,52.29,90.18,25.06,25.13,20.72,26.47,80.96,158.27,223.63,55.81,138.94,71.06,129.82,95.08,186.27,46.51
2023-05-09,457.25,52.69,83.68,24.34,24.01,20.64,25.86,76.88,154.85,221.16,53.4,136.09,68.92,121.49,94.2,180.71,44.44
2023-05-10,460.96,52.31,88.48,24.35,24.15,20.63,25.73,77.02,160.88,218.52,52.71,138.19,69.91,123.24,94.64,179.56,43.05
2023-05-11,445.62,52.72,85.15,23.95,24.03,20.29,25.39,75.39,160.64,215.02,52.14,137.21,69.42,119.12,94.79,178.17,41.83
2023-05-12,434.16,51.47,83.36,23.08,23.81,20.2,25.16,73.68,156.72,211.61,53.17,134.88,68.84,117.98,92.02,174.48,40.8
2023-05-15,445.11,53.69,83.54,22.78,23.88,20.43,25.69,74.02,158.76,216.56,55.12,142.66,68.84,120.08,92.89,179.23,41.35
2023-05-17,449.83,57.0,81.24,23.31,24.24,20.79,26.57,77.49,158.52,221.33,58.34,144.53,72.45,122.71,91.14,181.44,41.83
2023-05-18,461.8,57.0,84.45,23.77,24.66,20.64,26.6,81.25,156.88,219.2,56.62,143.78,74.91,123.24,93.04,184.72,42.38
2023-05-19,459.61,58.83,85.85,24.15,24.85,20.75,26.56,84.24,155.74,219.45,55.24,146.37,78.44,120.87,93.18,187.42,42.2
2023-05-23,439.38,58.7,83.95,24.36,24.66,20.69,26.22,83.45,151.58,215.7,50.99,145.66,79.59,108.77,91.58,183.65,40.68
2023-05-24,437.87,60.06,85.06,24.76,25.08,20.75,26.06,83.1,150.6,212.8,50.3,147.5,81.48,109.38,92.31,184.64,40.74
2023-05-25,437.02,59.78,83.85,24.33,25.35,21.01,27.16,83.55,151.09,213.66,50.99,147.12,79.51,110.43,91.29,184.47,41.29
2023-05-26,439.38,59.38,84.86,24.55,25.34,20.93,26.92,82.11,149.22,214.51,50.42,145.66,82.71,110.52,92.31,185.05,41.41
2023-06-28,480.69,60.84,83.25,26.63,26.06,20.3,28.19,70.0,145.58,211.78,58.22,144.76,86.24,108.85,92.83,154.34,43.23
2023-06-29,475.28,61.5,84.48,27.33,26.45,20.65,27.97,77.02,146.56,220.17,58.34,145.58,86.89,106.49,94.62,157.62,43.78
2023-06-30,476.8,62.14,85.74,27.23,27.18,20.71,27.97,82.27,148.03,228.99,57.77,147.87,95.18,108.68,94.77,158.76,44.2
2023-07-03,480.01,61.36,83.98,26.53,27.15,20.75,27.99,83.36,147.95,229.67,57.77,152.38,94.11,108.94,94.77,160.07,43.84
2023-07-04,528.01,62.67,86.01,26.46,27.39,20.87,27.91,83.99,150.33,228.05,57.54,153.47,101.25,108.94,94.92,165.07,44.14
2023-07-05,514.66,62.9,87.53,25.57,27.0,20.62,27.4,84.24,148.03,224.71,57.19,154.5,96.25,106.4,94.32,171.21,43.17
2023-07-06,513.81,62.11,89.32,25.61,27.25,20.65,27.2,85.39,145.91,222.23,63.39,151.9,96.41,107.19,94.17,168.18,43.59
2023-07-07,495.56,60.37,86.74,24.97,26.82,20.73,26.88,81.0,145.25,223.51,61.1,150.03,94.52,105.96,92.98,168.18,42.56
2023-07-10,522.26,61.5,88.18,24.33,26.83,20.6,26.92,78.98,145.82,224.19,59.49,150.33,95.26,104.03,92.98,162.53,42.5
2023-07-11,530.38,63.08,92.17,24.53,27.55,20.8,27.04,78.27,146.89,224.96,59.72,150.7,97.4,106.05,95.06,165.48,44.57
2023-07-12,520.74,62.41,88.26,23.51,26.54,20.5,26.4,75.42,144.19,222.31,56.27,148.94,95.02,103.24,93.57,155.32,44.93
