date,sh600097_daily,sh600108_daily,sh600113_daily,sh600127_daily,sz000019_daily,sz000048_daily,sz000061_daily,sz000876_daily,sz300087_daily,sz300094_daily,sz300106_daily,sz300119_daily,sz300498_daily
2023-04-21,16.74,33.59,34.78,44.42,45.63,216.78,136.28,240.56,180.9,12.22,12.16,134.12,42.95
2023-04-24,16.51,33.37,34.98,44.42,45.04,210.14,138.53,236.56,177.83,12.17,11.96,132.2,41.84
2023-04-25,16.08,33.16,33.96,43.16,43.81,208.83,139.43,236.2,180.53,12.51,11.91,133.52,42.41
2023-04-28,17.12,34.14,35.75,42.64,44.69,210.42,145.06,236.74,186.54,12.44,12.33,129.43,40.55
2023-05-08,15.35,34.57,36.43,42.76,45.4,201.07,149.34,229.83,187.98,12.56,12.4,128.1,38.85
2023-05-09,15.22,34.57,36.28,42.53,45.63,196.86,147.09,231.28,188.33,12.36,12.25,126.6,39.17
2023-05-10,15.1,34.68,36.38,42.59,45.28,198.24,147.31,229.1,188.5,12.41,12.25,120.7,38.7
2023-05-11,15.13,34.68,36.57,42.53,45.51,198.53,150.69,230.01,192.65,12.51,12.49,119.49,38.58
2023-05-12,15.13,34.57,36.91,42.3,45.22,198.83,147.54,230.55,189.54,12.53,12.37,118.29,38.56
2023-05-15,15.27,34.79,37.2,42.13,45.28,196.96,148.66,229.83,187.29,12.41,12.37,117.45,38.19
2023-05-17,15.15,34.36,37.05,41.9,45.1,196.37,145.51,229.1,186.25,12.26,12.42,117.39,38.81
2023-05-18,15.15,34.03,36.91,41.5,44.4,196.08,143.03,222.18,183.48,11.67,12.45,115.58,37.62
2023-05-19,15.22,33.92,36.67,41.27,44.45,195.29,140.78,219.82,186.94,11.58,12.59,118.71,37.02
2023-05-23,15.28,33.7,36.67,41.44,44.98,199.71,137.63,219.64,185.04,11.65,12.56,118.53,36.67
2023-05-24,15.02,33.26,36.47,41.15,43.92,194.6,136.05,218.18,182.62,11.6,12.51,117.03,36.04
2023-05-25,14.79,33.26,35.69,40.7,43.63,191.76,135.15,211.99,178.99,11.31,12.43,116.78,35.42
2023-05-26,14.73,33.37,35.39,40.18,43.57,189.79,135.38,210.17,176.57,11.26,12.43,117.03,35.4
2023-06-28,14.38,32.72,35.0,40.47,44.67,186.55,134.24,212.36,175.53,12.26,11.94,108.71,36.4
2023-06-29,14.61,32.5,35.2,40.47,44.67,187.83,134.7,212.72,175.36,12.19,12.07,107.48,37.59
2023-06-30,14.81,32.94,35.59,40.64,45.16,191.66,135.83,212.54,178.81,12.36,12.28,109.01,38.06
2023-07-03,14.95,33.16,35.74,40.98,45.46,192.74,137.19,214.9,181.06,12.58,12.57,109.01,37.63
2023-07-04,14.92,33.26,35.64,41.04,45.89,189.5,135.83,215.27,181.23,12.49,12.56,107.91,37.73
2023-07-05,14.86,33.26,35.59,40.92,45.89,188.12,139.91,212.54,182.79,12.04,12.48,107.42,36.65
2023-07-06,14.97,33.37,35.83,42.47,46.37,189.79,139.91,215.27,181.06,12.09,12.51,106.44,37.21
2023-07-07,15.22,33.81,35.93,43.27,46.43,190.28,143.77,216.36,188.67,12.76,12.56,108.52,38.23
2023-07-10,15.25,33.92,36.28,42.47,46.19,193.62,144.22,213.45,188.33,12.58,12.63,110.48,38.15
2023-07-11,15.18,33.92,36.72,42.13,46.25,194.6,150.34,213.99,188.67,12.39,12.6,112.08,38.02
2023-07-12,15.01,33.7,36.28,42.13,45.76,192.05,148.98,213.45,189.71,12.19,12.54,111.71,38.11
2023-07-13,15.15,33.92,36.37,43.39,46.25,191.46,150.34,213.63,187.81,12.31,12.59,112.2,38.4
2023-07-14,15.15,33.92,36.28,43.9,47.35,188.02,151.02,213.99,189.36,12.34,12.57,113.18,38.31
2023-07-17,14.7,34.03,36.62,43.85,46.62,189.6,150.34,214.9,190.92,12.22,12.66,112.69,39.0
2023-07-18,14.95,34.25,36.67,43.79,46.8,200.89,151.25,216.0,189.71,12.24,12.78,112.81,38.58
2023-07-19,14.98,34.29,36.82,43.62,46.55,203.34,152.38,216.36,189.71,12.12,12.78,113.12,38.93
2023-07-20,14.92,34.29,36.62,44.36,46.43,201.28,150.8,216.0,189.36,12.12,12.98,112.75,39.0
2023-07-21,15.03,34.62,36.82,45.17,47.41,201.67,152.38,216.72,196.45,12.61,13.67,113.79,39.79
2023-07-24,15.01,34.4,36.86,44.48,46.31,195.68,152.61,214.18,189.36,12.09,13.35,113.54,39.04
2023-07-25,15.15,34.4,37.45,44.13,46.68,198.33,152.61,216.36,188.33,12.39,13.18,113.91,37.46
2023-08-10,15.35,35.71,36.62,54.62,48.32,200.99,156.92,222.0,200.26,12.71,13.44,112.93,37.09
2023-08-11,15.14,35.05,35.98,52.73,46.86,197.35,154.65,217.09,193.17,12.39,13.2,110.91,35.97
2023-08-14,15.22,34.95,36.28,50.44,46.07,196.37,156.24,215.81,190.57,12.46,13.01,109.99,35.95
2023-08-15,15.15,34.73,37.01,49.41,45.76,199.22,158.05,213.81,188.67,12.51,12.98,110.85,35.95
2023-08-16,15.11,34.62,37.06,50.1,45.7,198.33,155.1,213.99,186.6,12.46,13.09,111.03,35.86
