date,sh600028_daily,sh600075_daily,sh600078_daily,sh600096_daily,sh600121_daily,sh600123_daily,sh600133_daily,sh600135_daily,sh600141_daily,sh600157_daily,sh600160_daily,sh600165_daily,sh600188_daily,sh600309_daily,sh600547_daily,sh601212_daily,sh601225_daily,sh601857_daily,sh601899_daily,sh688019_daily,sh688028_daily,sh688106_daily,sh688129_daily,sh688133_daily,sh688146_daily,sh688196_daily,sh688268_daily,sh688357_daily,sh688388_daily,sh688571_daily,sh688585_daily,sh688669_daily,sh688707_daily,sh688722_daily,sh688778_daily,sz000059_daily,sz000060_daily,sz000096_daily,sz000301_daily,sz000420_daily,sz000422_daily,sz000506_daily,sz000510_daily,sz000523_daily,sz000525_daily,sz300019_daily,sz300037_daily,sz300041_daily,sz300054_daily,sz300057_daily,sz300082_daily,sz300107_daily,sz300109_daily,sz300121_daily
2023-04-21,24.53,56.55,77.93,48.21,22.57,107.67,26.15,20.6,85.0,77.87,186.69,20.68,128.62,3668.63,564.28,2.95,27.01,11.16,27.21,365.51,33.25,28.58,13.76,120.38,49.09,57.77,98.46,97.3,40.65,8.09,8.37,24.24,36.98,17.62,69.06,12.41,196.11,22.87,29.11,26.27,175.14,16.46,69.78,21.01,67.87,121.25,323.77,88.09,374.41,19.93,69.39,50.01,113.76,67.36
2023-04-24,24.81,56.88,74.12,46.83,21.98,108.68,27.64,20.83,83.63,76.86,181.89,20.73,126.37,3599.6,549.76,2.9,26.65,11.21,25.98,353.39,30.74,28.64,13.8,117.29,51.0,56.54,90.16,94.74,40.18,7.93,8.31,23.86,36.44,17.84,64.29,12.27,192.17,22.9,28.4,25.73,171.75,15.11,69.09,20.88,64.52,124.45,324.02,89.73,374.54,19.8,70.8,50.98,113.04,68.55
2023-04-25,25.63,55.55,70.45,45.37,21.58,105.48,27.07,20.46,81.69,76.35,173.36,19.84,125.13,3738.84,559.88,2.88,26.53,11.67,26.37,348.87,29.34,27.63,13.55,114.51,45.4,53.05,87.15,96.95,38.39,7.9,8.09,23.51,33.81,17.23,62.2,12.14,189.41,22.58,28.33,25.53,165.51,15.35,66.25,20.61,61.55,125.57,310.42,86.63,364.23,19.19,65.66,46.6,110.03,58.37
2023-04-28,26.34,56.55,66.98,47.2,22.32,107.08,27.6,20.98,84.31,77.36,165.5,21.68,129.03,3656.73,565.38,2.92,26.83,12.08,26.26,378.83,32.22,28.35,13.95,130.06,53.11,54.86,86.1,114.09,39.12,8.17,8.35,23.95,35.38,18.23,63.22,12.48,199.67,23.27,29.06,26.68,168.9,14.21,69.43,21.34,65.14,127.43,309.79,96.35,341.68,18.96,66.74,48.45,110.25,59.56
2023-05-08,27.04,57.1,63.37,46.65,22.77,108.59,28.91,21.3,82.61,78.89,162.22,20.73,132.07,3546.84,582.98,3.03,28.63,13.14,25.92,336.42,29.72,27.5,13.82,123.24,45.48,52.75,78.65,104.89,38.7,8.33,8.2,23.49,32.9,17.88,62.06,12.44,202.03,24.01,28.58,27.16,171.21,14.0,69.09,21.88,61.24,128.09,293.58,94.59,320.04,18.49,66.41,47.67,114.79,59.12
2023-05-09,26.73,57.76,60.7,46.18,22.57,108.43,27.81,21.27,81.14,78.38,157.85,20.19,131.73,3560.33,564.72,3.04,28.64,12.39,25.08,325.06,29.39,26.27,13.63,114.29,45.7,52.08,78.19,99.71,37.91,8.27,8.04,22.79,31.83,17.9,61.21,12.16,200.85,24.1,28.23,26.55,169.44,13.42,66.48,21.54,58.2,125.28,284.43,92.22,317.59,18.1,65.0,46.99,110.34,58.99
2023-05-10,25.4,57.76,59.7,47.66,22.57,107.25,27.81,21.33,82.78,77.87,158.94,20.68,130.19,3565.88,558.12,3.01,28.02,11.9,24.73,319.75,29.55,26.05,13.63,112.76,43.9,52.43,75.17,99.3,39.01,8.33,7.98,22.98,32.44,17.45,62.49,12.37,200.45,23.75,28.49,26.41,185.04,13.06,67.39,21.54,55.31,126.04,303.12,94.59,317.98,18.67,66.16,47.19,109.58,58.81
2023-05-11,24.85,57.54,62.23,47.22,22.92,107.75,27.51,21.73,81.45,78.38,154.68,20.73,132.52,3530.58,547.56,2.99,27.98,11.68,23.91,317.97,29.43,26.06,13.77,114.19,43.48,52.95,75.14,101.13,39.39,8.41,8.18,23.25,32.56,17.47,64.82,12.23,198.88,23.72,28.44,26.55,176.9,13.15,67.5,21.81,56.56,124.37,300.76,93.68,311.79,18.54,66.99,47.97,110.39,58.93
2023-05-12,24.89,57.32,62.3,46.55,22.92,105.98,27.33,21.18,79.88,78.89,151.74,20.33,127.9,3480.99,527.76,2.94,27.61,11.49,22.48,318.7,29.01,25.1,13.73,108.53,41.68,51.83,73.55,98.58,38.8,8.41,8.06,23.13,31.94,17.15,63.76,11.96,190.59,23.78,27.06,25.87,172.43,12.85,66.59,21.88,53.75,122.1,300.0,92.04,306.0,18.25,66.33,47.58,114.52,58.3
2023-05-15,25.04,57.1,62.37,47.89,23.07,107.42,27.29,21.56,80.9,78.38,153.48,20.83,133.16,3512.73,530.84,2.94,28.09,11.44,22.74,328.67,29.8,25.49,14.18,111.3,43.92,52.67,77.9,100.21,39.47,8.37,8.22,23.44,33.12,17.42,71.67,12.12,195.72,23.61,27.57,26.07,174.33,13.09,66.93,24.08,51.1,124.07,313.54,95.14,313.08,18.59,67.24,47.77,115.42,58.68
