date,sh600062_daily,sh600079_daily,sh600080_daily,sh600085_daily,sh600129_daily,sh600161_daily,sh600276_daily,sh688029_daily,sh688045_daily,sh688046_daily,sh688050_daily,sh688062_daily,sh688067_daily,sh688068_daily,sh688073_daily,sh688075_daily,sh688076_daily,sh688085_daily,sh688091_daily,sh688098_daily,sh688105_daily,sh688114_daily,sh688117_daily,sh688131_daily,sh688136_daily,sh688137_daily,sh688139_daily,sh688180_daily,sh688185_daily,sh688189_daily,sh688198_daily,sh688202_daily,sh688266_daily,sh688278_daily,sh688298_daily,sh688321_daily,sh688363_daily,sh688366_daily,sh688408_daily,sh688468_daily,sh688526_daily,sh688575_daily,sh688580_daily,sh688617_daily,sh688626_daily,sh688656_daily,sh688658_daily,sh688677_daily,sh688687_daily,sz000028_daily,sz000078_daily,sz000153_daily,sz000403_daily,sz000411_daily,sz000423_daily,sz000504_daily,sz000513_daily,sz000516_daily,sz000518_daily,sz000538_daily,sz000661_daily,sz000963_daily,sz300006_daily,sz300009_daily,sz300015_daily,sz300026_daily,sz300030_daily,sz300039_daily,sz300049_daily,sz300086_daily,sz300110_daily,sz300122_daily,sz300347_daily,sz300760_daily
2023-04-21,168.12,366.34,39.48,638.84,129.24,420.99,3050.11,115.0,64.14,22.8,214.86,24.65,20.13,76.49,140.5,119.32,32.28,31.28,129.5,7.96,39.33,86.01,38.99,169.51,20.71,68.5,74.68,53.57,105.72,19.77,173.32,241.96,56.07,45.2,94.61,29.52,101.33,105.59,74.31,11.23,25.6,27.23,67.49,352.15,43.12,38.13,23.41,106.0,31.09,225.21,67.0,52.91,191.84,36.54,530.05,42.37,331.95,471.36,23.51,1528.72,1281.92,523.47,27.85,215.31,1382.96,281.61,26.85,87.06,116.13,28.35,22.29,352.04,1203.25,310.41
2023-04-24,172.82,366.07,39.48,646.61,131.19,422.57,3116.5,112.81,59.77,22.41,211.64,24.48,19.8,73.4,143.54,118.8,31.61,30.78,127.1,7.78,37.79,86.79,40.16,158.97,20.92,68.38,73.76,53.95,109.96,19.8,161.97,235.96,56.31,44.61,91.78,28.76,97.76,99.63,72.39,11.22,24.89,26.52,65.92,349.73,42.64,36.89,22.94,103.9,30.05,240.14,67.41,54.23,190.24,37.33,525.3,42.72,327.79,466.93,23.26,1504.25,1271.03,516.48,28.46,214.19,1374.16,288.46,27.01,94.19,112.38,28.99,22.51,357.1,1176.46,310.41
2023-04-25,166.1,361.59,37.49,679.43,132.37,423.37,3092.65,111.82,56.25,22.0,212.33,23.91,19.05,74.7,137.39,113.44,30.5,30.85,120.19,7.55,36.74,77.0,34.85,154.48,20.16,64.72,73.86,50.04,99.57,19.02,161.92,209.69,53.71,45.18,89.62,27.59,95.64,98.18,69.81,11.1,24.39,25.41,66.56,338.8,41.11,35.47,22.47,102.0,29.16,249.45,65.97,51.48,186.32,36.22,527.41,40.88,324.46,468.26,22.76,1497.85,1259.82,515.71,27.85,206.59,1425.0,268.41,25.82,91.27,113.68,27.76,21.91,341.29,1141.16,311.67
2023-04-28,174.5,366.07,39.22,674.56,150.23,424.32,3135.84,126.9,60.3,22.49,216.17,23.31,20.31,71.45,130.0,108.79,31.01,35.7,120.83,7.86,37.16,80.14,32.17,162.67,21.13,66.03,70.09,52.78,101.23,20.63,163.87,211.07,55.77,45.63,87.18,25.3,100.17,112.51,75.93,10.97,26.02,27.2,82.34,367.07,46.22,35.86,23.23,97.77,28.9,270.29,69.46,57.95,187.92,39.19,542.92,42.75,330.65,485.08,23.93,1618.27,1284.93,527.16,29.08,204.92,1440.16,281.61,28.87,93.95,106.9,30.41,22.83,345.75,1138.65,321.12
2023-05-08,167.53,363.9,39.11,718.29,156.95,431.28,2997.9,122.01,57.8,21.58,220.08,22.32,20.95,69.17,122.42,102.0,29.45,34.0,112.41,7.82,35.31,81.55,32.71,153.34,20.25,59.72,68.9,51.6,96.07,20.4,156.27,201.92,54.46,43.85,82.06,23.97,95.71,95.56,74.33,10.56,25.04,24.86,76.52,352.73,46.15,35.17,22.35,93.41,26.36,251.99,70.89,56.46,172.72,41.05,553.36,37.97,333.61,468.7,24.1,1644.97,1276.65,525.0,28.93,191.2,1418.16,285.04,29.24,86.82,103.25,30.07,22.94,328.07,1130.64,310.04
2023-05-09,162.74,353.99,40.47,699.62,152.05,424.63,2960.52,119.96,55.42,20.8,218.24,22.11,20.32,67.27,118.55,99.1,28.84,33.18,110.42,7.79,34.28,80.62,32.27,149.35,19.61,57.0,67.62,50.7,92.28,20.04,151.27,192.96,52.5,43.73,80.13,23.16,94.93,92.85,70.91,10.22,24.4,23.73,74.82,350.36,45.46,34.93,22.16,92.55,26.01,243.67,70.07,55.66,170.57,40.86,543.76,37.72,335.55,448.78,23.68,1602.14,1262.45,526.01,28.23,189.72,1400.56,279.17,28.79,84.84,97.16,29.67,23.0,319.57,1081.82,313.19
2023-05-10,159.13,355.21,40.26,680.25,150.08,418.62,2987.59,123.09,55.29,21.11,219.58,22.45,20.36,68.11,117.31,99.03,29.42,33.21,109.16,7.74,34.71,82.33,31.92,150.1,19.52,57.27,67.79,50.86,94.26,19.77,154.58,197.38,53.08,43.72,81.02,23.22,97.43,92.73,71.76,10.33,24.74,23.66,72.96,353.17,43.83,34.91,21.96,90.59,26.0,243.55,68.64,54.57,170.01,42.15,543.24,37.83,337.21,450.11,23.34,1596.3,1273.57,526.01,28.16,188.97,1420.11,281.13,28.67,85.66,98.38,29.48,22.78,322.12,1108.23,316.41
2023-05-11,155.27,349.24,39.79,668.3,146.0,411.33,2992.74,127.5,56.75,21.3,225.19,23.43,20.75,68.61,118.08,101.29,30.09,35.35,106.23,7.72,34.3,80.88,32.0,153.36,19.46,57.3,68.01,50.57,95.47,19.57,151.65,199.32,53.0,43.46,80.44,22.86,97.38,93.74,72.26,10.33,24.65,23.51,72.77,363.35,44.94,35.38,22.06,93.11,25.98,231.53,68.84,54.63,169.13,41.52,521.09,38.35,337.58,438.16,23.6,1583.23,1267.66,521.44,28.31,189.53,1409.85,281.61,28.71,84.72,98.96,29.53,22.78,319.19,1127.64,313.03
2023-05-12,156.78,346.26,39.58,669.0,150.38,407.85,2933.44,127.5,56.33,20.64,224.7,23.32,21.59,68.78,115.35,100.98,29.54,34.7,107.56,7.72,34.01,77.81,31.7,146.01,19.34,56.26,67.83,51.27,93.93,19.54,156.85,194.21,51.77,43.23,79.13,22.53,95.75,93.04,70.28,10.29,25.19,23.31,71.84,354.3,44.39,34.86,22.26,92.87,26.1,232.86,69.25,54.86,168.09,42.53,537.12,37.97,337.21,441.26,23.34,1593.24,1286.35,513.04,28.23,189.16,1403.0,286.53,28.67,88.93,99.86,30.26,22.67,312.82,1117.0,315.86
2023-05-15,157.2,351.14,39.17,679.43,153.67,406.11,3057.85,127.96,55.8,21.05,225.29,23.58,23.66,69.19,122.82,101.79,30.23,35.4,110.85,7.76,34.35,76.28,34.53,149.0,19.51,57.9,66.43,51.89,94.92,19.94,156.09,200.63,51.8,43.57,80.18,22.7,97.55,93.92,72.65,10.57,24.65,23.31,70.98,358.31,44.45,35.6,24.52,94.35,26.38,235.65,68.84,55.03,168.25,42.94,520.56,38.49,336.2,442.59,23.34,1605.48,1327.91,525.0,28.23,191.01,1435.27,282.6,29.33,87.06,103.54,30.56,22.67,320.81,1159.56,319.1
2023-05-17,162.99,340.83,39.11,679.55,172.1,411.65,3126.17,130.58,59.55,20.88,221.58,23.41,23.2,69.03,127.36,101.9,30.74,36.36,111.44,7.82,34.59,76.63,33.74,142.26,19.84,56.02,63.43,51.89,95.0,20.52,152.71,192.21,54.04,43.66,79.82,22.9,96.41,92.1,71.49,10.51,24.58,24.45,72.55,374.22,44.49,36.72,25.55,98.36,28.63,241.68,68.84,57.03,167.69,42.4,515.6,38.45,341.09,423.11,23.34,1597.97,1363.72,527.29,28.39,191.2,1428.91,289.97,29.28,93.02,104.91,30.61,22.94,319.02,1129.89,318.7
2023-05-18,161.99,341.65,38.85,677.23,177.3,427.8,3095.23,128.12,58.74,20.44,220.4,23.45,24.32,68.54,123.99,101.07,31.23,36.57,114.59,7.8,34.15,73.14,35.29,140.17,19.76,55.5,62.79,50.33,93.38,20.35,150.92,192.93,53.36,42.38,77.7,22.89,95.02,93.29,69.26,10.42,24.28,24.35,72.0,372.43,43.51,36.6,25.83,96.63,27.83,247.62,68.64,56.69,169.53,42.59,514.02,38.56,335.92,422.67,23.43,1588.23,1350.55,526.01,28.08,189.9,1441.62,294.88,29.33,91.03,109.13,30.51,22.89,312.78,1118.63,316.55
2023-05-19,160.89,354.94,38.96,687.67,186.15,435.08,3166.78,132.31,60.91,20.76,219.86,23.7,23.53,69.38,124.61,101.84,31.0,36.4,116.67,7.84,34.23,73.4,37.08,139.8,19.93,58.14,62.03,49.26,94.99,20.38,151.44,196.86,54.56,43.27,79.26,23.25,93.48,94.15,70.6,10.7,24.58,24.68,76.21,394.22,43.85,36.75,25.41,98.26,28.34,249.04,68.43,56.98,171.45,42.18,535.01,38.24,339.61,428.42,23.43,1579.07,1345.58,530.34,28.31,192.93,1447.0,306.68,29.45,89.98,109.24,30.8,23.0,315.88,1121.0,320.25
2023-05-23,162.15,343.0,40.37,680.13,194.03,428.27,3164.84,127.86,62.46,21.3,220.76,24.71,23.15,71.83,129.66,104.02,35.79,36.77,115.1,7.86,34.63,73.58,38.15,142.54,20.52,58.34,63.92,50.82,100.37,20.79,159.33,199.81,56.7,44.72,80.77,23.39,94.49,95.47,72.83,10.86,24.84,25.54,75.47,389.42,45.23,37.11,27.95,98.22,28.78,236.15,67.82,58.01,172.33,42.34,520.35,38.56,350.05,428.87,23.68,1591.36,1339.67,549.54,28.7,193.5,1432.33,305.21,29.74,95.59,110.36,31.98,23.16,317.24,1105.36,320.59
2023-05-24,156.7,334.59,39.79,656.82,183.9,427.48,3091.36,129.26,61.3,21.73,220.41,23.85,22.99,69.46,128.84,102.05,35.34,36.05,116.19,7.85,34.69,75.2,37.89,142.56,20.29,57.5,62.05,49.19,96.73,20.9,156.45,197.94,59.36,44.21,79.6,23.12,93.02,93.39,81.51,10.8,24.32,25.47,75.07,384.57,44.9,37.11,26.44,96.95,27.97,235.36,67.61,57.49,170.65,41.36,506.32,38.14,349.22,423.56,23.34,1558.51,1320.82,547.38,28.46,191.41,1408.87,298.82,29.74,92.78,107.04,30.85,22.78,311.16,1101.6,321.22
2023-05-25,155.94,330.52,39.17,667.26,186.06,425.27,3097.81,127.77,63.0,21.63,217.6,23.45,22.83,68.33,124.02,101.38,34.99,36.09,113.75,7.89,34.08,78.7,39.22,140.86,20.27,57.65,62.16,49.2,94.45,20.49,156.96,197.77,57.23,44.59,78.78,22.97,92.19,93.68,83.56,10.64,24.3,25.54,75.08,384.66,44.26,36.98,26.1,97.04,27.45,234.36,68.02,56.69,169.93,40.76,505.47,37.72,345.53,419.57,23.09,1542.8,1316.4,538.1,28.08,189.7,1381.98,296.85,29.28,91.62,105.31,30.56,22.51,309.29,1086.7,324.01
