date,sh600064_daily,sh600067_daily,sh600082_daily,sh600094_daily,sh600159_daily,sh600162_daily,sh600170_daily,sh600173_daily,sh600185_daily,sh601668_daily,sh601800_daily,sz000002_daily,sz000006_daily,sz000010_daily,sz000011_daily,sz000012_daily,sz000014_daily,sz000029_daily,sz000031_daily,sz000036_daily,sz000055_daily,sz000056_daily,sz000065_daily,sz000069_daily,sz000090_daily,sz000401_daily,sz000402_daily,sz000498_daily,sz000501_daily,sz000509_daily,sz000514_daily,sz000517_daily,sz000656_daily,sz001979_daily
2023-04-21,179.98,66.87,17.92,11.23,12.99,15.71,48.86,12.31,57.01,13.24,16.34,2460.53,242.79,32.44,43.69,224.41,101.75,25.33,73.07,47.31,48.29,17.25,270.83,242.3,47.85,61.34,188.26,23.19,89.3,39.75,20.72,32.54,10.4,18.68
2023-04-24,177.86,66.87,17.98,11.04,12.94,15.63,48.86,12.24,57.81,12.97,16.12,2396.2,241.27,32.17,43.34,221.07,100.2,24.67,71.34,47.53,48.69,17.11,278.08,234.03,47.77,60.71,186.76,23.08,89.54,40.08,19.05,32.78,10.33,17.97
2023-04-25,176.53,65.97,17.56,11.3,12.63,15.88,48.51,12.28,56.64,13.09,16.2,2392.98,237.72,31.77,42.33,217.05,97.22,23.96,70.57,46.97,47.48,15.93,284.8,235.49,47.26,59.45,186.39,21.14,88.41,38.87,19.0,32.07,10.03,17.67
2023-04-28,179.72,67.54,18.52,11.45,13.26,16.3,49.38,12.7,58.9,13.66,16.59,2434.8,245.32,34.17,42.33,219.73,107.16,24.76,70.38,47.76,49.5,19.14,321.07,243.76,45.08,57.08,188.64,22.44,92.05,40.41,19.84,33.5,10.25,17.53
2023-05-08,190.6,67.99,19.31,11.71,14.09,17.23,51.28,13.06,57.81,14.72,16.93,2505.56,248.87,34.83,43.73,218.73,118.74,24.65,76.91,46.07,50.41,19.61,355.56,241.81,46.17,62.11,186.39,23.28,90.67,39.2,20.99,37.55,10.63,18.18
2023-05-09,192.46,67.76,19.25,11.67,14.14,17.15,50.76,13.06,57.37,14.49,16.13,2487.87,247.35,33.77,43.77,218.73,117.53,24.33,76.91,45.73,49.8,19.04,320.0,248.14,46.84,63.86,189.76,22.84,91.16,38.87,21.04,37.55,10.48,18.44
2023-05-10,191.66,67.76,19.37,11.6,14.25,17.15,49.9,13.01,57.22,14.07,15.81,2460.53,254.45,34.03,44.61,221.07,116.76,26.77,75.95,45.39,50.0,19.04,324.25,241.81,45.83,63.02,186.39,22.35,91.16,38.76,21.09,37.07,10.25,17.93
2023-05-11,193.25,68.43,19.55,11.82,14.61,17.4,49.72,13.2,58.39,13.99,15.64,2460.53,247.86,34.3,43.73,220.06,117.31,28.76,76.91,45.96,50.41,19.33,313.11,242.3,45.67,60.85,186.76,22.12,91.4,38.0,21.66,37.79,10.55,17.67
2023-05-12,192.19,67.99,19.55,11.74,14.46,17.4,48.51,13.18,58.39,13.57,15.09,2421.93,243.8,33.5,42.77,218.06,117.97,27.5,76.34,45.84,49.8,19.56,298.6,241.33,44.99,60.08,184.52,21.6,89.54,37.34,21.4,37.79,10.25,17.71
2023-05-15,191.66,67.54,19.61,11.63,14.46,17.32,47.99,13.2,57.52,13.49,15.18,2421.93,244.31,33.63,43.25,219.06,118.85,26.68,77.3,45.5,49.8,19.04,304.79,239.87,45.08,60.5,182.65,21.31,86.38,39.64,21.46,38.15,10.18,17.66
2023-05-17,188.48,66.87,19.67,11.56,14.25,17.15,47.13,12.86,56.57,13.16,14.68,2376.9,239.24,33.9,42.9,216.72,120.62,25.56,76.53,44.94,50.0,18.53,289.22,235.0,44.49,58.06,178.9,20.9,84.52,38.87,21.14,37.67,9.96,17.42
