date,sh600136_daily,sh600138_daily,sh600158_daily,sz000156_daily,sz000428_daily,sz000430_daily,sz000524_daily,sz000526_daily,sz300010_daily,sz300012_daily,sz300027_daily,sz300031_daily,sz300043_daily,sz300052_daily,sz300058_daily,sz300063_daily,sz300071_daily,sz300079_daily,sz300081_daily,sz300113_daily
2023-04-21,6.08,76.47,63.44,16.25,68.04,37.52,55.15,40.16,14.53,362.67,41.85,128.29,86.59,57.98,197.15,33.51,53.34,83.71,36.84,166.49
2023-04-24,6.11,74.17,63.7,16.94,64.49,36.87,53.62,40.95,15.2,358.18,42.6,131.42,103.91,57.07,211.41,34.22,53.56,84.97,36.28,167.65
2023-04-25,5.81,72.73,60.24,16.87,61.99,35.95,51.99,40.8,14.11,363.25,42.3,140.06,98.84,59.35,223.94,34.22,51.11,82.96,35.72,169.17
2023-04-28,5.86,75.89,62.72,17.25,64.23,37.57,55.5,46.98,12.04,375.54,46.68,202.94,106.65,57.04,252.07,40.36,49.77,81.7,38.46,192.09
2023-05-08,6.33,71.28,65.27,17.87,58.17,34.61,51.3,57.01,13.18,368.71,47.89,193.48,99.26,55.8,261.33,42.48,48.77,84.47,41.1,206.47
2023-05-09,6.01,71.66,66.06,18.67,57.78,34.06,50.6,53.51,12.4,364.62,48.04,173.34,91.66,54.86,244.37,41.15,47.21,85.85,39.98,199.46
2023-05-10,6.03,71.98,66.51,18.02,57.38,33.83,50.41,56.1,12.71,359.74,47.89,167.35,89.34,55.8,245.33,40.12,47.55,85.47,39.98,198.4
2023-05-11,6.33,72.19,71.48,19.33,58.17,34.2,50.21,61.71,13.23,343.17,57.41,169.32,91.24,54.03,233.96,41.15,49.66,87.36,39.78,192.91
2023-05-12,6.38,70.21,67.95,18.58,58.31,34.01,50.31,63.39,12.97,338.3,53.48,161.29,85.75,49.54,234.54,38.39,47.32,84.22,38.76,182.39
2023-05-15,6.13,70.96,67.23,17.18,58.96,34.57,50.9,69.74,13.02,346.29,51.36,164.83,83.63,48.34,243.79,37.92,47.1,81.7,37.95,177.71
2023-05-17,6.63,69.25,64.03,16.51,57.25,33.83,49.96,61.83,12.76,359.16,47.89,183.07,80.68,49.09,225.87,36.82,46.32,79.06,36.68,176.19
2023-05-18,6.55,69.14,66.84,16.54,55.54,33.74,50.16,63.04,12.71,363.45,46.98,185.59,82.16,49.09,231.45,37.37,47.88,81.07,37.75,178.76
2023-05-19,6.23,68.71,66.58,16.49,56.07,33.83,50.55,60.42,12.55,371.83,45.47,174.9,80.89,48.87,208.52,36.27,46.32,79.31,37.34,174.44
2023-05-23,6.21,68.45,66.25,15.74,56.07,34.01,50.01,60.33,12.4,375.15,43.96,163.33,77.72,52.53,195.61,35.95,45.1,76.55,35.72,166.95
2023-05-24,6.21,66.63,64.81,15.47,54.88,33.74,48.72,59.41,11.98,369.3,44.26,171.5,78.14,51.0,196.57,36.58,45.1,76.67,36.13,167.77
2023-05-25,5.91,66.63,65.08,15.34,54.49,33.23,48.23,60.35,11.47,369.3,42.9,165.04,76.24,50.43,193.87,34.69,44.88,75.67,35.21,165.55
2023-05-26,5.71,66.79,66.45,15.41,54.62,33.69,49.47,66.38,11.31,374.77,43.36,178.51,76.45,50.11,199.46,34.93,45.43,76.3,38.31,171.4
2023-06-28,7.65,68.07,65.47,15.52,55.41,35.86,53.03,63.84,12.66,385.73,42.0,164.63,80.89,55.27,184.82,33.2,43.76,76.67,51.7,198.73
2023-06-29,8.0,66.25,65.89,15.76,54.36,35.35,51.94,64.21,12.35,384.94,42.15,172.05,80.68,55.13,186.36,33.67,43.2,76.42,53.22,202.25
2023-06-30,8.4,66.95,66.41,15.83,55.02,35.77,52.98,65.66,12.87,381.42,42.15,168.23,78.78,54.33,186.36,34.07,43.76,76.67,54.59,201.9
2023-07-03,8.7,70.8,67.59,15.78,57.52,36.69,53.97,66.23,13.02,379.47,42.45,161.84,75.19,52.74,183.66,33.83,43.43,76.05,52.72,196.62
2023-07-04,8.37,70.91,67.52,15.78,57.91,37.2,54.36,64.92,12.87,379.66,42.9,160.34,73.71,52.5,181.93,33.91,43.09,76.04,52.31,196.5
2023-07-05,8.5,69.79,67.59,15.74,56.99,36.64,53.08,63.96,13.33,374.58,41.85,159.93,72.23,51.56,182.5,33.28,42.87,74.53,50.74,190.75
2023-07-06,8.4,68.71,66.93,15.63,57.12,36.32,53.13,64.58,13.9,369.49,42.15,160.0,72.65,51.59,182.89,33.36,42.98,74.91,50.33,198.26
2023-07-07,8.42,68.98,67.0,15.61,57.65,36.41,53.32,64.01,15.04,363.82,42.0,161.84,72.65,50.38,179.42,33.04,42.98,73.78,48.45,191.81
2023-07-10,8.25,70.43,68.11,16.05,58.04,37.01,54.12,64.9,15.56,366.17,43.96,161.97,74.13,50.83,181.15,33.12,42.98,73.9,48.15,192.16
