date,sh600107_daily,sh600137_daily,sh600156_daily,sh600177_daily
2023-04-21,14.42,21.98,7.82,295.2
2023-04-24,14.44,22.02,7.92,290.85
2023-04-25,14.21,21.85,7.8,291.72
2023-04-28,14.88,23.19,8.28,298.69
2023-05-08,15.01,23.67,8.31,306.09
2023-05-09,14.93,23.52,8.24,303.04
2023-05-10,14.91,23.63,8.31,299.56
2023-05-11,15.12,24.81,8.58,305.22
2023-05-12,15.45,24.92,8.64,305.22
2023-05-15,15.09,24.82,8.6,305.65
2023-05-17,14.91,25.12,8.6,304.78
2023-05-18,14.65,25.04,8.64,305.65
2023-05-19,14.75,24.84,8.54,301.73
2023-05-23,14.37,24.95,8.43,297.38
2023-05-24,14.24,24.53,8.37,295.2
2023-05-25,14.34,24.7,8.45,294.33
2023-05-26,14.78,24.4,8.41,297.82
2023-06-28,13.36,27.33,8.07,297.69
2023-06-29,13.41,27.13,8.22,293.93
2023-06-30,13.9,29.83,8.35,296.28
2023-07-03,13.93,28.85,8.47,301.91
2023-07-04,14.05,28.45,8.58,299.56
2023-07-05,13.98,28.14,8.47,301.44
2023-07-06,13.9,27.84,8.49,299.56
2023-07-07,13.87,27.81,8.54,300.5
2023-07-10,13.87,26.96,8.5,302.38
2023-07-11,13.98,27.04,8.58,301.91
2023-07-12,13.82,26.4,8.5,301.44
2023-07-13,13.98,26.89,8.47,305.2
2023-07-14,13.93,27.0,8.45,306.14
2023-07-17,13.8,27.36,8.5,306.61
2023-07-18,13.9,26.85,8.56,307.55
2023-07-19,13.9,27.06,8.6,308.01
2023-07-20,13.95,27.01,8.58,308.95
2023-07-21,14.0,26.54,8.6,311.77
2023-07-24,13.9,26.56,8.6,313.18
2023-07-25,14.34,27.25,8.71,316.0
2023-08-10,14.05,25.71,8.69,330.08
2023-08-11,13.85,25.41,8.54,326.8
2023-08-14,13.93,25.65,8.71,324.45
2023-08-15,14.03,26.54,8.85,327.74
2023-08-16,15.43,26.79,9.74,327.27
2023-08-17,16.98,27.01,9.68,328.2
2023-08-18,15.87,26.68,9.19,327.27
2023-08-21,15.74,26.93,9.23,324.92
2023-08-22,15.17,25.99,8.73,324.92
2023-08-23,14.26,25.23,8.33,323.04
2023-08-24,13.28,24.91,8.18,319.75
2023-08-25,12.99,24.43,8.14,323.51
2023-08-28,13.36,24.77,8.31,323.98
2023-08-29,14.03,26.17,8.62,327.27
2023-08-30,14.05,26.62,8.5,324.45
2023-08-31,13.8,26.89,8.54,326.33
2023-09-01,14.11,27.15,8.62,328.67
2023-09-04,14.73,27.31,8.96,333.84
2023-09-05,14.47,27.14,8.87,331.02
2023-09-06,14.49,26.95,8.87,333.84
2023-09-07,14.39,26.59,8.81,331.96
2023-09-08,14.26,26.57,8.87,332.9
2023-09-18,14.47,28.0,8.9,338.07
2023-09-19,14.29,27.42,8.75,337.6
2023-09-20,14.31,27.43,8.77,338.07
