date,sh600022_daily,sh600111_daily,sh600114_daily,sh600117_daily,sh600126_daily,sh600143_daily,sh688052_daily,sh688065_daily,sh688077_daily,sh688082_daily,sh688093_daily,sh688099_daily,sh688102_daily,sh688110_daily,sh688116_daily,sh688119_daily,sh688120_daily,sh688122_daily,sh688123_daily,sh688126_daily,sh688130_daily,sh688135_daily,sh688141_daily,sh688143_daily,sh688147_daily,sh688148_daily,sh688153_daily,sh688186_daily,sh688200_daily,sh688233_daily,sh688256_daily,sh688299_daily,sh688368_daily,sh688399_daily,sh688508_daily,sh688521_daily,sh688536_daily,sh688550_daily,sh688595_daily,sh688598_daily,sh688608_daily,sh688689_daily,sh688699_daily,sh688711_daily,sh688733_daily,sh688779_daily,sh688786_daily,sh688798_daily,sh688981_daily,sz000017_daily,sz000408_daily,sz000426_daily,sz300046_daily,sz300077_daily,sz300127_daily
2023-04-21,9.35,508.41,55.17,7.85,28.16,186.27,305.67,80.46,42.15,115.75,26.99,88.69,16.28,37.18,54.81,6.68,383.4,80.58,93.58,25.19,46.47,31.92,48.0,46.33,49.1,12.6,64.63,30.96,448.22,57.22,248.0,15.17,164.31,97.52,78.07,90.69,360.24,66.86,57.88,166.2,141.19,25.9,92.14,111.49,34.51,14.49,44.64,104.45,62.8,13.76,146.72,146.16,73.36,78.78,40.16
2023-04-24,9.06,502.62,57.35,7.77,28.1,178.89,290.63,81.65,40.87,115.55,26.62,84.03,15.3,36.06,53.96,6.57,396.9,79.94,88.6,23.76,44.54,30.49,46.5,47.31,51.99,12.34,65.64,32.96,403.19,45.77,243.0,15.2,154.48,96.88,76.02,88.0,340.27,65.69,54.2,166.39,134.45,25.4,89.85,104.35,33.49,14.42,44.22,95.59,63.05,13.37,150.44,145.32,72.0,76.87,39.35
2023-04-25,8.94,495.64,54.71,7.71,27.93,177.46,281.61,80.29,39.35,115.49,25.96,85.44,14.95,35.74,52.06,6.34,398.0,79.11,85.14,22.5,42.58,29.07,43.92,46.08,54.28,11.4,64.97,35.4,391.83,40.25,248.0,14.66,153.65,94.47,71.57,86.95,324.5,65.84,53.02,166.78,126.02,24.54,84.25,104.86,31.74,11.54,47.36,91.99,61.37,13.01,143.52,144.3,76.38,73.68,38.51
2023-04-28,9.06,502.02,50.42,8.27,28.1,182.58,285.67,75.28,39.89,118.4,25.99,83.85,15.66,33.62,54.06,6.51,382.99,79.88,81.98,23.82,43.4,29.38,41.79,45.89,53.04,12.07,64.64,36.65,397.81,40.58,249.5,15.54,147.32,73.26,69.99,83.62,346.63,67.03,52.69,176.5,123.89,25.14,81.45,105.29,32.11,11.2,45.53,95.54,61.58,13.86,149.53,148.03,75.9,73.99,41.28
2023-05-08,9.06,485.46,48.24,7.47,28.4,182.37,279.94,77.59,36.98,103.97,25.38,75.01,15.05,30.0,51.98,7.14,352.9,81.59,68.14,22.73,43.2,29.48,39.73,39.42,46.0,11.55,59.69,35.81,374.54,36.99,208.39,15.09,148.68,72.61,70.57,81.19,339.63,61.23,48.17,164.76,128.41,24.24,77.59,102.58,32.62,11.18,43.65,90.77,59.43,14.02,148.55,146.0,73.14,74.04,42.37
2023-05-09,9.18,498.63,47.31,7.41,28.63,179.71,270.59,78.06,38.51,100.82,24.91,73.01,14.4,29.64,51.23,7.22,345.3,77.39,65.64,22.54,41.92,28.61,39.45,37.7,45.35,11.08,59.68,34.97,355.9,36.26,211.4,14.77,142.78,71.38,69.38,80.0,340.03,60.6,46.99,160.79,128.32,23.72,76.6,98.17,31.79,11.06,42.7,86.57,52.78,13.92,148.22,139.37,73.36,77.28,42.95
2023-05-10,9.18,495.24,47.97,7.6,28.28,182.17,280.61,80.48,37.93,99.8,25.01,73.06,14.55,29.05,52.54,6.99,338.98,78.75,65.32,21.87,42.39,28.71,39.94,37.2,44.61,11.28,57.79,36.13,357.32,35.51,199.08,14.94,139.84,70.84,68.85,79.7,346.5,61.16,47.41,160.54,130.46,23.76,77.44,98.25,32.67,11.28,42.03,87.18,52.45,13.95,151.23,139.71,74.71,77.8,42.62
2023-05-11,9.18,496.24,47.91,7.96,28.4,181.56,274.6,78.61,37.96,99.98,25.36,77.77,14.56,31.4,53.69,6.86,340.02,78.58,64.58,21.58,42.59,29.15,39.9,36.92,45.15,11.43,59.88,35.88,351.7,34.27,196.02,15.05,144.86,70.48,70.48,79.58,351.21,61.36,47.54,166.31,140.57,24.15,76.98,98.63,32.06,11.49,41.8,86.38,52.96,14.15,151.23,137.0,75.98,76.61,42.75
2023-05-12,9.06,487.26,47.31,7.85,27.93,181.15,275.14,76.48,37.77,101.69,24.77,79.81,14.59,31.73,53.25,6.62,332.7,79.13,63.9,20.16,42.12,28.72,38.7,36.44,43.68,11.08,59.25,35.67,344.99,33.44,196.0,15.06,143.82,70.76,71.17,78.83,339.35,60.6,46.4,161.68,147.15,24.05,79.19,97.2,30.97,11.41,41.76,86.86,53.69,14.18,149.66,133.43,73.58,76.15,42.34
2023-05-15,9.06,499.43,48.37,7.71,27.93,182.17,275.6,75.99,38.72,106.02,25.19,78.37,14.74,31.32,53.19,6.69,346.51,80.21,64.43,20.2,42.47,29.04,38.2,37.09,43.41,11.56,60.5,35.92,357.09,33.93,188.45,15.28,145.27,71.23,71.72,77.28,350.72,61.39,46.88,163.29,145.59,24.31,82.89,97.19,31.45,11.9,42.35,88.03,54.87,14.28,160.25,137.51,74.54,76.05,42.88
