date,sh600006_daily,sh600060_daily,sh600066_daily,sh600081_daily,sh600104_daily,sh600166_daily,sh600178_daily,sh688071_daily,sz000025_daily,sz000030_daily,sz000338_daily,sz000625_daily,sz002594_daily,sz300100_daily
2023-04-21,20.76,132.28,619.01,105.1,145.86,78.57,12.96,48.9,46.74,17.31,237.69,163.31,248.03,25.14
2023-04-24,20.61,128.8,630.29,103.94,145.12,80.14,12.94,47.68,46.47,17.16,234.78,164.47,258.74,25.32
2023-04-25,20.08,135.93,616.07,101.62,144.39,79.09,12.75,46.31,45.37,16.79,233.12,159.39,249.36,24.64
2023-04-28,21.58,133.54,662.66,106.36,147.85,85.64,13.34,49.11,47.07,17.5,239.35,172.73,261.16,25.93
2023-05-08,21.62,134.91,684.25,108.2,146.8,87.21,13.0,47.0,47.57,17.76,270.31,173.31,259.29,26.04
2023-05-09,21.99,132.46,682.28,106.75,147.01,88.0,12.94,45.11,46.72,17.69,262.21,172.88,255.29,25.79
2023-05-10,23.53,133.42,699.94,110.62,149.31,91.66,13.17,46.88,48.06,18.14,263.87,183.9,265.17,26.43
2023-05-11,22.52,134.07,660.7,109.36,147.95,91.66,13.11,46.01,47.38,18.44,260.55,179.11,269.21,26.43
2023-05-12,21.96,135.33,669.04,109.36,146.69,89.83,13.0,46.04,46.61,18.21,253.07,175.2,265.49,26.18
2023-05-15,22.14,128.92,675.42,109.46,147.32,90.88,13.15,47.27,47.05,18.25,260.34,179.26,270.39,26.33
2023-05-17,21.62,126.59,670.02,108.3,145.96,86.95,13.09,48.16,46.91,18.25,256.18,175.05,266.41,26.47
2023-05-18,21.39,129.34,666.1,109.65,144.6,85.9,13.13,47.5,46.5,18.25,254.73,173.31,264.45,26.87
2023-05-19,21.28,134.07,655.51,108.68,143.24,84.33,13.02,47.6,47.4,18.18,250.99,171.86,264.55,26.54
2023-05-23,20.94,133.48,656.57,109.94,143.03,83.54,12.94,49.7,47.21,18.14,247.87,175.92,268.38,26.9
2023-05-24,20.87,129.58,667.16,109.07,140.31,83.02,12.92,51.3,46.33,18.1,244.34,173.46,267.34,26.83
2023-05-25,20.76,128.98,667.69,108.97,138.42,81.19,12.77,51.53,46.03,18.1,242.47,174.47,260.9,26.87
2023-05-26,21.28,128.8,681.98,111.49,138.21,82.5,12.92,50.98,46.25,18.4,244.55,177.81,252.11,27.26
2023-06-28,21.92,138.86,738.64,126.43,147.95,89.57,13.88,62.0,49.82,19.84,257.02,189.41,265.64,32.91
2023-06-29,21.96,145.75,762.99,132.85,148.16,88.26,14.35,62.25,49.38,19.84,258.89,187.38,261.0,32.04
2023-06-30,22.14,148.21,780.47,146.18,148.37,89.04,14.28,61.15,50.12,19.88,258.89,187.53,263.62,33.37
2023-07-03,22.59,143.66,771.47,144.04,149.52,92.97,14.58,58.87,50.34,20.16,267.82,200.58,273.02,32.26
2023-07-04,23.04,140.72,794.76,149.68,151.3,95.07,14.88,65.83,51.13,20.63,266.37,209.28,277.13,33.88
2023-07-05,22.67,140.0,791.59,134.7,150.46,92.97,14.84,64.94,49.65,20.59,264.5,204.2,272.53,32.37
2023-07-06,22.74,137.43,784.7,127.7,151.2,93.23,15.63,67.38,49.21,20.63,264.08,203.77,273.66,31.76
2023-07-07,22.67,137.01,790.0,124.2,150.88,92.97,14.94,63.92,48.03,20.63,262.83,200.58,269.88,32.73
2023-07-10,22.52,138.45,759.82,122.25,149.94,93.5,14.67,62.99,48.2,20.71,264.5,198.26,269.01,32.37
2023-07-11,23.19,139.52,776.23,122.74,152.24,94.81,14.75,65.36,48.77,21.14,267.2,207.25,274.91,32.58
2023-07-12,23.0,135.57,759.29,123.71,151.2,94.81,14.56,64.02,49.62,21.5,263.04,208.22,271.11,32.73
2023-07-13,22.68,137.31,757.17,121.37,151.3,94.02,14.41,62.43,49.26,21.3,263.04,205.72,273.38,31.9
2023-07-14,22.41,136.47,756.11,122.35,150.88,94.02,14.39,62.5,48.47,21.18,262.21,203.95,269.89,31.72
2023-07-17,22.34,131.74,751.35,121.18,150.36,94.81,14.28,60.61,47.59,21.22,263.04,201.44,269.97,31.29
2023-07-18,23.09,132.58,754.52,120.31,151.62,97.95,14.5,60.03,47.84,21.42,264.29,204.54,270.98,32.04
2023-07-19,23.05,130.24,753.46,120.31,153.03,97.95,14.61,57.28,47.42,21.46,264.91,202.91,270.32,32.01
2023-07-20,22.79,128.45,734.93,119.14,150.78,96.38,14.43,55.5,45.44,21.26,261.79,195.84,270.44,31.43
2023-07-21,22.49,127.49,725.93,116.8,151.85,96.64,14.24,54.12,45.83,21.02,260.76,195.1,269.8,30.79
2023-07-24,22.37,131.74,735.99,116.61,152.49,95.85,14.31,53.5,45.99,21.18,261.17,195.69,262.84,31.47
2023-07-25,23.39,135.63,740.76,119.33,154.85,96.9,14.63,53.91,46.85,21.54,266.16,215.3,270.07,31.9
2023-08-10,22.71,135.09,696.81,108.98,163.21,93.23,13.68,52.56,46.43,20.79,265.74,220.61,269.32,29.99
2023-08-11,22.19,129.99,688.34,106.75,158.6,91.14,13.51,51.35,45.97,20.47,255.56,215.3,265.78,29.49
2023-08-14,21.77,129.74,690.45,107.66,155.06,91.4,13.51,51.35,45.88,20.63,254.31,204.83,252.01,29.6
2023-08-15,21.58,130.73,683.57,107.05,154.53,91.93,13.62,49.45,45.31,20.67,253.07,203.95,250.7,29.17
2023-08-16,21.43,130.85,674.04,105.43,153.78,90.09,13.36,47.85,44.29,20.51,251.61,197.16,250.35,28.7
2023-08-17,21.62,133.01,692.57,108.37,154.2,92.19,13.75,49.17,44.79,20.83,254.73,201.0,252.21,30.1
2023-08-18,21.24,130.79,676.16,106.55,152.28,91.14,13.66,48.08,43.99,20.59,251.41,195.98,246.34,29.89
2023-08-21,20.9,128.63,670.86,106.65,149.7,89.57,13.66,47.05,43.58,20.31,247.67,191.12,240.32,29.85
2023-08-22,21.17,129.31,687.28,108.17,150.45,89.83,13.6,48.08,43.44,20.75,248.5,194.51,240.45,29.17
2023-08-23,20.75,127.71,684.63,106.65,149.7,88.52,13.47,45.81,43.11,20.55,245.38,188.91,235.89,29.1
2023-08-24,20.83,131.47,684.1,105.33,149.49,89.04,13.42,45.66,43.11,20.27,245.38,191.85,240.82,29.31
2023-08-25,20.49,128.14,674.57,103.5,150.45,90.35,13.14,44.5,41.82,20.12,244.45,192.89,238.46,28.23
2023-08-28,20.9,130.36,683.57,104.32,152.49,92.97,13.45,42.89,43.05,20.79,250.56,192.3,241.46,28.66
2023-08-29,21.28,136.21,644.39,107.76,153.24,95.59,13.94,46.54,44.04,21.42,249.72,201.15,252.93,30.79
2023-08-30,21.13,130.3,645.45,108.17,151.53,96.12,13.94,48.69,43.99,21.77,248.24,197.02,256.09,31.32
2023-08-31,20.79,128.82,660.27,107.97,153.88,93.76,13.94,48.31,43.3,21.42,248.45,184.92,255.68,31.07
2023-09-01,21.17,130.05,673.51,109.89,155.81,91.66,14.16,47.65,44.21,21.42,254.56,189.94,255.4,31.25
2023-09-04,21.62,130.17,688.87,111.72,157.96,91.66,14.2,46.76,44.29,21.58,265.3,196.87,258.81,31.47
2023-09-05,21.39,129.56,693.1,112.43,157.63,90.62,14.05,46.46,43.85,21.42,264.25,194.21,255.3,31.25
2023-09-06,21.43,129.31,710.05,114.55,158.6,90.88,14.07,47.1,44.02,21.38,260.88,195.25,256.76,31.22
2023-09-07,21.02,128.2,698.4,111.31,157.85,88.78,13.79,45.5,43.3,20.91,258.35,190.09,254.66,30.17
2023-09-08,21.02,129.56,697.34,111.21,156.35,88.52,13.85,45.83,43.0,20.95,253.3,189.64,250.2,30.25
2023-09-18,21.43,128.88,706.34,113.34,159.03,94.81,14.41,48.01,43.52,21.54,256.88,195.84,253.61,31.36
2023-09-19,21.32,132.33,713.75,111.82,160.1,94.28,14.24,49.49,42.72,21.54,257.72,192.59,253.4,30.57
2023-09-20,21.05,132.95,702.1,111.41,160.53,93.23,14.07,47.25,41.98,21.38,257.51,189.79,250.15,30.17
2023-09-21,20.9,132.21,696.81,109.69,159.78,91.4,13.85,46.65,41.52,20.95,254.35,187.58,245.72,29.81
2023-09-22,21.13,132.76,704.75,111.21,161.38,94.02,14.05,47.75,42.29,21.22,260.03,190.67,251.22,30.61
2023-09-25,20.98,132.95,701.04,111.41,160.42,92.45,14.09,49.33,41.93,21.34,264.03,191.26,251.99,30.89
2023-09-26,20.75,137.26,701.57,110.9,159.24,91.4,13.9,48.59,41.79,21.22,268.04,190.82,244.51,30.25
2023-09-27,20.68,136.52,700.51,109.59,159.03,89.83,13.79,50.18,41.74,20.83,265.51,192.3,243.82,30.1
2023-10-20,21.39,135.78,702.1,110.3,156.45,83.02,14.39,39.02,40.83,20.39,275.62,208.52,245.23,32.26
2023-10-23,23.54,133.81,699.46,112.02,155.92,80.93,13.98,38.08,39.65,19.92,273.72,204.98,244.66,31.32
2023-10-24,23.28,135.23,679.34,110.2,155.38,78.57,14.31,37.76,40.69,20.27,273.51,205.57,241.48,32.37
2023-10-25,23.35,139.97,696.81,114.05,158.81,82.5,14.65,38.15,41.13,20.91,297.72,214.27,243.38,32.98
2023-10-26,23.66,140.96,720.64,116.48,160.74,84.33,14.97,38.31,41.38,21.5,296.67,222.97,244.62,33.41
2023-10-27,24.3,139.6,741.29,118.91,162.56,85.64,14.91,38.51,45.53,22.13,297.38,233.15,248.05,37.44
2023-10-30,23.39,142.87,725.93,117.7,158.6,80.4,14.74,39.8,45.86,21.34,295.24,227.54,250.76,39.88
2023-10-31,22.98,143.43,722.22,116.28,155.6,79.35,14.67,39.08,45.5,20.75,296.95,223.12,244.55,37.62
2023-11-01,23.05,147.86,712.69,118.2,155.6,78.57,15.06,41.93,45.61,20.91,300.8,221.79,242.15,37.91
2023-11-02,25.35,145.21,725.93,121.65,158.38,79.35,14.89,43.32,44.57,20.95,302.94,222.38,240.72,38.16
2023-11-03,24.52,145.15,719.05,120.94,158.92,78.83,15.08,42.98,44.43,20.98,301.66,225.48,244.66,37.8
2023-11-06,24.71,144.23,704.22,121.45,160.85,81.71,15.3,45.6,45.12,21.66,302.09,226.8,249.02,39.45
2023-11-07,25.2,144.1,680.92,122.56,159.88,81.19,15.23,47.27,45.69,21.58,303.58,235.5,247.04,39.24
2023-11-08,25.2,145.95,671.92,120.54,159.78,81.97,15.04,48.25,46.19,21.54,302.3,231.52,246.05,38.34
2023-11-09,24.52,148.54,655.51,118.41,159.35,80.93,16.54,46.9,47.45,21.5,302.51,246.27,245.33,36.22
2023-11-10,24.15,147.43,660.8,118.41,156.45,79.88,18.2,44.38,45.61,21.34,303.37,233.88,242.93,36.14
2023-11-13,24.49,144.9,659.21,118.71,154.74,80.14,17.51,43.3,45.77,21.5,299.73,229.02,243.09,36.0
2023-11-14,24.71,145.03,667.69,120.84,154.31,81.71,16.93,44.92,45.66,21.58,299.95,237.42,243.62,36.61
2023-11-15,24.6,146.01,689.93,122.87,155.17,83.54,16.65,46.6,45.88,21.93,308.72,250.4,244.65,37.33
2023-11-16,24.34,146.51,678.81,121.65,153.45,82.24,16.82,47.8,46.43,23.63,307.43,242.88,244.3,37.12
2023-11-17,24.68,148.05,685.16,124.08,155.17,83.02,17.58,47.7,46.57,24.02,311.93,243.47,242.73,37.58
2023-11-20,24.6,147.92,696.81,123.27,154.74,82.5,17.62,50.35,46.35,23.75,316.21,244.65,240.92,37.55
2023-11-21,24.37,146.01,682.51,122.06,154.63,81.97,17.51,47.6,46.3,23.35,316.85,241.7,240.1,37.4
2023-11-22,23.39,143.86,681.45,118.81,153.99,79.62,16.78,47.33,46.9,22.76,311.07,240.37,235.79,36.04
2023-11-23,24.86,147.49,688.34,123.37,157.42,82.24,18.46,49.39,46.6,23.27,319.2,256.59,234.6,38.27
2023-11-24,24.18,147.74,684.1,120.33,156.24,80.66,20.31,47.6,46.02,23.23,318.34,262.2,222.31,37.33
2023-11-27,25.96,145.09,692.04,124.08,165.99,81.19,22.33,51.31,45.42,23.55,320.7,288.45,214.16,38.09
2023-11-28,27.96,145.64,702.63,131.89,164.71,83.28,24.57,54.87,46.35,24.34,326.69,316.76,215.2,38.99
2023-11-29,27.32,144.41,707.4,140.1,161.28,80.93,27.02,55.5,46.3,23.67,322.84,305.26,207.07,38.55
2023-12-08,22.98,137.63,701.57,114.45,151.31,75.16,32.79,49.65,43.99,22.13,297.81,270.45,203.55,33.66
