date,sh600119_daily,sh600125_daily,sh600128_daily,sh600153_daily,sh600179_daily,sh600180_daily,sz000007_daily,sz000037_daily,sz000039_daily,sz000421_daily,sz002024_daily,sz300013_daily
2023-04-21,17.72,103.26,24.09,228.81,7.37,17.43,81.58,42.19,350.34,50.71,168.14,17.53
2023-04-24,17.43,103.26,24.46,225.19,7.28,17.34,79.65,42.48,347.86,50.81,169.9,17.85
2023-04-25,16.93,104.29,24.28,222.1,7.28,16.66,79.89,41.66,343.9,49.56,168.14,17.3
2023-04-28,17.75,107.03,25.17,219.93,7.37,17.75,65.67,43.43,346.87,51.12,171.66,17.99
2023-05-08,17.93,124.53,25.42,203.79,7.06,20.38,59.29,44.25,349.84,52.69,183.11,17.99
2023-05-09,17.75,118.7,26.43,211.41,7.01,20.17,56.27,43.66,356.28,52.48,179.59,17.85
2023-05-10,17.87,113.21,25.88,206.87,6.99,20.38,53.5,43.54,352.81,52.59,180.47,17.9
2023-05-11,17.9,112.52,25.94,209.77,6.97,20.08,50.85,44.48,351.82,53.53,183.11,18.18
2023-05-12,17.96,113.38,25.88,206.87,6.99,19.58,50.01,44.66,347.37,54.26,182.23,19.79
2023-05-15,17.96,113.04,25.82,211.41,6.99,19.11,48.44,45.07,350.34,54.57,180.47,19.47
2023-05-17,17.84,113.9,25.66,204.88,6.79,18.67,50.37,46.13,346.87,54.37,178.71,18.96
2023-05-18,17.93,113.38,25.66,205.6,6.67,18.61,52.54,47.01,345.39,53.95,175.19,20.11
2023-05-19,17.63,110.29,25.42,202.16,6.67,18.46,54.71,45.66,345.88,53.63,176.95,19.28
2023-05-23,18.13,107.55,25.26,203.07,6.76,18.46,50.97,45.83,343.9,53.11,176.95,20.8
2023-05-24,17.96,104.46,25.17,199.26,6.69,18.43,51.09,46.3,341.43,53.01,175.19,20.25
2023-05-25,17.66,104.12,25.11,198.71,6.72,18.22,51.09,47.48,337.97,54.47,170.78,19.47
2023-05-26,17.72,104.29,25.05,198.71,6.74,18.05,50.37,46.48,340.44,53.53,171.66,19.28
2023-06-28,17.01,104.87,24.86,198.35,6.31,17.87,48.92,74.8,338.46,58.92,169.02,18.04
2023-06-29,16.98,104.7,25.08,197.63,6.22,17.9,51.33,77.68,340.94,57.43,169.02,17.99
2023-06-30,17.34,105.05,25.29,197.81,6.31,18.02,53.86,72.1,340.94,57.64,170.78,18.27
2023-07-03,17.46,106.61,25.51,197.63,6.4,18.38,56.51,75.51,346.38,58.71,179.59,18.41
2023-07-04,17.37,105.74,25.72,195.09,6.36,18.26,57.24,71.45,345.39,58.6,176.07,18.41
2023-07-05,17.4,104.35,25.69,193.09,6.36,18.08,56.51,72.22,346.87,57.96,176.95,18.36
2023-07-06,17.43,104.0,25.76,190.35,6.31,17.99,56.27,73.1,348.36,57.85,180.47,18.31
2023-07-07,17.48,105.05,25.88,188.98,6.38,18.26,55.79,78.98,349.35,57.64,177.83,18.27
2023-07-10,17.43,105.4,25.85,184.66,6.38,18.23,58.56,83.79,350.83,58.39,178.71,18.36
2023-07-11,17.46,105.22,26.0,183.49,6.4,18.32,61.45,79.21,353.31,58.81,179.59,18.41
2023-07-12,17.22,102.96,25.66,180.74,6.4,18.05,62.9,80.56,350.83,58.49,176.95,17.99
2023-07-13,17.31,104.0,25.76,181.92,6.42,18.26,62.54,72.75,351.82,59.13,177.83,18.18
2023-07-14,17.31,104.35,25.72,179.57,6.4,18.11,61.94,70.98,352.81,58.81,176.95,18.08
2023-07-17,17.37,104.53,26.28,177.41,6.4,17.9,61.21,71.69,353.31,58.39,173.42,18.08
2023-07-18,17.78,105.22,26.16,178.59,6.47,18.14,61.09,67.75,357.76,58.71,173.42,18.27
2023-07-19,17.9,106.79,26.59,178.78,6.47,18.11,61.09,66.46,355.78,59.24,176.07,18.27
2023-07-20,17.78,105.4,26.4,180.35,6.51,17.96,62.54,64.58,353.31,57.85,176.07,18.13
2023-07-21,17.84,105.57,26.75,182.12,6.56,18.02,59.41,64.05,354.79,57.96,176.07,18.22
2023-07-24,17.99,105.92,26.72,180.16,6.49,18.11,59.41,64.23,356.28,59.24,174.31,18.13
2023-07-25,18.19,108.0,26.9,191.33,6.58,18.41,59.89,64.99,358.25,59.88,176.95,18.5
2023-08-10,18.84,105.92,27.09,217.21,6.74,18.53,61.33,60.76,375.08,58.49,181.35,19.19
2023-08-11,18.4,104.0,26.9,216.03,6.6,18.11,62.54,59.17,367.66,55.61,178.71,18.73
2023-08-14,18.37,104.87,26.87,214.27,6.6,17.9,62.42,60.23,368.15,56.04,178.71,18.68
2023-08-15,18.4,104.87,26.9,213.87,6.47,17.93,62.3,59.35,364.19,55.18,179.59,18.54
2023-08-16,18.19,103.31,26.81,218.58,6.42,17.87,61.7,58.23,361.72,55.18,177.83,18.73
2023-08-17,18.78,105.74,27.03,220.73,6.47,17.96,61.82,59.06,363.7,55.18,178.71,19.51
2023-08-18,18.87,107.83,26.62,223.48,6.6,17.9,61.45,57.23,363.7,55.83,175.19,19.65
2023-08-21,18.57,102.79,26.62,215.64,6.42,17.72,61.33,57.0,358.63,56.15,174.31,19.05
2023-08-22,18.25,102.79,26.31,217.4,6.4,19.5,60.49,57.29,358.12,54.54,173.42,18.68
2023-08-23,18.01,100.87,26.19,215.64,6.27,19.62,60.13,56.35,358.12,53.9,171.66,18.27
2023-08-24,17.84,100.0,26.12,212.7,6.27,18.92,60.25,55.77,356.09,53.69,171.66,17.72
2023-08-25,17.51,99.83,25.88,213.68,6.24,17.02,61.58,54.12,359.64,54.01,170.78,17.26
2023-08-28,17.87,101.74,26.44,223.87,6.36,17.78,61.82,54.12,365.73,54.97,170.78,17.76
2023-08-29,18.4,103.31,26.97,224.46,6.38,18.44,61.7,55.41,365.22,55.93,172.54,18.13
2023-08-30,18.19,102.09,27.03,221.52,6.24,18.56,60.85,55.41,362.68,54.76,173.42,18.08
2023-08-31,17.63,100.87,26.81,212.89,6.15,18.05,61.21,55.18,357.61,53.58,172.54,17.9
2023-09-01,17.72,101.4,26.9,210.93,6.27,18.59,60.37,54.35,361.67,53.58,174.31,17.76
2023-09-04,18.6,103.83,27.15,213.87,6.4,19.1,60.13,56.06,364.21,54.65,175.19,18.5
2023-09-05,18.54,102.96,27.06,207.21,6.33,19.01,59.77,56.41,364.71,54.22,172.54,18.36
2023-09-06,18.63,103.13,27.18,210.54,6.31,18.77,58.2,56.29,360.65,54.44,172.54,18.54
2023-09-07,18.49,102.09,26.93,210.93,6.2,18.32,56.88,54.94,358.63,53.69,170.78,18.18
2023-09-08,18.4,102.09,26.97,210.74,6.17,18.47,57.48,55.94,350.0,54.12,170.78,18.45
2023-09-18,18.84,106.61,26.28,202.7,6.38,18.86,55.43,54.77,360.65,54.22,169.9,18.08
2023-09-19,18.78,108.0,25.88,203.88,6.45,18.77,54.1,53.18,361.16,54.12,167.26,17.95
2023-09-20,18.66,106.79,25.91,200.74,6.33,18.56,56.76,51.95,358.63,54.12,166.38,17.67
2023-09-21,18.49,106.26,25.69,201.52,6.29,18.53,55.79,51.53,357.1,53.48,169.02,17.58
2023-09-22,18.63,106.96,26.09,201.92,6.36,18.59,55.43,52.18,361.67,54.12,169.9,17.76
2023-09-25,18.51,106.09,25.78,199.37,6.27,18.23,54.83,50.89,359.64,53.9,168.14,17.49
2023-09-26,18.25,106.79,25.69,196.62,6.24,17.9,54.22,50.65,359.13,53.58,166.38,17.53
2023-09-27,18.22,106.44,25.88,194.07,6.27,17.87,54.35,50.3,360.15,53.37,166.38,17.58
2023-10-20,17.22,101.4,24.66,180.74,5.84,16.75,57.24,47.71,332.25,50.7,167.26,16.89
2023-10-23,16.98,98.26,23.98,180.94,5.68,16.33,57.84,46.66,325.15,49.85,161.1,16.52
2023-10-24,17.75,100.35,24.82,186.04,5.77,16.87,60.01,47.6,321.09,51.56,161.98,17.12
2023-10-25,18.01,103.31,25.25,190.55,5.99,16.96,57.96,48.42,328.7,53.05,162.86,17.49
