date,sh600008_daily,sh600167_daily,sh600168_daily,sh600187_daily,sh688021_daily,sh688057_daily,sh688063_daily,sh688069_daily,sh688087_daily,sh688096_daily,sh688101_daily,sh688303_daily,sh688309_daily,sh688466_daily,sh688565_daily,sh688718_daily,sh688737_daily,sz000027_daily,sz000035_daily,sz000068_daily,sz000155_daily,sz000159_daily,sz000407_daily,sz300004_daily,sz300014_daily,sz300021_daily,sz300040_daily,sz300048_daily,sz300055_daily,sz300056_daily,sz300070_daily,sz300072_daily
2023-04-21,26.08,23.29,13.99,13.68,24.5,16.78,249.63,45.58,36.45,13.09,13.74,51.25,23.65,20.13,10.73,16.07,37.01,144.48,21.81,7.55,22.65,23.56,45.31,21.89,1119.16,55.85,35.39,42.0,63.95,39.12,99.72,74.4
2023-04-24,26.08,23.33,13.89,13.74,24.29,16.66,221.29,45.64,36.37,12.98,13.59,50.69,23.23,21.16,10.71,16.28,36.2,145.4,21.62,7.62,23.3,23.66,45.55,21.97,1105.61,56.61,34.78,43.33,63.39,39.12,102.32,74.4
2023-04-25,25.99,23.29,13.89,13.46,23.86,16.15,213.5,44.07,35.0,12.62,13.25,48.85,23.44,21.62,10.59,15.46,34.97,144.94,21.29,7.41,22.11,23.21,44.82,21.77,1076.38,54.31,33.73,42.58,62.18,37.75,101.39,72.15
2023-04-28,26.52,24.07,14.17,14.47,27.0,16.28,243.07,43.11,36.58,13.4,13.87,45.17,24.08,19.05,11.08,16.84,39.13,147.93,21.76,7.59,22.94,24.33,45.8,22.01,1168.54,56.61,35.45,43.75,65.08,39.42,101.76,73.99
2023-05-08,27.85,26.19,14.34,14.52,25.55,16.69,231.78,42.19,34.14,14.3,13.89,42.96,22.55,18.57,11.16,16.82,38.89,155.08,22.28,7.16,22.83,24.94,46.79,22.25,1139.66,58.48,35.82,44.66,66.05,39.24,103.81,75.62
2023-05-09,27.85,26.66,14.34,14.41,25.08,16.63,223.1,40.38,32.96,13.99,13.8,42.19,21.11,18.32,10.92,16.37,37.63,153.92,22.56,7.05,22.62,24.04,46.42,22.01,1117.56,57.93,35.27,44.25,65.73,37.69,117.76,75.83
2023-05-10,27.93,26.62,14.38,14.47,26.65,16.71,227.98,40.34,33.46,13.97,13.85,42.38,21.32,18.59,11.13,16.57,39.91,153.69,22.61,7.05,23.03,23.75,46.42,22.13,1158.02,56.94,36.31,45.83,66.29,37.33,114.6,78.08
2023-05-11,28.38,27.17,14.45,15.93,26.67,16.74,232.86,40.35,33.8,14.06,14.17,42.3,21.04,18.87,11.5,16.97,39.07,158.99,22.66,7.14,23.22,23.37,47.15,22.21,1212.22,56.61,36.44,46.75,66.61,39.48,112.37,78.08
2023-05-12,28.11,27.65,14.45,15.31,25.73,16.7,227.73,39.33,32.51,14.06,14.03,42.55,20.73,18.67,11.28,16.63,38.35,158.76,22.52,7.02,22.83,23.46,46.91,21.97,1192.79,55.63,36.44,47.33,66.7,42.88,108.46,77.05
2023-05-15,28.29,27.72,14.48,15.31,26.42,16.81,236.63,40.7,32.86,14.15,14.12,43.54,21.2,18.68,11.36,17.06,40.12,157.84,22.56,7.05,24.49,23.53,47.03,22.17,1254.29,56.07,37.3,46.66,67.26,43.84,108.09,77.67
2023-05-17,27.93,27.72,14.48,16.04,26.44,17.07,228.55,40.28,32.94,14.62,14.28,43.39,21.1,19.66,11.69,17.2,40.74,157.38,22.94,7.18,24.11,23.5,47.4,22.58,1231.11,55.63,39.88,48.08,66.86,42.46,108.46,76.24
2023-05-18,27.67,28.19,14.41,15.59,26.42,17.17,223.63,41.24,32.71,14.6,14.36,42.97,21.2,20.1,11.72,17.18,40.7,156.92,22.85,7.18,23.7,23.24,47.4,22.87,1214.53,57.31,38.96,49.25,66.05,42.34,107.16,76.24
2023-05-19,27.31,28.04,14.31,15.7,25.93,17.18,222.29,41.2,32.89,14.54,14.25,43.16,21.33,19.98,11.63,17.3,40.01,154.85,22.52,7.02,23.41,23.3,46.91,22.87,1212.04,55.63,38.34,49.33,65.73,42.7,104.55,76.44
2023-05-23,26.7,27.96,14.15,15.25,26.73,17.0,217.09,41.31,33.77,14.58,14.14,43.69,20.5,20.41,11.76,17.16,39.19,154.61,22.47,7.8,23.44,24.49,46.42,22.62,1194.75,55.29,38.59,47.33,64.52,42.52,102.51,77.87
2023-05-24,26.43,27.84,14.08,15.36,26.95,17.03,221.45,41.3,33.54,14.53,14.1,44.2,20.64,20.5,11.79,17.25,38.57,152.54,22.99,7.73,23.03,23.66,46.29,22.66,1200.99,57.98,38.96,47.58,64.11,42.94,100.83,76.65
2023-05-25,26.25,28.04,14.08,15.53,26.64,17.13,227.65,41.39,33.17,14.64,14.17,43.86,21.38,20.38,11.8,17.23,38.39,154.15,22.8,7.69,23.01,23.85,47.15,22.87,1208.65,57.42,40.18,47.58,64.44,43.6,101.77,75.83
2023-05-26,26.7,28.08,14.22,15.81,26.2,17.15,218.31,41.79,33.22,14.59,14.29,42.61,22.03,20.83,11.79,17.15,38.32,155.31,22.99,7.69,22.39,23.69,46.91,22.99,1177.1,58.98,39.39,48.66,63.95,42.76,104.39,75.42
2023-06-28,26.53,27.76,13.85,15.76,24.78,16.2,197.78,42.03,32.1,14.2,13.46,44.09,20.15,18.99,11.45,16.38,38.01,159.7,21.39,6.61,22.39,23.17,44.82,21.81,1039.35,54.73,38.71,49.75,56.78,41.15,99.71,68.67
