date,sh600130_daily,sh600171_daily,sh600183_daily,sh600570_daily,sh600703_daily,sh600745_daily,sh688002_daily,sh688007_daily,sh688008_daily,sh688018_daily,sh688020_daily,sh688079_daily,sh688103_daily,sh688112_daily,sh688115_daily,sh688127_daily,sh688138_daily,sh688150_daily,sh688156_daily,sh688208_daily,sh688665_daily,sh688668_daily,sh688678_daily,sh688800_daily,sz000016_daily,sz000020_daily,sz000021_daily,sz000032_daily,sz000049_daily,sz000050_daily,sz000058_daily,sz000062_daily,sz000100_daily,sz000725_daily,sz300007_daily,sz300032_daily,sz300053_daily,sz300076_daily,sz300083_daily,sz300088_daily,sz300102_daily,sz300115_daily,sz300120_daily,sz300128_daily
2023-04-21,24.51,58.32,225.81,2190.42,417.02,138.85,46.74,24.69,72.99,122.02,55.39,11.06,68.19,95.14,35.99,17.24,23.34,23.01,31.47,27.75,82.03,70.87,19.86,78.33,118.54,23.1,329.15,149.13,328.3,85.59,28.49,99.61,14.02,21.74,72.41,24.63,63.06,41.63,67.59,114.15,34.35,151.6,25.77,37.75
2023-04-24,24.76,53.97,219.85,2113.79,421.48,133.09,46.06,23.9,70.09,120.93,55.86,10.91,67.74,93.73,35.33,17.38,23.42,23.17,33.68,27.56,82.02,69.9,19.44,74.56,117.56,22.52,321.4,139.71,323.19,84.74,28.44,100.21,13.62,21.32,70.54,24.75,63.57,41.05,67.34,113.28,34.02,153.19,26.35,37.05
2023-04-25,24.09,52.01,219.85,2080.81,385.82,126.38,45.57,23.78,69.63,117.35,53.1,10.57,64.41,93.25,33.69,16.66,22.99,22.98,33.81,26.51,79.93,71.88,18.66,72.91,114.88,22.14,305.75,138.75,306.45,83.81,27.84,98.1,13.39,21.01,58.65,25.01,65.88,39.97,57.63,106.45,33.58,148.41,25.46,36.06
2023-04-28,24.58,52.85,203.38,2201.12,377.33,125.09,51.99,22.58,61.68,119.72,54.08,10.11,64.83,87.99,34.41,16.87,22.99,21.65,34.44,29.63,84.7,63.32,20.0,76.54,115.61,23.37,287.36,132.22,304.55,83.56,28.82,94.76,13.29,21.01,61.9,25.47,58.13,41.05,55.57,107.5,34.35,140.07,25.05,36.66
2023-05-08,24.82,52.91,195.14,2087.94,373.09,123.86,52.38,21.67,60.17,135.92,50.56,9.74,57.36,83.57,32.17,16.23,22.32,21.22,34.65,31.48,82.33,55.54,16.54,71.6,115.37,23.99,269.61,143.18,292.1,77.29,29.66,93.21,13.05,20.9,62.07,25.89,61.67,42.21,54.91,106.63,33.91,145.84,24.68,35.96
2023-05-09,24.33,53.13,194.13,2069.23,373.09,124.88,50.76,21.12,58.61,133.35,49.72,10.02,54.95,80.94,31.55,16.17,21.96,20.91,33.28,29.73,80.74,55.37,16.28,69.44,116.59,23.8,270.1,141.43,286.91,77.29,29.61,92.67,13.12,21.17,61.23,25.51,62.24,41.38,53.34,106.98,33.42,165.71,23.93,34.96
2023-05-10,24.45,52.74,191.85,2060.76,378.18,125.19,50.02,21.1,57.22,131.47,50.58,10.09,53.65,83.07,31.91,16.97,21.5,20.43,33.42,32.22,83.57,55.82,16.59,72.93,117.81,23.58,262.03,142.43,294.0,77.12,29.66,93.06,13.27,20.85,61.61,25.43,64.75,40.88,53.67,108.03,33.58,172.08,24.1,34.96
2023-05-11,24.58,52.71,189.57,2018.43,387.52,127.78,48.99,21.64,56.51,135.31,50.61,10.15,55.02,81.27,32.07,17.42,21.49,20.47,34.48,32.14,81.45,55.22,16.88,71.01,116.83,23.82,288.17,136.07,300.02,77.46,29.84,92.67,13.34,20.85,61.9,26.23,68.24,41.71,54.91,107.68,33.8,171.1,24.34,34.76
2023-05-12,24.27,52.09,187.54,2000.17,381.37,127.81,49.0,21.86,54.42,132.53,48.41,10.25,55.06,81.01,31.83,16.44,21.26,20.09,33.67,31.43,80.51,53.39,16.49,70.65,117.81,23.63,280.91,132.43,295.15,76.61,29.66,91.05,13.23,20.49,61.03,25.39,68.75,40.96,53.43,106.63,33.48,162.52,24.2,34.56
2023-05-15,24.39,52.37,187.79,1966.75,385.4,129.21,51.19,21.43,54.85,135.3,49.97,10.56,56.09,82.1,32.32,16.9,21.67,20.95,35.36,33.02,81.94,55.0,16.7,76.52,116.34,23.73,278.81,133.77,306.45,76.95,29.75,91.12,13.27,20.8,61.82,24.96,67.01,40.38,53.92,107.5,33.96,165.09,24.1,34.76
2023-05-17,24.45,51.95,187.67,1896.35,392.19,130.83,49.97,20.77,55.86,128.11,50.18,11.71,57.92,87.82,33.07,18.04,21.89,21.78,35.91,32.1,82.73,55.16,17.28,73.93,114.88,23.99,317.21,128.66,304.06,77.63,29.75,91.35,13.27,20.49,62.11,24.54,70.86,40.88,54.09,107.5,33.96,166.81,26.01,35.56
2023-05-18,25.18,51.64,190.2,1919.07,389.64,127.47,48.57,20.95,58.75,128.62,50.64,11.57,58.61,87.52,33.51,17.91,22.26,22.49,35.84,31.36,82.81,56.99,17.34,73.11,115.85,24.71,313.66,131.59,302.99,78.3,30.03,92.13,13.31,20.54,64.8,25.77,68.24,42.21,54.91,108.2,34.51,170.61,26.01,38.65
2023-05-19,25.12,52.77,191.34,1906.15,395.59,128.57,49.91,21.06,59.72,138.86,51.1,11.61,60.24,91.29,34.49,18.14,22.79,22.67,34.68,31.41,82.92,57.02,17.61,73.2,118.05,25.41,320.76,132.18,305.71,79.41,29.66,93.29,13.41,20.7,66.61,25.98,69.22,42.71,55.24,110.3,35.27,168.77,25.97,43.53
2023-05-23,25.0,51.64,191.09,1893.67,383.07,124.0,50.25,21.11,58.44,132.53,50.75,11.11,62.29,86.69,35.09,17.91,22.12,22.5,35.71,30.73,92.1,57.09,19.35,75.49,116.34,25.44,296.88,127.62,305.71,78.64,29.7,91.59,13.38,20.49,68.21,25.34,63.31,42.55,55.4,108.03,34.89,159.94,25.09,41.74
2023-05-24,25.12,51.67,190.96,1874.07,388.58,122.76,50.29,21.21,58.75,131.17,52.42,11.28,64.1,87.82,36.28,17.92,22.78,22.95,35.47,30.45,89.97,58.38,19.76,76.21,114.64,25.6,295.27,125.15,305.87,78.47,29.56,91.28,12.94,19.6,69.97,25.6,65.16,42.46,55.81,107.85,34.89,159.2,25.56,42.33
2023-05-25,25.06,51.64,190.83,1852.68,390.28,124.21,50.12,21.47,60.87,132.69,51.83,11.03,62.49,87.19,36.54,17.78,22.62,23.16,35.41,30.18,90.57,59.16,19.76,77.64,114.15,25.77,309.14,121.89,307.27,78.81,29.0,91.66,12.76,19.91,68.42,26.23,67.27,42.8,58.7,108.2,34.83,155.77,25.53,42.23
2023-05-26,25.24,52.4,191.88,1877.19,396.44,124.48,49.23,21.71,61.93,135.32,51.34,11.16,62.31,85.72,36.79,18.03,23.22,23.47,34.84,30.41,90.55,58.6,19.74,75.86,117.56,26.16,333.99,123.18,304.8,79.32,29.28,92.59,12.87,20.17,75.57,26.23,66.85,43.38,57.38,108.2,35.0,158.96,25.77,42.23
2023-06-28,25.12,50.6,181.69,1984.11,358.66,115.93,44.28,20.27,56.09,136.42,48.6,10.6,62.14,79.96,38.36,16.96,21.11,22.13,29.79,30.45,91.38,95.58,21.16,84.43,113.42,25.63,302.53,139.24,286.8,76.61,28.82,86.09,14.04,21.23,87.89,25.73,75.53,41.21,58.7,103.16,34.89,139.09,24.99,40.84
2023-06-29,25.78,51.39,181.04,2024.32,362.69,115.43,44.77,20.37,56.39,134.1,48.69,10.89,60.17,80.48,38.75,17.65,21.13,22.39,29.32,30.47,96.29,100.15,21.68,86.73,114.64,26.52,321.89,138.24,287.22,76.86,28.77,87.18,14.07,21.02,89.07,26.49,72.5,42.05,59.68,105.65,35.27,144.61,26.01,41.44
2023-06-30,26.27,51.82,185.48,1979.19,365.87,116.36,45.15,21.08,58.16,133.07,50.82,11.33,60.58,80.33,39.6,17.85,21.46,22.58,29.39,30.88,95.47,101.85,22.19,87.89,115.12,27.84,322.53,137.99,296.29,77.8,28.91,88.34,14.4,21.71,88.94,26.74,69.83,42.46,60.18,107.25,35.76,146.08,26.25,41.54
2023-07-03,26.15,51.85,187.83,1987.23,368.85,116.72,46.38,21.12,60.64,132.9,50.77,11.04,60.42,80.03,37.67,17.24,21.83,22.23,27.65,31.74,94.59,97.45,23.91,86.41,115.61,27.6,315.43,138.95,298.89,78.39,29.33,88.96,14.55,22.08,85.83,26.44,69.68,42.3,59.11,107.43,36.36,147.18,26.25,41.04
2023-07-04,26.33,53.12,192.79,1972.93,378.18,121.26,48.15,21.9,63.51,141.45,51.85,11.45,59.96,82.16,37.72,17.77,22.35,23.05,27.77,33.35,96.36,97.89,25.72,85.7,115.12,30.37,320.92,145.37,300.15,79.32,29.19,88.88,14.66,22.08,87.09,26.83,69.98,42.13,59.44,109.03,37.93,149.27,26.55,41.24
2023-07-05,26.02,52.44,199.72,1921.54,371.37,118.19,48.76,21.83,63.49,138.41,50.74,11.43,58.69,83.25,36.54,17.63,22.02,22.64,27.89,34.15,96.4,94.34,25.78,81.46,114.15,28.76,319.47,146.54,297.63,79.41,28.91,87.95,14.58,21.97,83.94,26.4,70.34,41.55,58.28,111.35,38.8,145.71,26.08,49.51
2023-07-06,26.15,52.1,202.59,1892.5,373.92,117.6,49.71,21.73,64.54,136.33,51.71,11.49,57.74,81.79,37.19,17.81,22.3,22.47,27.66,34.24,96.88,100.44,25.64,82.12,115.61,31.64,329.95,142.1,295.7,80.34,29.1,88.42,14.99,22.4,84.31,26.87,69.27,41.8,58.61,114.9,37.33,145.34,26.48,54.39
