date,sh600061_daily,sh600095_daily,sh600109_daily,sh600120_daily,sh600155_daily,sh600919_daily,sh600958_daily,sh600999_daily,sh601211_daily,sh601688_daily,sh601788_daily,sh601881_daily,sh601901_daily,sh601933_daily,sh601995_daily,sz000166_daily,sz000415_daily,sz000417_daily,sz000419_daily,sz000776_daily,sz300059_daily,sz300085_daily
2023-04-21,67.88,27.87,76.63,306.93,18.92,9.98,12.56,28.34,17.91,17.69,18.5,11.03,7.16,29.73,40.77,6.69,51.3,87.04,86.89,92.12,1379.11,124.42
2023-04-24,67.49,28.01,75.84,306.93,18.75,9.98,12.35,28.13,17.88,17.5,18.2,10.93,7.1,29.18,40.21,6.59,52.03,87.42,86.89,90.38,1295.7,125.19
2023-04-25,67.19,27.46,76.1,307.72,18.69,10.21,12.54,28.32,18.05,17.56,18.52,10.89,7.13,28.9,40.39,6.67,50.82,87.42,85.6,89.84,1302.18,121.56
2023-04-28,71.31,28.73,82.42,316.44,19.91,10.41,12.56,28.79,18.44,17.84,18.82,11.97,7.31,31.38,42.51,6.87,52.99,92.74,89.49,92.06,1302.99,152.78
2023-05-08,77.1,29.31,83.12,330.72,20.52,10.61,13.28,31.28,19.25,18.87,20.55,14.74,7.54,31.19,42.79,7.43,55.16,95.21,90.3,97.64,1305.42,163.77
2023-05-09,79.16,29.79,83.21,332.3,20.55,10.4,13.12,30.87,19.26,19.18,21.57,16.11,7.57,31.01,47.07,7.43,55.16,94.64,89.81,98.78,1341.86,159.48
2023-05-10,76.61,28.7,81.46,330.72,20.2,10.28,12.55,30.31,18.69,18.38,20.47,14.5,7.38,30.55,46.08,7.23,55.64,94.83,89.97,96.38,1305.42,156.63
2023-05-11,75.83,28.52,81.19,333.1,20.0,10.34,12.5,30.19,18.7,18.5,20.72,13.59,7.41,31.56,45.41,7.28,56.12,96.36,91.43,95.72,1300.56,154.54
2023-05-12,74.55,28.05,79.79,331.51,20.03,10.26,12.22,29.72,18.57,18.32,20.11,13.33,7.35,31.29,44.7,7.23,55.88,95.98,91.43,94.46,1264.93,145.74
2023-05-15,75.33,28.63,80.75,333.1,20.17,10.32,12.43,30.44,18.79,18.52,21.75,13.64,7.42,31.19,44.37,7.23,56.36,95.02,91.11,95.42,1302.18,141.35
2023-05-17,74.45,28.22,79.61,325.96,19.56,10.25,12.43,30.07,18.64,18.3,21.14,13.58,7.35,30.64,44.16,7.23,55.64,94.26,91.76,93.98,1281.12,142.56
2023-05-18,74.75,28.05,79.26,324.37,19.33,10.38,12.29,29.82,18.71,18.3,20.98,13.49,7.3,30.46,45.2,7.17,55.4,93.88,90.46,93.56,1273.84,144.76
2023-05-19,73.18,28.08,78.03,326.75,18.98,10.29,12.0,29.49,18.35,17.9,20.51,13.44,7.2,29.91,43.84,7.14,54.43,92.55,89.97,92.24,1270.6,140.47
2023-05-23,71.21,27.63,77.77,315.65,18.78,10.21,11.75,28.77,18.04,17.36,20.05,12.97,7.1,29.82,42.12,6.99,53.47,90.46,89.32,90.74,1264.12,130.8
2023-05-24,69.84,27.87,76.63,313.95,18.54,10.09,11.55,28.44,17.72,17.03,19.57,12.64,6.98,29.18,42.26,7.02,52.99,90.08,88.03,89.48,1241.44,127.94
2023-05-25,70.04,28.7,76.8,312.33,18.43,10.1,11.6,28.54,17.81,16.98,19.93,12.63,7.01,29.18,42.27,7.11,52.99,89.32,87.22,90.14,1222.82,125.96
2023-05-26,71.21,28.49,76.89,313.95,18.25,10.17,11.61,28.69,17.89,17.1,19.74,12.65,7.04,29.36,42.23,7.2,52.51,89.51,87.38,91.16,1226.06,127.72
2023-06-28,70.14,26.32,75.3,308.29,17.99,9.87,11.22,27.64,17.44,17.22,19.54,12.2,6.77,28.63,35.51,6.82,50.58,88.57,87.7,87.44,1141.84,125.41
2023-06-29,70.44,26.94,75.13,305.05,17.9,9.86,11.19,27.53,17.46,17.09,19.44,12.29,6.75,28.72,35.53,6.9,50.1,89.15,88.35,87.32,1134.55,127.61
2023-06-30,70.74,26.94,76.45,309.9,18.08,9.92,11.56,27.97,17.72,17.48,19.73,12.89,6.83,28.72,35.88,7.02,50.58,90.31,89.0,88.28,1149.93,129.26
2023-07-03,71.93,27.14,77.24,313.14,18.31,10.02,11.83,28.56,18.01,17.89,20.18,13.05,6.89,28.99,36.55,7.07,51.54,91.47,89.97,89.12,1170.18,128.93
2023-07-04,71.43,27.04,77.42,312.33,18.22,9.94,11.82,28.6,18.09,17.88,20.31,13.07,6.88,28.99,36.49,7.0,51.3,91.28,90.3,89.06,1170.18,129.37
2023-07-05,70.54,26.8,77.33,310.71,18.08,9.91,11.69,28.56,17.99,17.71,20.1,12.88,6.87,28.72,36.14,6.93,51.3,90.7,89.32,89.0,1153.17,126.73
2023-07-06,70.24,26.73,77.07,309.9,17.99,9.86,11.66,28.44,17.96,17.74,20.08,12.77,6.87,28.63,36.16,6.91,51.78,91.08,89.81,88.64,1141.84,125.85
2023-07-07,71.03,26.97,78.04,312.33,18.17,9.84,11.86,28.67,18.22,18.04,20.36,12.89,6.91,28.81,36.23,7.0,51.78,91.86,90.3,89.0,1135.36,123.1
2023-07-10,70.94,27.46,77.95,311.52,18.14,9.79,11.86,28.6,18.33,18.09,20.29,12.99,6.9,29.08,36.59,7.13,51.78,92.05,90.62,89.12,1141.03,123.1
2023-07-11,71.53,27.35,78.74,312.33,18.28,9.9,11.86,28.75,18.34,18.09,20.31,13.05,6.99,29.27,36.91,7.08,52.03,93.59,90.46,89.36,1148.32,125.08
2023-07-12,70.84,26.87,78.12,309.9,18.14,9.97,11.71,28.48,18.2,17.88,19.98,12.91,6.94,29.18,36.42,7.05,51.3,92.24,89.65,88.52,1133.74,122.44
2023-07-13,72.23,27.39,79.01,313.95,18.34,10.02,11.95,28.93,18.42,18.45,20.51,13.46,7.0,29.36,36.99,7.14,51.78,97.07,90.78,89.72,1173.42,128.38
2023-07-14,72.62,27.14,77.77,313.14,18.34,10.03,11.76,28.79,18.34,18.49,20.44,13.38,6.99,29.27,37.08,7.14,51.78,100.35,90.62,89.36,1166.94,128.6
2023-07-17,72.62,27.04,77.86,314.76,18.57,10.11,11.74,28.71,18.37,18.35,20.31,13.26,7.03,29.54,36.6,7.13,51.3,100.93,91.11,88.82,1153.17,131.57
2023-07-18,72.82,27.11,78.21,316.38,18.54,10.05,11.74,28.71,18.38,18.5,20.37,13.33,7.01,29.45,36.7,7.1,51.78,103.63,92.4,89.06,1158.84,128.16
2023-07-19,73.92,27.97,78.57,320.42,19.01,10.16,11.81,28.87,18.51,18.64,20.68,13.49,7.05,29.82,37.0,7.11,52.27,105.17,93.7,89.42,1163.7,129.15
2023-07-20,72.53,27.35,78.04,318.81,18.95,10.13,11.68,28.69,18.33,18.54,20.34,13.23,6.99,30.19,36.75,7.07,52.75,106.91,94.51,88.7,1151.55,126.62
2023-07-21,72.72,27.18,77.77,322.04,19.04,10.15,11.69,28.77,18.36,18.52,20.44,13.22,7.02,30.55,36.8,7.08,53.23,107.1,95.32,88.7,1150.74,124.86
2023-07-24,72.72,26.7,77.6,322.85,19.04,10.08,11.62,28.73,18.3,18.61,20.31,13.19,7.03,30.92,36.33,7.07,53.47,106.71,94.84,88.16,1141.03,125.96
2023-07-25,75.41,29.36,80.42,328.52,19.94,10.26,12.37,29.72,18.99,19.96,21.89,14.52,7.24,30.74,38.24,7.38,54.43,108.07,94.35,91.4,1222.82,133.65
2023-08-10,81.37,33.71,93.11,341.46,24.41,10.31,13.36,32.39,20.14,22.83,24.21,15.12,8.31,32.11,44.22,7.79,66.0,109.22,95.67,100.76,1374.25,164.76
2023-08-11,78.78,31.39,89.5,334.99,23.02,10.19,12.84,31.35,19.52,22.14,22.63,14.42,7.98,31.38,41.6,7.53,65.75,107.68,94.34,98.79,1305.42,149.81
2023-08-14,78.39,31.39,88.0,333.37,22.61,10.21,12.71,31.39,19.42,22.08,22.13,14.09,7.87,31.56,39.97,7.38,65.75,109.8,95.67,97.87,1286.79,153.22
2023-08-15,78.68,32.12,88.71,333.37,22.61,10.25,12.94,31.56,19.61,22.59,22.61,14.26,7.91,31.65,40.51,7.46,65.27,112.89,99.66,98.73,1337.0,154.76
2023-08-16,78.98,32.5,89.32,334.99,22.79,10.28,12.99,31.72,19.7,22.47,22.55,14.2,7.96,31.47,41.21,7.53,65.03,110.77,98.5,98.3,1316.76,162.12
2023-08-17,78.98,32.19,89.32,332.56,22.99,10.29,12.89,31.45,19.62,22.38,22.42,14.12,8.02,31.56,40.92,7.49,65.27,111.15,98.5,97.94,1314.33,157.94
2023-08-18,77.49,30.74,87.29,326.9,22.18,10.29,12.67,31.18,19.38,22.45,21.94,14.03,7.85,30.83,41.43,7.37,63.59,109.22,95.84,97.14,1301.37,150.03
2023-08-21,75.51,29.84,84.38,323.66,21.51,10.18,12.27,30.2,18.86,21.09,21.28,13.73,7.66,30.55,40.78,7.09,63.83,108.84,95.34,94.07,1243.87,151.57
2023-08-22,76.4,30.39,85.71,325.28,21.8,10.21,12.4,30.43,19.04,21.74,21.56,13.84,7.79,30.83,42.41,7.17,64.31,109.03,94.68,94.44,1268.17,163.22
2023-08-23,74.71,29.18,83.86,321.23,21.1,10.19,12.21,29.95,18.86,21.33,21.83,13.55,7.55,30.46,42.0,7.02,64.31,107.87,95.17,92.67,1242.25,155.42
2023-08-24,75.41,29.56,86.94,318.0,21.28,10.15,12.28,30.18,18.96,21.71,21.8,13.69,7.62,30.55,43.15,7.05,63.59,107.29,94.18,93.03,1264.93,147.94
2023-08-25,75.21,30.98,86.15,318.0,21.54,10.21,12.27,30.2,18.94,21.94,21.77,13.65,7.63,30.19,43.78,7.11,64.07,106.33,93.35,93.52,1278.7,144.32
2023-08-28,78.09,32.43,87.56,328.52,22.32,10.25,12.51,30.95,19.17,21.99,22.16,13.74,7.78,30.28,43.49,7.14,64.31,107.87,95.34,95.36,1328.09,151.46
2023-08-29,76.8,31.81,87.29,323.66,22.23,10.22,12.33,30.56,19.06,21.56,22.51,13.6,7.72,30.46,42.22,6.97,64.07,107.87,96.67,95.36,1349.15,157.18
2023-08-30,74.51,30.18,84.83,312.33,21.57,10.19,12.08,30.12,18.63,20.99,22.22,13.18,7.55,30.0,41.13,6.79,64.55,105.36,94.51,93.89,1313.52,150.58
2023-08-31,72.82,29.39,82.8,307.48,20.99,10.31,11.87,29.68,18.44,20.68,21.57,13.05,7.55,29.54,39.57,6.66,62.62,104.59,93.18,92.3,1285.17,144.87
2023-09-01,72.33,29.01,82.8,306.67,21.3,10.31,11.89,29.72,18.46,21.04,21.27,12.92,7.5,30.09,39.81,6.68,62.86,108.45,96.01,93.03,1294.08,138.27
2023-09-04,72.82,29.11,83.5,317.19,21.8,10.31,11.92,29.93,18.68,21.46,21.75,13.07,7.52,30.37,39.95,6.77,63.35,110.38,97.33,94.07,1303.8,139.37
2023-09-05,71.63,28.49,82.18,309.9,21.22,9.95,11.78,29.72,18.56,21.26,21.44,12.84,7.45,30.0,38.96,6.66,64.07,108.45,96.17,93.03,1286.79,135.74
2023-09-06,70.84,27.8,82.53,310.71,20.9,9.99,11.8,29.57,18.58,21.13,21.47,12.76,7.49,29.91,38.55,6.66,65.03,106.33,95.84,92.73,1273.84,135.19
2023-09-07,70.34,27.59,81.92,306.67,20.78,10.02,11.71,29.32,18.55,21.03,21.56,12.67,7.46,29.54,38.25,6.6,63.35,105.75,95.34,91.81,1266.55,135.74
2023-09-08,71.23,27.84,82.09,309.1,20.93,10.02,11.76,29.32,18.62,21.17,21.68,12.72,7.49,29.54,39.14,6.62,64.07,105.56,95.34,92.11,1269.79,138.93
2023-09-18,70.04,27.66,81.56,310.71,23.22,10.21,11.56,29.26,18.7,21.33,21.05,12.55,7.52,30.28,38.49,6.66,63.83,107.68,98.0,91.68,1247.11,129.37
2023-09-19,69.84,27.77,81.56,310.71,23.98,10.34,11.66,29.26,18.76,21.34,21.09,12.52,7.51,30.09,38.67,6.65,64.07,106.91,96.67,91.26,1239.82,127.39
2023-09-20,69.35,27.49,81.39,308.29,23.19,10.4,11.61,29.11,18.61,21.46,21.02,12.49,7.53,29.73,38.25,6.65,63.83,105.17,95.17,90.77,1234.97,127.06
2023-09-21,69.05,27.14,81.21,305.86,23.95,10.35,11.47,28.97,18.53,21.29,20.95,12.37,7.49,29.45,37.49,6.57,63.35,103.43,93.68,90.15,1210.67,127.94
2023-09-22,70.34,27.7,82.97,309.9,26.33,10.35,11.76,29.57,18.87,21.87,21.44,12.82,7.72,29.82,38.71,6.74,63.83,105.17,95.51,91.93,1260.07,131.79
2023-09-25,69.35,27.04,81.39,305.86,24.79,10.48,11.5,29.28,18.72,21.16,21.09,12.57,7.62,29.64,37.65,6.66,63.1,104.4,94.84,90.7,1230.92,129.48
2023-09-26,69.15,26.94,81.74,304.24,24.59,10.48,11.39,29.32,18.6,21.28,21.03,12.46,7.72,29.45,37.8,6.65,63.35,104.01,94.18,90.15,1228.49,131.46
2023-09-27,68.95,27.01,82.18,304.24,24.01,10.44,11.34,29.34,18.68,21.24,21.04,12.47,7.79,29.36,37.78,6.63,63.59,104.01,94.51,90.46,1229.3,134.09
2023-10-20,66.37,28.28,80.51,293.72,29.12,10.18,10.13,29.01,18.27,20.42,20.41,13.19,7.84,27.98,37.78,6.62,58.05,97.07,89.19,89.05,1211.48,142.01
2023-10-23,64.78,28.7,77.95,286.44,26.97,10.11,10.1,28.45,17.92,19.92,20.07,13.47,7.57,27.43,37.37,6.42,56.36,95.33,87.04,87.52,1177.47,133.87
2023-10-24,66.76,29.63,79.98,292.1,29.12,10.0,10.25,29.05,18.37,20.57,20.61,14.26,7.87,27.8,38.43,6.65,57.81,98.22,89.19,89.05,1213.91,140.47
2023-10-25,66.96,28.56,79.98,293.72,27.47,10.05,10.19,29.22,18.47,20.79,20.5,13.78,7.79,28.17,37.98,6.68,58.05,91.47,91.02,89.72,1207.43,141.79
2023-10-26,67.36,28.39,79.71,292.1,27.41,10.15,10.2,29.28,18.51,20.66,20.51,13.95,7.84,28.35,37.58,6.71,57.81,89.35,87.53,89.48,1201.76,140.25
2023-10-27,67.26,28.18,79.89,295.34,26.54,9.96,10.28,29.45,18.61,20.6,20.68,13.95,7.87,28.72,37.78,6.77,58.53,90.89,89.53,90.7,1219.58,134.09
2023-10-30,67.96,28.28,79.45,296.96,26.74,10.0,10.28,29.34,18.47,20.26,20.78,13.72,7.98,28.53,37.89,6.71,57.81,91.08,89.86,90.7,1230.11,134.97
2023-10-31,67.86,28.08,80.59,297.77,28.34,9.98,10.33,29.53,18.71,20.87,20.69,13.73,7.93,28.26,37.38,6.71,57.57,91.28,90.36,90.95,1236.58,132.34
2023-11-01,67.86,27.97,80.51,296.15,27.67,9.87,10.5,29.36,18.9,20.9,20.55,13.69,7.95,28.35,37.14,6.68,57.32,92.24,91.69,90.46,1230.11,131.57
2023-11-02,67.16,27.56,79.98,293.72,27.32,9.89,10.53,29.24,18.84,20.96,20.38,13.58,7.8,27.98,37.03,6.65,57.08,91.66,91.52,89.78,1218.77,129.81
2023-11-03,67.36,27.84,80.68,295.34,27.35,9.92,10.66,29.34,18.93,21.3,20.68,13.59,8.22,28.08,37.2,6.69,56.12,92.24,91.19,90.7,1243.87,131.57
2023-11-06,69.94,28.63,84.21,302.62,29.47,10.0,10.89,30.07,19.37,21.82,21.33,14.54,9.05,28.35,39.55,6.94,57.08,93.79,92.18,92.79,1278.7,136.07
2023-11-07,70.74,28.7,84.65,303.43,28.37,9.93,10.85,30.07,19.33,21.72,21.76,14.65,9.96,28.08,39.8,7.02,56.36,93.59,91.85,92.67,1268.98,137.72
2023-11-08,70.04,28.22,83.41,299.39,27.82,9.9,10.77,29.85,19.24,21.38,21.52,14.71,9.51,27.98,39.21,6.92,55.16,93.59,92.02,91.87,1260.88,140.91
2023-11-09,70.14,27.97,82.8,298.58,29.36,9.89,10.7,29.8,19.17,21.21,21.43,14.63,9.74,27.8,39.4,6.89,54.92,92.82,91.52,91.32,1258.45,140.14
2023-11-10,70.24,27.97,82.8,297.77,29.15,9.77,10.65,29.82,19.12,21.22,21.31,14.71,10.27,27.71,39.47,6.92,54.43,92.43,91.02,91.07,1249.54,140.03
2023-11-13,69.84,28.22,82.27,301.0,28.98,9.69,10.7,29.87,19.12,21.12,21.23,14.73,9.72,27.8,39.79,6.88,54.67,93.01,92.52,90.77,1250.35,152.78
2023-11-14,70.84,28.46,82.97,304.24,28.98,9.67,10.77,30.05,19.32,21.05,21.49,15.39,9.66,27.8,43.03,7.05,55.16,92.63,92.35,91.26,1259.26,162.67
2023-11-15,70.74,28.49,84.83,303.43,28.75,9.76,10.76,30.14,19.37,20.96,21.47,15.55,9.72,27.8,43.34,7.08,55.16,92.82,92.35,91.32,1258.45,161.57
2023-11-16,70.14,28.18,85.53,301.81,28.19,9.74,10.66,29.99,19.31,20.78,21.26,15.31,9.97,27.62,43.98,7.03,55.16,92.82,92.18,90.58,1238.2,162.12
2023-11-17,70.64,28.18,89.15,302.62,27.44,9.66,10.71,29.91,19.34,20.62,21.33,15.2,10.51,27.71,44.6,7.06,54.92,93.21,93.35,90.77,1239.01,159.92
2023-11-20,70.24,28.15,86.77,302.62,27.55,9.76,10.65,29.87,19.33,20.48,21.19,14.89,10.21,27.98,43.38,6.98,55.16,94.75,93.68,90.89,1234.97,162.01
2023-11-21,70.34,27.94,85.88,302.62,26.54,9.77,10.74,29.89,19.34,20.61,21.19,14.76,9.78,28.17,42.41,6.98,55.64,98.8,94.51,91.13,1230.92,163.77
2023-11-22,69.64,27.52,85.35,302.62,26.16,9.77,10.63,29.82,19.27,20.46,20.94,14.54,10.04,28.35,42.41,6.92,55.64,100.15,95.67,90.28,1214.72,161.46
2023-11-23,70.14,27.8,86.06,305.05,26.94,9.79,10.68,29.78,19.34,20.17,20.97,14.38,9.89,28.17,42.02,6.94,56.12,97.64,96.17,90.09,1218.77,160.14
2023-11-24,69.45,27.28,84.21,304.24,26.59,9.83,10.58,29.64,19.28,19.87,20.72,14.37,9.45,28.53,41.66,6.97,55.64,97.45,98.83,89.23,1205.0,154.54
2023-11-27,69.05,27.08,83.33,301.81,26.94,9.79,10.52,29.43,19.13,19.54,20.5,14.26,9.07,28.35,40.77,6.97,54.67,95.71,95.67,88.87,1200.14,152.78
2023-11-28,68.85,27.14,83.41,301.81,26.51,9.72,10.5,29.34,19.1,19.28,20.51,14.01,9.03,28.35,40.07,6.95,54.19,96.29,96.17,88.93,1199.33,152.56
2023-11-29,68.15,27.08,82.8,296.96,26.04,9.56,10.38,29.24,18.98,18.72,20.4,14.0,8.93,27.71,40.47,6.86,53.23,95.14,95.84,88.13,1184.76,150.36
2023-12-08,68.25,26.8,82.62,296.96,27.61,9.46,10.34,29.36,18.67,18.41,19.65,13.85,9.28,27.16,40.21,6.91,54.19,96.49,96.34,87.15,1163.7,169.05
2023-12-11,69.45,27.35,84.91,301.0,27.76,9.53,10.46,29.74,18.91,18.68,20.05,14.05,9.42,27.25,41.08,7.0,53.71,97.84,96.67,87.88,1180.71,177.29
2023-12-12,69.05,27.32,84.65,302.62,26.97,9.61,10.41,29.74,18.94,18.74,20.05,14.18,9.3,27.34,40.76,7.0,54.43,100.93,102.48,87.64,1175.04,175.86
2023-12-13,68.65,27.01,84.21,301.81,26.74,9.51,10.26,29.36,18.95,18.44,19.76,14.04,9.18,26.79,39.95,6.94,54.67,101.5,103.48,87.15,1148.32,169.6
2023-12-14,68.55,27.01,83.77,303.43,27.52,9.46,10.2,29.11,19.0,18.46,19.73,14.0,9.24,27.16,39.58,6.91,54.92,104.21,103.31,87.09,1145.89,168.83
2023-12-15,68.45,27.04,84.47,303.43,27.52,9.46,10.18,28.97,18.99,18.32,19.71,14.09,9.28,27.07,39.75,6.85,55.16,103.82,102.48,86.97,1148.32,170.15
2023-12-18,67.76,26.77,84.03,299.39,27.79,9.41,10.12,28.91,18.96,18.26,19.53,14.15,9.71,26.79,39.44,6.83,54.19,99.0,100.49,86.35,1146.7,174.98
2023-12-19,67.26,26.9,83.06,297.77,27.96,9.41,10.08,28.95,19.0,18.39,19.46,14.15,9.52,26.88,39.2,6.82,53.71,96.87,99.33,86.66,1147.51,172.56
2023-12-20,65.97,26.01,80.24,291.29,25.17,9.43,9.9,28.32,18.57,17.89,19.03,13.61,8.57,26.88,37.9,6.66,52.99,95.33,98.16,85.68,1122.4,163.55
2023-12-21,66.37,26.07,80.42,291.29,24.36,9.46,10.0,28.03,18.55,18.18,19.12,13.5,8.34,26.61,37.75,6.63,52.75,97.26,98.99,86.17,1127.26,166.85
2023-12-22,66.46,25.87,79.54,288.87,23.86,9.47,9.95,28.13,18.6,18.06,19.03,13.48,8.34,26.33,37.98,6.71,52.03,95.52,96.5,86.66,1124.83,168.17
2023-12-25,66.56,25.63,78.65,289.68,23.19,9.48,9.93,28.09,18.61,17.85,18.96,13.38,8.18,25.97,37.48,6.74,51.54,93.01,93.02,86.54,1122.4,158.16
2023-12-27,66.17,25.49,78.12,288.06,24.18,9.61,9.87,28.26,18.6,17.93,19.12,13.34,8.13,25.78,37.4,6.72,51.54,95.52,93.68,85.98,1086.77,151.13
2023-12-28,67.16,25.94,80.06,291.29,24.39,9.73,10.28,28.53,18.8,18.18,19.36,13.67,8.3,25.97,38.37,6.82,52.03,96.1,94.51,87.39,1130.5,153.22
2024-01-02,66.46,25.59,79.36,292.91,24.15,9.67,10.15,28.32,18.84,17.88,19.13,13.33,8.23,25.78,37.86,6.68,51.06,97.07,95.67,87.03,1117.54,152.56
2024-01-03,66.66,25.56,79.36,294.53,24.3,9.7,10.14,28.4,18.95,18.1,19.22,13.53,8.21,25.69,37.83,6.69,51.54,98.42,97.0,86.84,1110.25,150.58
2024-01-04,65.47,25.31,78.48,292.91,23.98,9.7,10.18,28.15,18.86,18.02,19.11,13.39,8.11,25.51,37.39,6.63,50.58,98.42,98.83,86.41,1090.01,151.79
2024-01-05,65.07,25.07,77.95,291.29,23.57,9.85,10.06,28.13,18.86,17.99,18.92,13.29,8.05,25.32,36.98,6.68,50.1,97.64,97.17,86.48,1075.43,148.82
2024-01-08,63.88,24.69,76.27,289.68,23.37,9.85,9.89,27.53,18.6,17.6,18.43,12.99,7.9,24.86,34.8,6.51,48.89,96.29,96.17,85.43,1058.43,145.3
2024-01-09,64.38,24.52,75.48,286.44,23.4,9.9,9.72,27.51,18.41,17.54,18.3,12.93,7.9,24.96,34.46,6.48,49.14,97.64,99.33,85.19,1060.86,143.0
2024-01-10,64.28,24.55,75.13,286.44,23.05,9.89,9.75,27.42,18.25,17.59,18.16,12.75,7.79,25.32,34.4,6.47,49.62,98.61,98.83,84.7,1051.14,139.37
2024-01-11,64.68,24.87,76.36,288.06,23.57,9.93,9.88,27.44,18.28,17.76,18.33,12.96,7.91,25.32,34.2,6.48,49.86,99.96,98.83,85.43,1066.52,147.5
2024-01-12,64.38,24.83,75.48,284.82,23.72,10.0,9.79,27.05,18.33,17.72,18.1,12.65,7.75,25.23,33.69,6.48,49.14,98.03,97.67,85.25,1048.71,143.88
2024-01-15,64.28,24.8,75.3,284.82,23.46,10.09,9.82,26.96,18.39,17.63,18.16,12.75,7.75,25.32,33.54,6.42,49.38,100.54,98.83,85.07,1038.99,141.79
2024-01-16,64.68,25.76,76.01,284.82,23.66,10.24,9.89,27.36,18.68,17.85,18.4,12.89,7.8,25.14,33.89,6.48,49.14,99.0,97.83,85.25,1047.09,146.4
2024-01-17,64.28,25.18,74.51,284.82,23.08,10.15,9.71,27.15,18.56,17.64,18.03,12.64,7.68,24.68,33.27,6.4,47.93,94.56,95.17,83.78,1006.6,145.63
2024-01-18,63.88,27.21,74.95,288.06,23.08,10.21,9.88,27.42,18.32,17.79,18.29,12.72,7.7,24.31,33.66,6.42,47.93,93.01,92.52,84.7,1038.18,150.36
2024-01-19,63.09,26.39,73.98,279.97,22.35,10.26,9.89,27.21,18.2,17.77,18.18,12.49,7.61,24.31,33.09,6.37,48.65,92.43,91.52,83.96,1028.46,141.02
2024-01-22,61.0,26.56,71.33,269.45,21.3,10.18,9.7,26.9,17.91,17.55,17.94,12.11,7.31,23.3,32.08,6.31,46.73,86.84,84.05,82.25,1004.98,131.13
2024-01-23,62.59,27.21,72.83,275.11,22.12,10.19,9.83,26.8,18.05,17.75,18.28,12.26,7.49,23.4,32.69,6.39,47.69,87.42,82.55,82.74,1029.27,131.35
2024-01-24,66.07,28.04,75.83,292.1,23.02,10.26,10.35,27.65,18.67,18.44,20.1,12.9,7.72,23.95,33.93,6.6,50.82,91.66,86.21,85.37,1074.62,135.52
2024-01-25,67.66,27.35,76.71,295.34,23.63,10.31,10.43,28.05,19.08,18.57,20.25,13.45,7.86,24.5,34.84,6.77,50.58,94.94,90.19,86.29,1081.1,136.84
2024-01-26,69.35,26.77,76.98,297.77,23.4,10.47,10.44,28.24,19.08,18.59,20.3,13.69,7.83,24.5,34.78,6.79,51.06,94.94,91.85,86.35,1062.48,135.19
2024-01-29,67.76,25.31,75.48,292.91,22.41,10.57,10.19,28.15,19.03,18.45,19.89,13.49,7.6,24.04,34.26,6.83,50.1,92.63,89.69,85.43,1038.18,128.27
2024-01-30,66.37,25.18,74.77,288.87,21.6,10.51,10.04,28.05,18.79,18.12,19.71,13.24,7.44,23.76,33.43,6.74,48.65,90.5,85.54,84.39,1017.13,120.02
2024-01-31,66.37,25.45,73.8,280.78,21.3,10.58,9.85,27.92,18.51,17.89,19.66,13.16,7.24,22.48,32.79,6.68,49.38,87.03,80.23,83.96,1010.65,110.68
2024-02-01,64.68,24.42,73.19,277.54,20.93,10.54,9.88,27.9,18.55,18.06,19.29,12.84,7.17,22.11,32.68,6.65,47.93,84.72,77.57,83.17,1027.65,109.91
2024-02-02,63.09,23.24,70.98,269.45,19.65,10.55,9.72,27.61,18.17,17.41,19.01,12.33,6.88,21.74,31.58,6.62,46.97,85.87,74.25,81.94,1008.22,104.2
