date,sh600000_daily,sh600016_daily,sh600036_daily,sh601166_daily,sh601169_daily,sh601229_daily,sh601288_daily,sh601318_daily,sh601328_daily,sh601336_daily,sh601398_daily,sh601601_daily,sh601628_daily,sh601818_daily,sh601916_daily,sh601939_daily,sh601988_daily,sh601998_daily,sz000001_daily,sz002142_daily
2023-04-21,112.9,112.19,189.06,80.9,19.41,18.87,6.25,126.42,12.37,38.68,9.9,43.08,46.02,5.43,3.25,13.01,7.8,10.31,1544.55,60.88
2023-04-24,111.42,112.19,184.13,80.05,19.53,18.87,6.3,125.5,12.42,40.46,9.94,43.79,46.42,5.44,3.23,13.05,7.89,10.5,1495.13,58.07
2023-04-25,112.46,114.08,186.48,81.66,19.74,19.05,6.42,124.66,12.69,40.46,10.0,43.69,47.22,5.48,3.28,13.26,8.0,11.25,1517.37,59.89
2023-04-28,113.05,114.39,184.13,81.42,19.62,18.99,6.42,140.1,12.55,46.45,9.94,45.45,49.93,5.5,3.38,13.12,8.0,11.26,1550.73,61.6
2023-05-08,120.05,139.92,195.08,83.36,20.86,19.81,7.3,148.54,14.24,51.47,11.16,50.87,50.77,6.1,3.75,14.61,9.78,13.1,1645.88,64.42
2023-05-09,118.41,135.51,191.74,83.03,20.49,19.81,7.19,144.65,13.99,48.55,11.1,49.6,49.27,6.15,3.73,14.53,9.94,13.74,1626.11,63.45
2023-05-10,114.54,131.73,188.51,81.85,19.78,19.29,6.77,141.48,13.36,47.8,10.59,47.42,48.65,5.86,3.58,13.76,9.39,12.89,1586.56,61.51
2023-05-11,114.09,130.78,188.78,81.56,19.82,19.35,6.74,141.59,13.32,48.52,10.53,47.05,49.86,5.79,3.56,13.59,9.06,12.51,1587.8,62.08
2023-05-12,113.35,128.89,186.54,80.52,20.07,19.23,6.68,138.67,13.14,47.25,10.49,46.09,50.17,5.72,3.57,13.53,9.06,12.39,1559.38,61.42
2023-05-15,114.39,128.89,190.15,81.09,20.4,19.47,6.72,145.27,13.3,48.9,10.61,48.86,54.73,5.74,3.59,13.76,9.11,12.2,1585.33,61.92
2023-05-17,113.2,127.31,189.06,81.04,20.28,19.26,6.72,140.4,13.16,46.58,10.51,45.58,51.72,5.72,3.54,13.68,9.04,12.09,1543.32,60.19
2023-05-18,114.24,127.94,188.78,81.23,20.57,19.44,6.92,140.16,13.36,47.08,10.78,46.21,52.69,5.81,3.55,13.97,9.17,12.25,1543.32,59.96
2023-05-19,112.16,127.0,186.04,80.57,20.24,19.08,6.79,138.05,13.12,46.55,10.61,45.16,53.25,5.65,3.5,13.82,9.06,12.01,1524.78,59.67
2023-05-23,110.82,125.42,184.13,80.14,19.78,18.78,6.57,134.96,12.94,45.43,10.38,43.83,50.26,5.48,3.43,13.51,8.8,11.7,1508.72,59.29
2023-05-24,108.44,123.22,180.45,79.06,19.33,18.54,6.4,131.1,12.62,44.36,10.02,41.94,48.01,5.32,3.39,13.1,8.48,11.25,1484.01,57.73
2023-05-25,108.74,123.22,177.66,78.82,19.41,18.51,6.45,130.91,12.73,44.32,9.98,41.69,48.07,5.34,3.37,12.91,8.48,11.33,1474.12,57.71
2023-05-26,108.89,122.9,179.41,79.34,19.62,18.66,6.57,131.01,13.09,44.37,10.11,41.44,48.26,5.41,3.37,13.2,8.48,11.35,1495.13,58.41
2023-06-28,107.25,124.0,181.11,79.76,19.04,18.45,6.6,129.73,12.96,43.19,10.15,39.36,44.96,5.24,3.22,12.89,8.43,10.31,1430.92,56.92
2023-06-29,106.81,124.67,179.08,79.05,19.04,18.38,6.55,129.07,12.91,43.5,10.07,39.71,45.05,5.27,3.21,12.89,8.41,10.26,1415.73,56.47
2023-06-30,107.7,125.0,179.52,79.56,19.16,18.61,6.62,129.34,13.07,43.96,10.15,39.32,44.75,5.27,3.29,13.01,8.52,10.36,1422.06,56.92
2023-07-03,108.89,126.67,184.78,80.48,19.41,18.81,6.79,134.31,13.27,47.35,10.28,41.16,46.38,5.34,3.41,13.18,8.67,10.36,1454.98,57.55
2023-07-04,108.29,125.67,183.63,79.71,19.2,18.71,6.68,133.66,13.09,47.41,10.17,41.36,45.8,5.27,3.34,13.05,8.54,10.33,1443.59,56.74
2023-07-05,107.85,125.0,181.0,79.31,19.24,18.71,6.66,131.99,13.05,46.8,10.15,41.0,45.32,5.26,3.32,13.01,8.54,10.29,1435.99,56.18
2023-07-06,107.25,124.67,178.54,79.1,19.07,18.64,6.59,131.85,12.96,47.13,10.05,41.5,45.1,5.22,3.26,12.89,8.48,10.15,1423.33,55.98
