date,sh600073_daily,sh600084_daily,sh600132_daily,sh600186_daily,sh600189_daily,sh600519_daily,sh600809_daily,sh600887_daily,sh688089_daily,sz000505_daily,sz000568_daily,sz000858_daily,sz000895_daily
2023-04-21,27.77,55.55,600.97,13.73,16.45,13560.66,1677.79,2578.0,38.83,25.91,7716.17,3193.36,654.25
2023-04-24,27.03,55.12,584.71,13.63,16.15,13399.79,1659.25,2519.08,38.07,25.35,7467.97,3119.1,645.75
2023-04-25,27.16,55.26,594.08,13.83,15.98,13599.25,1691.21,2532.89,37.83,24.72,7594.93,3152.52,652.75
2023-04-28,26.9,56.05,584.15,14.13,16.78,13836.12,1745.15,2721.64,33.01,25.31,7619.18,3137.66,649.41
2023-05-08,26.22,55.91,565.64,14.28,16.78,13521.76,1648.5,2774.12,31.87,25.74,7486.49,3182.22,660.34
2023-05-09,26.19,55.55,561.55,14.23,16.61,13533.39,1695.0,2752.94,31.11,25.55,7451.13,3244.79,662.68
2023-05-10,26.25,55.48,561.1,14.38,16.61,13556.97,1668.52,2746.49,31.3,25.51,7333.59,3217.87,666.32
2023-05-11,26.25,55.48,557.34,14.48,16.7,13494.65,1658.12,2723.48,30.94,25.55,7273.98,3203.94,659.56
2023-05-12,26.22,55.55,542.87,14.13,16.53,13410.79,1642.18,2740.97,30.64,25.35,7200.9,3144.53,658.26
2023-05-15,25.96,54.76,545.4,14.03,16.56,13488.59,1652.92,2786.09,30.9,25.48,7270.28,3201.53,658.26
2023-05-17,25.57,54.04,519.6,14.28,16.34,13368.35,1616.89,2745.57,31.3,25.25,7072.26,3143.98,654.09
2023-05-18,25.22,53.47,524.14,14.28,16.23,13289.76,1595.4,2731.76,31.18,24.92,6983.69,3131.35,647.06
2023-05-19,25.35,54.33,539.12,14.33,16.37,13356.56,1631.5,2748.34,31.88,24.98,7178.34,3171.08,650.71
2023-05-23,25.28,53.61,536.31,13.78,16.31,13553.43,1501.56,2823.84,31.95,25.15,7432.61,3230.49,659.56
2023-05-24,24.7,54.33,527.17,13.83,16.17,13446.15,1512.94,2762.15,32.08,24.82,7332.25,3162.73,651.49
2023-05-25,24.44,54.04,529.3,13.63,16.01,13368.35,1514.7,2737.29,31.55,24.62,7294.53,3122.81,649.93
2023-05-26,24.41,54.04,522.52,13.43,15.98,13286.3,1526.71,2713.35,31.5,24.55,7211.34,3158.09,650.19
2023-06-28,24.03,54.33,553.97,14.43,16.92,13583.53,1367.65,2721.49,29.17,24.58,7336.96,3166.26,637.69
2023-06-29,24.13,54.33,540.21,14.23,16.72,13468.24,1325.17,2692.88,29.8,24.62,7148.7,3111.92,635.35
2023-06-30,24.17,55.05,530.37,14.38,16.92,13493.78,1321.45,2701.46,30.59,24.65,7057.78,3107.36,637.43
2023-07-03,24.56,55.05,543.84,14.33,17.03,13757.91,1400.71,2778.73,30.73,25.15,7341.68,3179.36,641.86
2023-07-04,24.53,55.05,540.21,14.53,17.03,13809.78,1437.2,2779.68,31.14,25.18,7437.66,3195.7,641.86
2023-07-05,24.27,55.26,534.74,14.38,16.86,13688.33,1414.14,2744.39,30.39,25.08,7231.21,3141.75,635.09
2023-07-06,24.27,55.55,508.62,14.33,16.92,13589.38,1413.28,2730.08,30.39,25.81,7162.51,3121.23,630.67
2023-07-07,24.47,56.05,495.67,14.33,17.41,13486.04,1414.49,2735.8,30.67,26.11,7117.72,3109.07,633.01
2023-07-10,24.66,55.55,502.75,14.23,17.33,13572.78,1437.84,2707.19,31.35,25.78,7173.29,3126.93,637.69
2023-07-11,24.8,55.62,507.98,14.33,17.24,13645.4,1441.7,2718.63,31.03,25.68,7154.09,3137.19,636.39
2023-07-12,24.7,55.77,504.53,14.83,17.11,13675.72,1459.05,2705.28,30.59,25.48,7201.91,3143.27,632.23
