"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109"
4.32874063542518e-05,-0.000949682131702923,-0.0017397907150041,-0.00234753725155113,-0.00279607064454038,-0.00311067999125896,-0.00331821967911125,-0.00344648021277892,-0.00352351819032436,-0.00357696131094855,-0.00363330655188131,-0.00371723158650287,-0.00385094099647256,-0.00405356969732729,-0.00434066606718492,-0.00472377634953681,-0.00521014981521294,-0.00580258078520466,-0.00649939889393053,-0.00729461299978598,-0.00817820717346213,-0.00913657962776869,-0.0101531078530885,-0.0112088162361519,-0.0122831167190321,-0.0133545891628403,-0.0144017663997853,-0.0154038896282239,-0.0163416027036695,-0.0171975586404933,-0.0179569177274498,-0.0186077234560694,-0.0191411493580663,-0.0195516163310571,-0.0198367857264424,-0.0199974381611558,-0.0200372516210292,-0.019962494983624,-0.0197816547085601,-0.0195050132618597,-0.0191441979968069,-0.0187117188272878,-0.018220512190505,-0.0176835075618517,-0.0171132311846517,-0.0165214597204058,-0.0159189342120959,-0.0153151420904802,-0.0147181719674173,-0.0141346427093923,-0.0135697048675135,-0.0130271090999006,-0.0125093329404233,-0.0120177543537934,-0.011552858189915,-0.0111144601151392,-0.0107019320204837,-0.0103144133898109,-0.00995099467514019,-0.00961086129892377,-0.00929339031637775,-0.00899819577100636,-0.00872512304293677,-0.00847419666375553,-0.00824552978971456,-0.00803920645541761,-0.00785514960641073,-0.0076929885606371,-0.00755193892039753,-0.00743070611834354,-0.0073274209251368,-0.00723961167060725,-0.00716421400999534,-0.00709761521714572,-0.00703572661704816,-0.00697407523877491,-0.00690790433960142,-0.00683227225643844,-0.00674214006928182,-0.00663244065438626,-0.00649812457773959,-0.00633418156059392,-0.00613563953097463,-0.00589754617069396,-0.00561494005950594,-0.00528281979820318,-0.00489611978027512,-0.00444970062420666,-0.00393836083105083,-0.00335687422603917,-0.00270005544682705,-0.00196285341981834,-0.0011404706487505,-0.000228504395446545,0.00077689544043989,0.00187885770935696,0.00307961693850193,0.00438034197533892,0.00578097212961436,0.00728006599242433,0.00887466738788056,0.01056019213781,0.0123303385390474,0.0141770236930516,0.0160903471008133,0.0180585822454805,0.020068196230538,0.0221038969231923,0.0241487064742678
-0.000949682131703024,-0.00222783048639967,-0.00328566002420404,-0.00414247101003758,-0.00482023657634759,-0.00534311350738608,-0.00573689056913331,-0.00602838510560043,-0.00624480100010136,-0.00641306330509509,-0.00655914679529692,-0.00670741730703504,-0.00688000589035544,-0.00709623640156143,-0.00737212706963491,-0.00771998563869567,-0.00814811578547339,-0.00866064953217973,-0.00925751628008373,-0.00993455393224628,-0.0106837615327131,-0.0114936862367857,-0.01234993068018,-0.0132357604595567,-0.0141327860254836,-0.0150216893253097,-0.0158829633968053,-0.0166976329980568,-0.0174479262447393,-0.0181178708840397,-0.0186937938704541,-0.0191647088269863,-0.0195225822555356,-0.0197624755249549,-0.019882565330199,-0.0198840502152906,-0.0197709547410308,-0.0195498459142401,-0.0192294786152236,-0.0188203880485075,-0.0183344478041162,-0.017784412057165,-0.0171834598413767,-0.0165447582727841,-0.0158810601144334,-0.015204349182319,-0.0145255448075971,-0.0138542739031533,-0.0131987161631628,-0.0125655246116631,-0.0119598202093346,-0.0113852556696326,-0.0108441402099733,-0.010337613884605,-0.00986585763878436,-0.00942832350313829,-0.00902396858962195,-0.00865147687133713,-0.00830945416049159,-0.0079965841800321,-0.00771173699556687,-0.00745402508640734,-0.00722280666873334,-0.00701764017813936,-0.00683819770248685,-0.00668414828623514,-0.00655502412450791,-0.00645008354257055,-0.00636818424253219,-0.00630767864776396,-0.00626634046395774,-0.00624132808947942,-0.00622918661332246,-0.00622588624691251,-0.0062268915562703,-0.0062272531569113,-0.00622171187888144,-0.00620480495323257,-0.00617096452057321,-0.00611460057957868,-0.00603016311590059,-0.00591218122894415,-0.00575528021573144,-0.0055541804026962,-0.00530368372725595,-0.0049986554522589,-0.00463400885948309,-0.00420470034544033,-0.00370574116889198,-0.00313223038230196,-0.00247941146217162,-0.00174275307798815,-0.000918052516521634,-1.55866417498956e-06,0.00100988976157127,0.00211871581881246,0.00332645123930284,0.00463358408360318,0.00603941235514784,0.00754190831658472,0.00913759767138238,0.0108214571288028,0.0125868332005381,0.0144253844063397,0.0163270484058524,0.0182800349299144,0.0202708447599738,0.0222843144033084,0.0243036855415198
-0.00173979071500428,-0.00328566002420432,-0.00459518915958871,-0.00568661847514518,-0.00658088290272247,-0.00730114092021961,-0.0078722431010397,-0.00832015085855126,-0.00867131822076475,-0.00895205147416053,-0.00918786322784837,-0.00940283879619264,-0.00961903370284981,-0.00985592148796273,-0.0101299107604376,-0.0104539494798288,-0.0108372326806488,-0.0112850271878696,-0.0117986232793832,-0.0123754187606918,-0.0130091356529532,-0.0136901638886816,-0.0144060203970362,-0.0151419061638997,-0.0158813387335484,-0.016606833625193,-0.0173006056366705,-0.0179452602329621,-0.0185244462338322,-0.0190234437106047,-0.0194296651079983,-0.0197330527411718,-0.019926361542107,-0.0200053218055543,-0.0199686823250145,-0.0198181394077472,-0.019558161606117,-0.0191957234881359,-0.0187399643630949,-0.0182017896111157,-0.0175934332099245,-0.016928000296693,-0.0162190082346942,-0.0154799437468877,-0.0147238522841987,-0.0139629739483036,-0.0132084380076061,-0.0124700253502279,-0.0117560051421518,-0.0110730485627293,-0.0104262188730736,-0.0098190333792657,-0.00925358926814529,-0.00873074203738561,-0.00825032254671668,-0.00781137680778602,-0.00741241169502368,-0.00705162992670519,-0.00672713897932024,-0.00643712100806489,-0.00617995420020281,-0.0059542800415643,-0.00575901541011186,-0.00559331285763921,-0.00545647652153523,-0.00534784446754859,-0.00526665060639608,-0.00521188044821663,-0.00518213477010209,-0.00517551381030853,-0.00518953203071818,-0.00522107008049106,-0.00526636670747599,-0.00532104940707588,-0.00538019898289378,-0.00543844029019076,-0.00549004952784976,-0.00552906770369697,-0.00554941034847511,-0.00554496508017627,-0.00550967098265133,-0.00543757663031678,-0.0053228765918001,-0.0051599290165927,-0.00494325914516822,-0.00466755507367772,-0.00432766275179164,-0.00391858701298521,-0.00343550454468014,-0.00287379328452959,-0.00222908099705447,-0.00149731396100641,-0.000674844973910866,0.000241461599060092,0.00125411115063631,0.00236485072882054,0.00357453612716352,0.00488299890251055,0.00628891792023655,0.00778969971027011,0.00938137147766111,0.0110584900960474,0.0128140698540932,0.0146395311444378,0.0165246716937813,0.0184576613387419,0.0204250607614024,0.0224118640189456,0.0244015641439737
-0.00234753725155187,-0.00414247101003783,-0.00568661847514525,-0.00699726328273213,-0.00809440222286608,-0.00900029075773927,-0.00973892965295657,-0.0103355032235603,-0.0108157818039654,-0.0112055029050229,-0.0115297470517122,-0.0118123254385389,-0.0120751972379989,-0.0123379345927808,-0.0126172529545468,-0.0129266234374344,-0.0132759821693071,-0.0136715491943836,-0.0141157662786499,-0.0146073590120817,-0.0151415239731668,-0.0157102365885629,-0.0163026699386668,-0.0169057094606948,-0.0175045436670754,-0.018083307019285,-0.0186257483249979,-0.0191158967185948,-0.019538697573237,-0.0198805925614916,-0.0201300213719873,-0.0202778270226451,-0.0203175519264405,-0.0202456174680236,-0.0200613854539228,-0.0197671050685466,-0.0193677536397637,-0.0188707834145111,-0.018285789575033,-0.0176241168723809,-0.0168984235536472,-0.0161222217848101,-0.0153094136064141,-0.0144738406842379,-0.0136288647956696,-0.0127869941698517,-0.0119595685063156,-0.011156512759353,-0.0103861666306905,-0.00965519322346777,-0.00896856657628638,-0.00832963396210797,-0.00774024509189005,-0.00720093693046924,-0.00671115995289675,-0.00626952957719743,-0.00587408540481082,-0.00552254092291727,-0.00521250753064491,-0.00494167910286744,-0.00470796665681852,-0.00450957679704832,-0.00434503216306694,-0.00421313671923397,-0.00411289301856887,-0.00404338217213578,-0.00400361985212293,-0.003992403028374,-0.0040081621778524,-0.00404883243450649,-0.00411175471103265,-0.0041936144865182,-0.00429042206647428,-0.00439753408915593,-0.00450971228906535,-0.00462121241383293,-0.00472589402326788,-0.00481734086333441,-0.00488898165070145,-0.00493420233258508,-0.00494644298421781,-0.00491927516296207,-0.00484645839807994,-0.00472197720699903,-0.00454006229236628,-0.00429520117600384,-0.00398214435907209,-0.00359591316278658,-0.00313181479404673,-0.00258546905468792,-0.00195284966552701,-0.00123034160369642,-0.000414814327657098,0.000496290578204606,0.00150485988399266,0.00261200063829493,0.00381792732928085,0.00512184828418497,0.0065218552961629,0.00801482028614885,0.00959630250326122,0.011260469377519,0.0130000336896575,0.0148062092322393,0.0166686866156546,0.0185756303310202,0.0205136976286585,0.0224680792169377,0.0244225612453971
-0.00279607064454109,-0.00482023657634794,-0.00658088290272254,-0.0080944022228662,-0.00937991388657722,-0.0104588252460967,-0.0113543351553849,-0.0120908900866931,-0.0126936052648678,-0.0131876649684937,-0.0135977175451329,-0.0139472816789853,-0.0142581809874996,-0.0145500240704281,-0.014839746655582,-0.0151412314451303,-0.0154650196296746,-0.0158181257734038,-0.0162039648653749,-0.0166223967908573,-0.0170698893600873,-0.0175397964582596,-0.0180227430392451,-0.018507103834039,-0.0189795580946949,-0.0194256987821362,-0.0198306716561347,-0.0201798180085507,-0.020459294476578,-0.0206566445438288,-0.0207612989181882,-0.0207649857796352,-0.0206620366328739,-0.0204495788283693,-0.0201276113569197,-0.0196989659191389,-0.0191691602144681,-0.0185461546511908,-0.0178400271010052,-0.0170625828436457,-0.0162269184731875,-0.0153469593215955,-0.0144369899764567,-0.0135111968132464,-0.0125832402020863,-0.011665872241518,-0.0107706135580477,-0.00990749992425985,-0.00908490623156075,-0.00830945177065533,-0.00758598692477872,-0.00691765741339203,-0.00630603832840712,-0.00575132660855183,-0.00525257754725543,-0.00480796866828008,-0.00441507304236146,-0.00407112400912793,-0.00377325438014436,-0.00351869550012174,-0.00330492489733748,-0.00312975542381907,-0.00299136345002856,-0.00288825846051106,-0.00281920089745721,-0.00278307893639954,-0.00277875772527563,-0.00280491623627646,-0.00285988714458658,-0.00294151406284513,-0.00304703815814914,-0.0031730229107757,-0.00331532188482005,-0.00346909027293705,-0.00362883706773586,-0.00378851138774054,-0.0039416140581482,-0.00408132421730367,-0.0042006305570111,-0.00429245773813906,-0.00434978035714937,-0.00436571928510155,-0.00433361791917806,-0.00424709853753517,-0.00410010123573351,-0.00388690963140588,-0.00360216853668502,-0.00324089910000001,-0.00279851658277095,-0.00227085509837214,-0.00165420247057595,-0.000945347041714908,-0.000141636933482185,0.000758948942482188,0.00175771983122322,0.00285518450881211,0.00405095807304547,0.00534366743161043,0.00673085886866051,0.00820891101499894,0.00977295636987154,0.0114168142514012,0.0131329377083641,0.0149123765229344,0.0167447579834348,0.0186182866185264,0.0205197635713653,0.0224346257680663,0.0243470045155823
-0.00311067999125923,-0.00534311350738658,-0.00730114092021987,-0.00900029075773941,-0.0104588252460967,-0.0116973173349534,-0.0127381708048573,-0.0136050936602464,-0.0143225369951292,-0.0149151131995969,-0.0154070086843163,-0.0158214071834062,-0.0161799401155588,-0.0165021804139437,-0.016805195661181,-0.0171031752744141,-0.0174071448664975,-0.0177247787529681,-0.0180603188776232,-0.0184146052047664,-0.0187852189150885,-0.0191667356292486,-0.0195510815068845,-0.019927980625432,-0.0202854777815541,-0.0206105170626504,-0.0208895535003935,-0.0211091731119306,-0.0212566958682956,-0.0213207367253276,-0.021291701821997,-0.0211622001888125,-0.0209273555997811,-0.0205850082428248,-0.0201358013201442,-0.0195831531533558,-0.0189331205171537,-0.0181941634789883,-0.0173768257818916,-0.0164933476627154,-0.0155572299195218,-0.0145827690633823,-0.013584583583906,-0.0125771508115377,-0.011574372655712,-0.0105891867036025,-0.00963323683038035,-0.0087166146404987,-0.00784767977710867,-0.00703296347048996,-0.00627715574854693,-0.00558317264950984,-0.00495229575124004,-0.00438437259334432,-0.00387806336967233,-0.00343111685971632,-0.00304065716811509,-0.00270346261388621,-0.00241621913417494,-0.00217573281971745,-0.00197908955140766,-0.00182375392630432,-0.00170760442676645,-0.00162890671739079,-0.00158623164455079,-0.00157832856932344,-0.00160396774523663,-0.00166176730306294,-0.00175002088453765,-0.00186654106286656,-0.00200853151913368,-0.0021724977497686,-0.00235420219761714,-0.00254866552685186,-0.00275021171902961,-0.00295255114751424,-0.0031488931140685,-0.00333207772238085,-0.00349471650650271,-0.00362933187889511,-0.00372848703956726,-0.00378490022562073,-0.00379153975665145,-0.0037416989168181,-0.00362905201818843,-0.00344769479437806,-0.00319217345306283,-0.00285750724049033,-0.0024392092937213,-0.00193330999094005,-0.00133638610439102,-0.000645597969058048,0.000141264256728918,0.00102572523373365,0.00200856091174461,0.0030897284980665,0.00426829214732326,0.00554234696059715,0.00690894408101747,0.00836401973008629,0.00990233096729238,0.011517400794007,0.0132014749760946,0.01494549263993,0.0167390723143688,0.0185705146583029,0.0204268226435429,0.0222937394722139,0.0241558040150483
-0.00331821967911172,-0.00573689056913367,-0.00787224310103989,-0.00973892965295659,-0.011354335155385,-0.0127381708048572,-0.0139120114842121,-0.0148987868742466,-0.0157222382023764,-0.0164063542190789,-0.0169748012498303,-0.0174503629849789,-0.0178544060079397,-0.018206386906445,-0.0185234161593248,-0.0188198928481041,-0.0191072226181215,-0.0193936292185464,-0.0196840673971697,-0.0199802419337077,-0.020280734200124,-0.0205812339010152,-0.020874869672697,-0.0211526281535293,-0.0214038471747042,-0.0216167650945841,-0.0217791052684082,-0.0218786724653315,-0.0219039369415835,-0.0218445820147816,-0.0216919924329778,-0.0214396635571804,-0.0210835152288718,-0.0206220989225655,-0.0200566920594468,-0.0193912788146587,-0.0186324220253796,-0.0177890355819782,-0.0168720707179165,-0.0158941327538718,-0.0148690470353718,-0.0138113940429123,-0.012736034011322,-0.0116576409576079,-0.0105902648722004,-0.00954693905387693,-0.0085393472240194,-0.00757756219120957,-0.00666986450461436,-0.00582264580452399,-0.00504039755424166,-0.00432578166612266,-0.00367977540849763,-0.00310187913120087,-0.00259037203040683,-0.00214259864339799,-0.00175526724775341,-0.00142474100754626,-0.00114730364954965,-0.00091938365244468,-0.000737724269687581,-0.000599490954219182,-0.000502312592425496,-0.000444258003496841,-0.000423754006952763,-0.000439455603644544,-0.000490082101163202,-0.000574235074901492,-0.000690214734738061,-0.000835850536791577,-0.00100835984479115,-0.00120424533394404,-0.00141923796950049,-0.00164828817669452,-0.00188560366730673,-0.00212472869908607,-0.00235865665140543,-0.00257996593600778,-0.00278096853156434,-0.00295386080677808,-0.00309086762653539,-0.00318437276983871,-0.00322703112065558,-0.00321186060581702,-0.00313231416232382,-0.00298233390072422,-0.00275639095826311,-0.00244951526137482,-0.00205731957675337,-0.00157602191699083,-0.00100246970726455,-0.000334168249407756,0.000430684936175764,0.00129315925065427,0.00225354385190916,0.00331129512053018,0.00446498026674979,0.00571221901267568,0.00704962556731865,0.00847275326686474,0.00997604429250391,0.0115527868143717,0.0131950817525874,0.0148938211042509,0.0166386794688239,0.0184181200260412,0.0202194157957221,0.0220286865556837,0.0238309513323643
-0.00344648021277891,-0.00602838510560071,-0.00832015085855129,-0.0103355032235604,-0.0120908900866932,-0.0136050936602465,-0.0148987868742467,-0.0159940436613732,-0.0169138147866186,-0.0176813825085352,-0.0183198085957548,-0.0188513910036805,-0.0192971448069364,-0.0196763227701519,-0.0200059902281367,-0.0203006677550696,-0.0205720534573383,-0.020828834655275,-0.0210765962549375,-0.0213178302835013,-0.021552047908329,-0.0217759918325345,-0.0219839433349895,-0.0221681145095982,-0.0223191126053395,-0.0224264599619525,-0.0224791500941852,-0.0224662182333434,-0.0223773033127866,-0.0222031781701867,-0.0219362257513114,-0.0215708413602601,-0.0211037444213089,-0.0205341875984736,-0.0198640561676933,-0.0190978558997862,-0.0182425930197011,-0.0173075547166057,-0.0163040029129467,-0.0152447973701111,-0.0141439666188074,-0.0130162466417248,-0.0118766077528795,-0.010739789794346,-0.00961986469794818,-0.00852984372018355,-0.00748134432189678,-0.00648432878770071,-0.00554692332196263,-0.00467532259225825,-0.00387378062248599,-0.00314468471304427,-0.00248870487645697,-0.00190500735479744,-0.00139151738576179,-0.000945213764485448,-0.000562436139351305,-0.000239185558423112,2.86003558108449e-05,0.000244814086656857,0.000412999938787723,0.000536239724092913,0.000617106478454537,0.000657685147631368,0.000659654223154397,0.000624417924136598,0.000553275069364926,0.000447608545318378,0.000309078419062565,0.000139802311778747,-5.74914521161849e-05,-0.00027934938882104,-0.000521524744314918,-0.000778959152517287,-0.00104581326128661,-0.00131554170449183,-0.00158100472289551,-0.00183460665033127,-0.00206845050675193,-0.00227449806682493,-0.00244472586956353,-0.00257126947103647,-0.00264655052880308,-0.00266338373792788,-0.00261506293523653,-0.00249542763167265,-0.00229891268242047,-0.00202058470488957,-0.0016561692243077,-0.00120207244000218,-0.000655401069867307,-1.39830640572098e-05,0.000723608807612377,0.00155802930489083,0.00248912858864882,0.00351591589250986,0.00463651985710987,0.00584814685750016,0.00714703900439193,0.00852843373557166,0.00998652703949815,0.0115144423737395,0.0131042072619807,0.014746739381838,0.0164318437012645,0.0181482218969082,0.0198834949097888,0.0216242390813535,0.0233560358873072
-0.00352351819032463,-0.00624480100010172,-0.00867131822076497,-0.0108157818039655,-0.0126936052648679,-0.014322536995129,-0.0157222382023763,-0.0169138147866187,-0.0179193144320325,-0.0187612018401466,-0.0194618262750653,-0.0200428963708336,-0.0205249774270242,-0.0209270261775071,-0.0212659772680818,-0.0215563944484542,-0.0218101978125309,-0.022036476354102,-0.0222413926900639,-0.0224281840868632,-0.0225972609541649,-0.0227464007934131,-0.0228710322697729,-0.0229646006955217,-0.0230190028808161,-0.0230250761665418,-0.0229731236793281,-0.0228534556416141,-0.0226569251393701,-0.0223754362896621,-0.0220024034056166,-0.02153314159554,-0.0209651722222025,-0.020298430641663,-0.0195353683883895,-0.0186809471472789,-0.0177425270892016,-0.0167296570907878,-0.0156537787094508,-0.0145278593215189,-0.0133659724290273,-0.0121828447615027,-0.0109933904737285,-0.00981225254194321,-0.00865337047868127,-0.00752959180739774,-0.00645234243729276,-0.00543136822109575,-0.00447455662804266,-0.00358784369872536,-0.00277520737443342,-0.002038744057285,-0.00137882104884455,-0.000794293562880889,-0.000282771566062579,0.000159080974737952,0.000535233535831166,0.000849982765182721,0.00110767130763093,0.00131244847344633,0.00146808625550507,0.00157785999594416,0.00164449814238696,0.00167020039222583,0.00165671851202927,0.00160548964587048,0.00151780835671912,0.00139502126585552,0.00123872714606372,0.00105096573890013,0.00083438032685288,0.000592341995845358,0.000329027266728982,4.94449783134096e-05,-0.000240587441271845,-0.000534514272573053,-0.000825151117581608,-0.00110482430661434,-0.00136552939425282,-0.00159909794423254,-0.00179736268407067,-0.00195231275605035,-0.00205623292916237,-0.00210182297430821,-0.0020822956711824,-0.00199145389214409,-0.00182374875167875,-0.00157432185365878,-0.00123903521680202,-0.000814492569148281,-0.000298055465062363,0.000312142804712246,0.00101718317026723,0.00181734496299293,0.00271208737215994,0.00370002788434128,0.00477891799515397,0.00594561697811539,0.00719606489436027,0.0085252563247929,0.0099272165005715,0.0113949815981516,0.0129205849533181,0.0144950508397598,0.0161083972607522,0.0177496489305429,0.0194068612920289,0.0210671560490756,0.0227167683066206
-0.00357696131094877,-0.00641306330509517,-0.00895205147416043,-0.0112055029050231,-0.0131876649684941,-0.0149151131995967,-0.0164063542190789,-0.0176813825085351,-0.0187612018401465,-0.0196673238394298,-0.0204212574364298,-0.0210440037682046,-0.0215555713887335,-0.0219745264038519,-0.0223175913872021,-0.0225993056802386,-0.0228317579844615,-0.0230244000777715,-0.0231839480940547,-0.0233143751599491,-0.0234169963454705,-0.0234906439125236,-0.0235319277939567,-0.0235355731692074,-0.023494823999385,-0.0234018985474621,-0.0232484803703454,-0.0230262261907652,-0.0227272706206905,-0.0223447070986064,-0.0218730247789068,-0.0213084825731415,-0.0206494041027372,-0.019896380887624,-0.0190523754638254,-0.0181227210052641,-0.0171150190770983,-0.0160389420181341,-0.014905950823457,-0.0137289430321289,-0.0125218478649131,-0.0112991876390098,-0.0100756253199711,-0.00886551801408224,-0.0076824953403163,-0.00653908003592165,-0.00544636592260093,-0.00441376556143685,-0.00344883662373018,-0.00255719228357003,-0.00174249690437857,-0.00100654409125353,-0.000349410000693718,0.00023032913616079,0.00073532976217022,0.00116918119480182,0.00153609217603321,0.00184058322827677,0.00208720357010897,0.00228028937156266,0.00242377698125601,0.0025210806400808,0.00257503940527488,0.00258793291095045,0.00256156059060087,0.00249737448776184,0.00239665214798617,0.00226069360901179,0.00209102537323031,0.00188959452156907,0.00165893774578647,0.00140231284919057,0.00112378390237968,0.000828255375423396,0.000521454800164299,0.000209867452389248,-9.93701606564139e-05,-0.000398608824578934,-0.000679846617998898,-0.000934899566044508,-0.00115557280895095,-0.00133382361024365,-0.00146190951470514,-0.00153251719680267,-0.00153886975352919,-0.00147481217760031,-0.00133487635085398,-0.00111432804957674,-0.000809199145515027,-0.000416308461512883,6.67253263218991e-05,0.000641475669563577,0.00130870243120187,0.00206834647554519,0.0029195231856598,0.00386051413805419,0.00488875673209005,0.00600083207739214,0.00719245187126362,0.00845844533885355,0.00979274755376383,0.0111883906012455,0.0126374990891637,0.0141312914569465,0.0156600883880564,0.0172133294100857,0.0187795984853454,0.0203466590734955,0.0219014988073107
