"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
-2.685915056959,-2.78700244946425,-2.62540014156307,-1.96379985692695,-2.08919687025768,-2.65752296175279,-2.18502929748048,-2.60727898798843,-3.32179196559384,-4.06512640299799
-2.94537702387792,-2.9270801937223,-2.81183549577212,-2.44497850684995,-2.61156082131682,-2.62671349126206,-2.47298607924523,-2.62648909293077,-2.84453372826967,-2.84329312517302
-3.1029074528366,-3.0646193119956,-2.9851141515849,-2.80762154690017,-2.98883573173777,-2.71737141786759,-2.72782602083324,-2.7194579290103,-2.63390251506956,-2.19561624553285
-3.18213125684758,-3.18428360921423,-3.13591801497769,-3.06793325241131,-3.23811919792201,-2.87314420722133,-2.93850197340917,-2.84861201975894,-2.6122832180037,-1.96667364646816
-3.20432321522509,-3.27438583965663,-3.25687134737163,-3.24100909580091,-3.37824654641876,-3.04817660546669,-3.09842654073765,-2.98347133191848,-2.71123266776211,-2.01874000536968
-3.18802682873873,-3.3272930153788,-3.34296637184753,-3.3409211324318,-3.42909667597165,-3.20766626199592,-3.20536718275314,-3.10112409288771,-2.87308632724523,-2.23487283339558
-3.14881736335732,-3.33955619067856,-3.39181090353641,-3.38080331065349,-3.41084964174701,-3.3278644506401,-3.26111343272584,-3.1863020716924,-3.05194452513528,-2.52084095112415
-3.09921714648205,-3.31176281533588,-3.40368713570961,-3.37292924496367,-3.34323148478638,-3.39551742972478,-3.27093206066356,-3.2310510979735,-3.21399691384852,-2.80581005077566
-3.04876051985405,-3.24812987963441,-3.38142334192738,-3.32877486606347,-3.24478609417899,-3.4067829872898,-3.24284275849862,-3.23401889952664,-3.33718692148102,-3.04177915176394
-3.00419477517804,-3.15587491996712,-3.33009274354551,-3.25905823404447,-3.13221542351136,-3.36569649514409,-3.18676229961183,-3.19940967265799,-3.410262533735,-3.20184505957299
-2.96979307467567,-3.04441751003798,-3.25656497749156,-3.17374883328368,-3.01982764458037,-3.28229753645293,-3.11357740973606,-3.13567966796092,-3.43130169564489,-3.27745203281145
-2.94774702495402,-2.92447453637324,-3.16894454343236,-3.08203919743564,-2.91912759851878,-3.1705578747591,-3.03421421415209,-3.05406808293651,-3.40583600914816,-3.27485338657054
-2.93860138679384,-2.80711742664695,-3.07593675232089,-2.9922732522446,-2.83857534818327,-3.04627038851623,-2.95877388349274,-2.96707066332396,-3.34472188431026,-3.21106416911828
-2.94169222654593,-2.70285852374182,-2.98618495413705,-2.91182889259173,-2.78352729439454,-2.92506357034009,-2.89579936022203,-2.88696822800404,-3.26192168462369,-3.10961457035779
-2.95555302987967,-2.62082781119486,-2.90762354390595,-2.84695751159875,-2.75636110488119,-2.82069551575652,-2.85172690920457,-2.82451823854867,-3.17235789841534,-2.99641989366741
-2.97826067061846,-2.56809167161229,-2.84689004061538,-2.80259062181733,-2.75677179392635,-2.74375490269303,-2.83055956563186,-2.78790473311638,-3.08999156763164,-2.89606473166094
-3.00770375248235,-2.54915399040172,-2.80883697355758,-2.78213291123475,-2.78221299526076,-2.70085608942244,-2.83377892670012,-2.78202133319951,-3.02625378182227,-2.82875849084582
-3.04176821851922,-2.56566809376326,-2.79618061071024,-2.78727085696676,-2.82844607199224,-2.69436480947379,-2.86048924701388,-2.80813501884346,-2.98892823688063,-2.80816008497165
-3.07844735766205,-2.61637635452737,-2.80931833870904,-2.81783438516885,-2.89015132101799,-2.72263527600111,-2.907765816533,-2.86394666743949,-2.98154588521672,-2.84019551161962
-3.11589343973107,-2.6972824976486,-2.84633877917675,-2.87175347463926,-2.96155098785213,-2.78068515859643,-2.97116047718622,-2.94402990666227,-3.00331147721173,-2.92290736745978
-3.15243446464087,-2.80204861355286,-2.90323721426537,-2.94514945585594,-3.0369936143919,-2.86118853772753,-3.04530294871172,-3.04059484910408,-3.04953789940849,-3.04728450410506
-3.18658081500692,-2.92259344383219,-2.97433260711473,-3.03259013691623,-3.1114535425793,-2.95563477708061,-3.12452898977339,-3.14449041379758,-3.11251943679854,-3.19892821507405
-3.21704272165287,-3.04985017148779,-3.05286147730256,-3.1275183315987,-3.1809079914349,-3.0554881371265,-3.20346630497774,-3.24633147152824,-3.1827320947922,-3.36032556884358
-3.24277112269017,-3.17462182843029,-3.13169983822989,-3.22283649427604,-3.24256645375096,-3.15319159445474,-3.27751679688318,-3.33761886192789,-3.25021213122269,-3.51343024869159
-3.26302334438634,-3.28845357005301,-3.20414091457313,-3.31159987074656,-3.29494227877733,-3.24288861875256,-3.34318872341806,-3.41171550249412,-3.30593876661209,-3.642208092666
-3.2774433149454,-3.38442812497797,-3.2646384971067,-3.38774259372396,-3.33777285940093,-3.32078526711514,-3.39825313878733,-3.46455377453415,-3.34304022730854,-3.73480030188192
-3.28613624439108,-3.45778884639196,-3.30941898111463,-3.44674200539772,-3.37181106816321,-3.38513535800164,-3.44172332830296,-3.49497970361389,-3.35765939143575,-3.78500084317994
-3.28971216647559,-3.50630787426243,-3.33687357206154,-3.48612194303942,-3.39852444516211,-3.43589450234687,-3.47368059897974,-3.50468665004466,-3.34935859964712,-3.79283774801791
-3.28927307287357,-3.53034594863257,-3.34766723800309,-3.50570916498928,-3.41974807302764,-3.47414380801051,-3.4949910232966,-3.49775000755256,-3.32100964449438,-3.76418252830862
-3.28632517576562,-3.53259235667034,-3.34454031635172,-3.50758829043485,-3.43734039843206,-3.50142090902939,-3.50697183010751,-3.47983590389946,-3.27819541170202,-3.70946841164046
-3.28261043936791,-3.51752141700353,-3.33182598684826,-3.49574529933383,-3.45288761305273,-3.51910690197734,-3.51107017627804,-3.45721004091913,-3.22822991785278,-3.64174861312635
-3.27986796541386,-3.4906463860751,-3.31475317680392,-3.47544007920758,-3.46749190815898,-3.52799960230355,-3.50860972500756,-3.43570670172946,-3.17896725697971,-3.57443966910535
-3.27955308309711,-3.45768322307519,-3.29864038104837,-3.45239514804208,-3.4816635824285,-3.52815885050912,-3.50064274410456,-3.41982463136869,-3.13760299010585,-3.51914621204085
-3.2825564914121,-3.42374833656707,-3.28810372687488,-3.43192124582072,-3.49531932435303,-3.51904679787022,-3.48792060997009,-3.4120932768003,-3.10966569592305,-3.48393905903087
-3.28897404060345,-3.39270390414331,-3.28639865260164,-3.41811411986986,-3.50787228234691,-3.49991800876263,-3.47096879897847,-3.41280348092454,-3.09835252992014,-3.47236171403153
