"j","lambda","FVE"
1,0.00861065309882728,-0.333133169228994
2,2.68064850699612e-06,-0.33323687947286
3,1.52876062385272e-06,-0.333296024913487
4,2.42081257509373e-07,-0.333305390671879
5,1.56090531458485e-07,-0.333311429578897
6,7.27079330084732e-08,-0.333314242539061
7,1.18908994733404e-08,-0.333314702580011
8,2.94405034439632e-09,-0.333314816480874
9,7.18583230010979e-11,-0.333314819260964
10,2.12822661555869e-12,-0.333314819343302
11,1.18102197536676e-12,-0.333314819388994
12,6.01261756244777e-13,-0.333314819412256
13,1.12346248612084e-13,-0.333314819416602
14,3.58755959989338e-14,-0.33331481941799
15,1.03056375250038e-14,-0.333314819418389
16,2.07481198640961e-15,-0.333314819418469
17,3.51077658216197e-16,-0.333314819418483
18,1.3963385006487e-17,-0.333314819418483
19,1.52074896729851e-18,-0.333314819418483
20,1.47175661279809e-18,-0.333314819418483
21,1.09874575833595e-18,-0.333314819418483
22,1.07230623863545e-18,-0.333314819418483
23,9.57837249678921e-19,-0.333314819418484
24,7.64129931940067e-19,-0.333314819418484
25,7.62058284517098e-19,-0.333314819418484
26,7.19708071035409e-19,-0.333314819418484
27,5.15287140807674e-19,-0.333314819418484
28,5.06887584107373e-19,-0.333314819418484
29,4.80281898681745e-19,-0.333314819418484
30,4.76471483416022e-19,-0.333314819418484
31,4.56892457731096e-19,-0.333314819418484
32,4.54268929287734e-19,-0.333314819418484
33,4.45062096170254e-19,-0.333314819418484
34,3.9431913800264e-19,-0.333314819418484
35,3.15177309241454e-19,-0.333314819418484
36,2.91636096249253e-19,-0.333314819418484
37,2.77357762455467e-19,-0.333314819418484
38,2.48307428270279e-19,-0.333314819418484
39,1.88210099782063e-19,-0.333314819418484
40,1.4167805736223e-19,-0.333314819418484
41,8.42865703148969e-20,-0.333314819418484
42,-1.4231512108817e-20,-0.333314819418484
43,-5.40709831295623e-20,-0.333314819418484
44,-7.8816880523791e-20,-0.333314819418484
45,-9.60164056806625e-20,-0.333314819418484
46,-1.59879979518148e-19,-0.333314819418484
47,-1.71337382108981e-19,-0.333314819418484
48,-1.85012317614311e-19,-0.333314819418484
49,-1.95912453279891e-19,-0.333314819418484
50,-2.73427401244063e-19,-0.333314819418484
51,-2.89100503410332e-19,-0.333314819418484
52,-3.36832601207422e-19,-0.333314819418484
53,-3.45997281837762e-19,-0.333314819418484
54,-3.5123791710428e-19,-0.333314819418484
55,-3.68739955163455e-19,-0.333314819418484
56,-3.70791715060004e-19,-0.333314819418484
57,-3.90542345878832e-19,-0.333314819418484
58,-3.96715904857022e-19,-0.333314819418484
59,-4.90821588208487e-19,-0.333314819418484
60,-5.29847150214204e-19,-0.333314819418484
61,-5.3237783212874e-19,-0.333314819418484
62,-5.42824127059463e-19,-0.333314819418484
63,-5.62643910208034e-19,-0.333314819418484
64,-6.4044144506384e-19,-0.333314819418484
65,-6.46401943921465e-19,-0.333314819418484
66,-6.70493268207813e-19,-0.333314819418483
67,-6.83712973701347e-19,-0.333314819418483
68,-6.86244757790418e-19,-0.333314819418483
69,-6.89892283266258e-19,-0.333314819418483
70,-7.55296752062141e-19,-0.333314819418483
71,-7.60139533501382e-19,-0.333314819418483
72,-7.8839233775968e-19,-0.333314819418483
73,-9.52722650572158e-19,-0.333314819418483
74,-9.5869081259588e-19,-0.333314819418483
75,-1.09910497742642e-18,-0.333314819418483
76,-1.13366575707748e-18,-0.333314819418483
77,-1.20032314275789e-18,-0.333314819418483
78,-1.20497909586921e-18,-0.333314819418483
79,-1.26503659366686e-18,-0.333314819418483
80,-1.30983811267301e-18,-0.333314819418483
81,-1.42338878986486e-18,-0.333314819418483
82,-1.46694895542853e-18,-0.333314819418483
83,-1.88982321149075e-18,-0.333314819418483
84,-2.04194490881354e-18,-0.333314819418483
85,-2.23062738795958e-18,-0.333314819418483
86,-2.43199207693373e-18,-0.333314819418483
87,-4.5196711828094e-18,-0.333314819418482
88,-2.79166705106533e-17,-0.333314819418481
89,-8.31510170343381e-17,-0.333314819418478
90,-1.97923197642549e-16,-0.33331481941847
91,-1.01488270934395e-15,-0.333314819418431
92,-1.157262767361e-15,-0.333314819418386
93,-2.91420152138179e-12,-0.33331481930564
94,-5.34397983251614e-12,-0.33331481909889
95,-8.89634483560159e-11,-0.333314815657028
96,-9.48489528236284e-11,-0.333314811987465
97,-1.13273281744826e-09,-0.333314768163743
98,-1.42989011827554e-09,-0.333314712843453
99,-4.84430198128318e-09,-0.333314525424722
100,-3.08711925546402e-06,-0.333195089441231
101,-8.6906329548033e-06,-0.332858861972117
102,-4.18352132564097e-05,-0.331240320728204
103,-0.000199165781772539,-0.323534897304179
104,-0.000617964729932804,-0.299626774820149
105,-0.00151538862409883,-0.240998676676425
106,-0.00352556492792837,-0.104599892021714
107,-0.00789656492690297,0.200906283866382
108,-0.0081965910574422,0.51802001780738
109,-0.0124579681958562,1
