"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
-2.9344214615442,-3.25323393426884,-2.77226495499116,-2.24336471396481,-2.26744045084244,-2.45471365275629,-2.23807494566171,-2.60842943824128,-3.09593165327548,-3.65412464550693
-2.92599818019859,-2.96062817743399,-2.85978314412746,-2.42971871799545,-2.75550314113104,-2.68563967087221,-2.55731668272175,-2.77569275545792,-2.81317848369203,-3.00439848822272
-2.98266624599092,-2.92779619303332,-2.97325981160175,-2.66477638475694,-3.08826540384173,-2.91179090172512,-2.8207450400729,-2.90698313552223,-2.68805628187329,-2.59053823215956
-3.0677362381289,-3.04456303036579,-3.10214051308471,-2.91259211680435,-3.30067589017864,-3.11226629457721,-3.03099463589576,-3.01631168216724,-2.68349469080552,-2.38186932991784
-3.15235506712732,-3.2227408551831,-3.23249821250357,-3.14314957180161,-3.41991918636822,-3.27181148479939,-3.18896596730041,-3.10882244019041,-2.76236482857724,-2.33985313124181
-3.21453753582171,-3.39495970287716,-3.34789041126119,-3.33198163446946,-3.46536431704278,-3.37947181930687,-3.29362023498227,-3.18198788630315,-2.8881830206554,-2.42007717872575
-3.23867237315018,-3.51340756720044,-3.43106409116741,-3.46031937589093,-3.44965963901461,-3.42797397658214,-3.34267219448915,-3.22788431686705,-3.02655261227637,-2.57528346755909
-3.21573308733554,-3.54878946516947,-3.46656334181977,-3.51595541485984,-3.38105067543957,-3.41406713940191,-3.33430075168914,-3.23654035424699,-3.14744488058753,-2.75942195912807
-3.14422103832951,-3.48964322297423,-3.44407357973854,-3.49480074911736,-3.26675252620879,-3.33982464761227,-3.26976647652048,-3.20011794338269,-3.22820197590434,-2.93248029336578
-3.0314697489837,-3.34177241453669,-3.36193791829734,-3.40271631587977,-3.11678545988457,-3.21448166166181,-3.15641137637706,-3.11728139129627,-3.25674312733455,-3.06543178491002
-2.89427148009499,-3.12689688581896,-3.22963286450915,-3.25653746167828,-2.9470118585956,-3.05569370205217,-3.00984832058777,-2.99646496012913,-3.23379729577343,-3.14399158033429
-2.75723802234471,-2.87906578568282,-3.06747953268571,-3.08266958385969,-2.77958571614144,-2.88853801792742,-2.85361558397334,-2.8562509015386,-3.17245946339787,-3.16936411368294
-2.64779174821045,-2.63784178362724,-2.90240357968274,-2.91213010172725,-2.63955590323941,-2.74106268748847,-2.71508982413154,-2.7216271713892,-3.09388637033687,-3.15471505612287
-2.58861401461415,-2.43916523978986,-2.76054960018864,-2.77285835237838,-2.54836027802301,-2.63713296527195,-2.61842883396472,-2.61691225735142,-3.01992120881758,-3.1181151158518
-2.59062585368241,-2.30701838927823,-2.65986599302347,-2.68237943144684,-2.5172711298802,-2.58960000540053,-2.57761781111105,-2.55847214172715,-2.96573104285749,-3.07504231327995
-2.65016461006776,-2.24956275252586,-2.60642037937104,-2.64451292579265,-2.54451645834116,-2.59744396728345,-2.59333605690537,-2.55102307011329,-2.93617472795369,-3.03420752471155
-2.7520320273672,-2.26140674326972,-2.59625896787926,-2.65184363710587,-2.61787669290116,-2.64859716242829,-2.65541892271709,-2.58938476813739,-2.92767052225512,-2.99855746754008
-2.87668560373284,-2.33024107301309,-2.62124295886026,-2.69227882406936,-2.72119376365991,-2.72678596115973,-2.74931646036874,-2.66417612827652,-2.93395920616579,-2.96996333310846
-3.00745269611098,-2.44368605213977,-2.67490700384206,-2.75563109044772,-2.84084910887257,-2.81836061121572,-2.86256747876777,-2.76755375685145,-2.95178506879208,-2.9537439501187
-3.13403204541331,-2.5925916700231,-2.75475728462887,-2.83655336787836,-2.96863437055676,-2.91546959008902,-2.98768056976177,-2.89545262238667,-2.98290905999733,-2.95956456041904
-3.25135850754381,-2.76986150397473,-2.86021272243788,-2.93296052180628,-3.10020632746746,-3.01472584782456,-3.12059340886273,-3.04555336211759,-3.031674494877,-2.9980460552284
