"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
-3.14152064446182,-2.86256482693301,-2.48626329368862,-2.23529162292698,-1.71298974220455,-3.06958825849201,-2.84645179063452,-3.14117187328295,-2.85491930316715,-2.97761753562695
-2.84297990956724,-2.6611148823003,-2.62298866050905,-2.22848984326965,-2.59985038432197,-2.54708488001511,-2.81972194798329,-2.95666736135384,-2.96593161301487,-3.11771297610143
-2.77936284673642,-2.65603346614763,-2.80593573052803,-2.35918322587655,-2.93495121889172,-2.35662821104397,-2.67223783863948,-2.88524611026164,-3.06304863308776,-2.72787780027685
-2.85413810238277,-2.7471790594241,-2.98105210512505,-2.55825603354681,-2.99788619180796,-2.40782138014435,-2.58937896033647,-2.88327382789787,-3.12324404236383,-2.31561706990671
-2.98043879187364,-2.85284960948757,-3.1158589754805,-2.77389562565938,-2.95301194803769,-2.60043883205892,-2.62243339665167,-2.91766167230817,-3.15101731831211,-2.09573824617923
-3.08232175956357,-2.90669167556397,-3.19447647740759,-2.96928568478465,-2.87613183091111,-2.83311306085671,-2.72688625730032,-2.96513212612925,-3.17080442026304,-2.06815439408273
-3.13788749046927,-2.91450759931758,-3.22000268544849,-3.12398949540474,-2.82258959295626,-3.04762624326313,-2.88607069273158,-3.00196570671298,-3.17530876961958,-2.2367680714363
-3.13965099595626,-2.89252956255473,-3.20332125901775,-3.22864091127097,-2.80836728304604,-3.20159005471148,-3.05868241197531,-3.01335953189589,-3.16301095069122,-2.53353504457358
-3.08670739425431,-2.84719044829364,-3.15656682501079,-3.28296412080894,-2.82389399000833,-3.27094425342345,-3.19471005713358,-2.99770556152027,-3.14385310313479,-2.85516575663554
-3.00284360019697,-2.81084729855875,-3.09592478293518,-3.29393341821582,-2.86489651084414,-3.26100174186336,-3.28400061725566,-2.9551450071801,-3.11068549258697,-3.15428125915651
-2.89895445632547,-2.78236016581326,-3.0319329814406,-3.27155564036907,-2.90869703570702,-3.17972606599931,-3.29872048111817,-2.89773830973674,-3.07746356666135,-3.35031234040198
-2.80800008601421,-2.79119316560276,-2.97707243326972,-3.22854126851778,-2.95553787723157,-3.05916388053681,-3.2659152975567,-2.83251291604154,-3.0329036650194,-3.45766562022179
-2.73754904403103,-2.81977002645847,-2.93459363624468,-3.17655865374483,-2.98977625897073,-2.9217457426571,-3.18435192470802,-2.77697902103564,-2.99320015743938,-3.44937508292892
-2.70356128532393,-2.8704964019791,-2.90794143729248,-3.12589054012093,-3.01295606234028,-2.79642775230663,-3.08301682679467,-2.74069182150078,-2.95699796989969,-3.3589418617626
-2.7078940544567,-2.92824488490698,-2.89578616189835,-3.0839135132185,-3.02355011059986,-2.70233396029006,-2.97871827159015,-2.73331510599979,-2.93162723372993,-3.20891263066224
-2.75381091962972,-2.98881077626602,-2.8963629275195,-3.05545965007746,-3.03040869755363,-2.65685800868059,-2.90095812264662,-2.75776960638191,-2.91445627132076,-3.05212103468157
-2.8316620252709,-3.03748004352544,-2.90524756385182,-3.04173298996748,-3.03708539473082,-2.66301095893186,-2.85984614937556,-2.81429896511582,-2.90932701021524,-2.91674653956693
-2.92876482602986,-3.06398418863361,-2.91825103168881,-3.04148582830682,-3.04687505851041,-2.71570683310116,-2.85834127438978,-2.89843718803141,-2.91769862283072,-2.82316493561618
-3.03746666479544,-3.07368211999728,-2.93324629036631,-3.05193148798449,-3.06872782781264,-2.8079597130414,-2.90531512027046,-2.99966684538475,-2.93125531071673,-2.80381434903138
-3.14283670612403,-3.06244179414561,-2.94707073132691,-3.06902214902266,-3.10362873535337,-2.92441580881159,-2.99125943574641,-3.10879456175043,-2.94952897663113,-2.85942393615964
-3.22447299528249,-3.02058250766583,-2.95694149159108,-3.08786828698665,-3.14192099247935,-3.04089334780417,-3.08490571665203,-3.2173403621027,-2.97896431124747,-2.95088097433876
-3.28297726892369,-2.97124557357527,-2.9653080489271,-3.10505587065169,-3.18883712087869,-3.14645233186018,-3.1861381202939,-3.31127650577099,-3.00498299315991,-3.08663724675511
-3.31085680215124,-2.91725636338849,-2.97246443036984,-3.11781570647875,-3.23748581177762,-3.22617854620936,-3.27429096030579,-3.38408188258814,-3.02809348575834,-3.23481613787278
-3.30690253300355,-2.86541909558795,-2.97981441695797,-3.12478763356443,-3.28235691092662,-3.27114506065527,-3.33517434033048,-3.43135015287627,-3.0469215843956,-3.3690092150858
-3.28188762514036,-2.83617490302786,-2.99125643855414,-3.1264278416701,-3.32417931437861,-3.28241017518215,-3.37135495605592,-3.44869225336318,-3.05159147595714,-3.48558430946761
-3.23756542078692,-2.82414084510631,-3.00670054848643,-3.12406237225186,-3.3554747325393,-3.26065628836115,-3.37277172948919,-3.44110404746444,-3.04842457069669,-3.55663247007062
-3.18612938978305,-2.83747099267265,-3.02797074720386,-3.12011083279864,-3.3769136055747,-3.21534149880171,-3.34782547746796,-3.4122081375351,-3.03424268406535,-3.58356070614488
-3.14024457589705,-2.88016969967061,-3.05567671180567,-3.11737778486418,-3.39175834647532,-3.1596272637177,-3.31104036432037,-3.36793263208393,-3.00701601135644,-3.57872280170719
-3.10258906490261,-2.93622510582092,-3.08691424340486,-3.1181823812955,-3.3973339825667,-3.10275843587534,-3.26506083510426,-3.31919932345056,-2.97663588983656,-3.53670845961645
-3.08293604174001,-3.00364566783618,-3.12016446919937,-3.12451977546064,-3.40064767051762,-3.05869776476255,-3.2298450952781,-3.27265721602165,-2.94222160791846,-3.4849980852929
