"j","lambda","FVE"
1,0.000419581175005944,-0.0188674136751623
2,6.25703306424071e-07,-0.0188955498352749
3,8.70345104706112e-08,-0.018899463538298
4,5.20450259757485e-11,-0.01889946587862
5,1.00356991155182e-11,-0.0188994663298978
6,5.22677626550887e-13,-0.0188994663534012
7,1.37862388861968e-14,-0.0188994663540211
8,1.50188096764448e-15,-0.0188994663540887
9,2.41430201887844e-17,-0.0188994663540898
10,2.08986342625245e-17,-0.0188994663540907
11,1.30324247585479e-17,-0.0188994663540913
12,1.11476096282785e-17,-0.0188994663540918
13,9.61021582240796e-18,-0.0188994663540922
14,9.0539253394965e-18,-0.0188994663540926
15,8.0318002472054e-18,-0.018899466354093
16,7.77544739271666e-18,-0.0188994663540933
17,6.86241661964113e-18,-0.0188994663540936
18,6.73591716174335e-18,-0.0188994663540939
19,5.93801632102429e-18,-0.0188994663540942
20,4.84639992998478e-18,-0.0188994663540944
21,3.65798480866688e-18,-0.0188994663540946
22,3.03957561513192e-18,-0.0188994663540947
23,2.73049795448904e-18,-0.0188994663540949
24,2.23057159622233e-18,-0.018899466354095
25,1.63975955206234e-18,-0.018899466354095
26,1.5860647374639e-18,-0.0188994663540951
27,1.21289938123041e-18,-0.0188994663540952
28,9.26286742942909e-19,-0.0188994663540952
29,6.83699108788816e-19,-0.0188994663540952
30,5.62797566669934e-19,-0.0188994663540953
31,4.99013946916154e-19,-0.0188994663540953
32,4.78593239329063e-19,-0.0188994663540953
33,4.63136334990613e-19,-0.0188994663540953
34,4.51768461700593e-19,-0.0188994663540953
35,3.39802461944169e-19,-0.0188994663540954
36,3.22064585281516e-19,-0.0188994663540954
37,3.04806639789809e-19,-0.0188994663540954
38,2.84947972437772e-19,-0.0188994663540954
39,2.08540531775118e-19,-0.0188994663540954
40,1.74391883111608e-19,-0.0188994663540954
41,1.13514165399523e-19,-0.0188994663540954
42,1.0610936652901e-19,-0.0188994663540954
43,8.94243898143437e-20,-0.0188994663540954
44,4.96533011285638e-20,-0.0188994663540954
45,-1.31020900725588e-20,-0.0188994663540954
46,-7.11593685419212e-20,-0.0188994663540954
47,-1.66097196696829e-19,-0.0188994663540954
48,-1.69087825551573e-19,-0.0188994663540954
49,-1.74863317403442e-19,-0.0188994663540954
50,-2.04810927356535e-19,-0.0188994663540954
51,-2.07453220899184e-19,-0.0188994663540954
52,-3.09664423317893e-19,-0.0188994663540954
53,-3.54715472755036e-19,-0.0188994663540954
54,-3.65889699003901e-19,-0.0188994663540953
55,-4.61387647750998e-19,-0.0188994663540953
56,-5.10629130079062e-19,-0.0188994663540953
57,-6.30107980203808e-19,-0.0188994663540953
58,-6.38900770961351e-19,-0.0188994663540952
59,-6.89153781677878e-19,-0.0188994663540952
60,-7.45406441588284e-19,-0.0188994663540952
61,-7.75840260639327e-19,-0.0188994663540951
62,-7.98169834199159e-19,-0.0188994663540951
63,-8.17971626899988e-19,-0.0188994663540951
64,-8.22142161444857e-19,-0.018899466354095
65,-9.13202863470824e-19,-0.018899466354095
66,-9.48250850853916e-19,-0.0188994663540949
67,-1.10096678921656e-18,-0.0188994663540949
68,-1.19598643380837e-18,-0.0188994663540948
69,-1.26257245541617e-18,-0.0188994663540948
70,-1.37332398182796e-18,-0.0188994663540947
71,-1.63934633164726e-18,-0.0188994663540947
72,-1.67068554621744e-18,-0.0188994663540946
73,-1.9662141831291e-18,-0.0188994663540945
74,-2.97711129849925e-18,-0.0188994663540944
75,-3.92982775612551e-18,-0.0188994663540942
76,-4.51649878764576e-18,-0.018899466354094
77,-5.01880115281992e-18,-0.0188994663540937
78,-5.58841179021103e-18,-0.0188994663540935
79,-5.67147809201131e-18,-0.0188994663540932
80,-6.58025132552424e-18,-0.0188994663540929
81,-7.29352449878507e-18,-0.0188994663540926
82,-7.92714247140158e-18,-0.0188994663540923
83,-8.73155113617961e-18,-0.0188994663540919
84,-1.07332224677607e-17,-0.0188994663540914
85,-1.19638321118713e-17,-0.0188994663540909
86,-1.54751695228217e-17,-0.0188994663540902
87,-2.22781934778025e-17,-0.0188994663540892
88,-2.81383251100922e-17,-0.0188994663540879
89,-2.14694164655425e-16,-0.0188994663540782
90,-4.75677180952211e-14,-0.0188994663519392
91,-3.32309328308565e-11,-0.0188994648576354
92,-1.65760822010268e-10,-0.0188994574038263
93,-3.55035720772092e-09,-0.0188992977540085
94,-3.94445928233429e-06,-0.0187219262477592
95,-5.30492264485769e-05,-0.0163364481563304
96,-0.00100239735379632,0.0287386092284422
97,-0.00218513841578806,0.126998285505811
98,-0.00914251292628254,0.538111995286159
99,-0.0102716522293731,1
