"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
-1.29866031768827,-1.27770352936601,-1.58709511452708,-2.08531950343275,-1.7420956173398,-1.88185443105346,-2.04095446354203,-2.23331412550755,-1.34854627884996,-2.12468662854091,-1.32525016618644,-1.52622286340684,-1.98065188161502,-1.17775790376329,-1.71155299946728,-1.04428502238806,-1.55533627055934,-2.84832256775013
-1.32081203389787,-1.29971256460344,-1.61121059334127,-2.11282706404273,-1.7672663925137,-1.90797673196226,-2.06815997180866,-2.2618292840485,-1.37103763572045,-2.15246221398349,-1.34758291516571,-1.549923903146,-2.00744682930905,-1.19908647504768,-1.73651583006764,-1.06470486471171,-1.57923552431735,-2.88102491380666
-1.40696545912734,-1.38573585152641,-1.69915515256606,-2.20386551710434,-1.85617348009124,-1.99775169943894,-2.15892292506226,-2.35378676006305,-1.45750084479676,-2.24374513060099,-1.43390145910519,-1.63749045541897,-2.09783531316548,-1.28448911560738,-1.82523325286903,-1.14927866000758,-1.6669828661963,-2.97680149396669
-1.53543044648453,-1.5140830823424,-1.82924085983089,-2.33675075547439,-1.98713013775234,-2.12949366419245,-2.29155887553729,-2.48750358266929,-1.58624614219715,-2.37685157349999,-1.56251585526212,-1.76723412049508,-2.23013242243243,-1.41227475029533,-1.9560182910537,-1.27631430836119,-1.7968901199901,-3.11397405921092
-1.68479892774493,-1.66334598485546,-1.98006245423403,-2.49008236744645,-2.13873261320811,-2.28180023420008,-2.44466697972441,-2.64158078058573,-1.73586594523494,-2.53038151413252,-1.71201829420981,-1.91774904500575,-2.38293672667828,-1.56103413414935,-2.10746689506285,-1.42440126572489,-1.94755171568964,-3.27114962410706
-1.83627802476961,-1.81473143473056,-2.13283044610968,-2.64507671639317,-2.29219323770701,-2.43588538256831,-2.59946307980481,-2.79723645579563,-1.88756796182128,-2.68555177834815,-1.86361621018141,-2.07024502417039,-2.5374633596618,-1.71197296869362,-2.2607910373365,-1.57474366561067,-2.10017779053269,-3.42955351563202
-1.97528684030129,-1.9536582473427,-2.27296789333223,-2.78716369203825,-2.43293719455146,-2.57717620902754,-2.74137645715129,-2.93990252738329,-2.02677197875485,-2.82779279568813,-2.00272907053015,-2.2101442811591,-2.67914077586299,-1.85050869880928,-2.40141548236466,-1.7127571226669,-2.24019096690388,-3.57462608610842
-2.09207166789412,-2.07037238896578,-2.39072559391546,-2.90660187311979,-2.55121770238381,-2.69592811482061,-2.86066499765722,-3.05983988530521,-2.14372506865426,-2.94736375968334,-2.11960358406139,-2.3276966633493,-2.79822591943535,-1.96688572992863,-2.51959297180841,-1.82868395789219,-2.35784154684202,-3.69663783002289
-2.18143343866255,-2.15967442498529,-2.48090951261537,-2.99820591919421,-2.64184343096298,-2.78695220871791,-2.95214258663916,-3.15186577185707,-2.23322903322257,-3.03908001690853,-2.20904114592431,-2.41770707318034,-2.88953162332044,-2.05590288322854,-2.6101316424099,-1.91732066315138,-2.44793494086127,-3.79041672253719
-2.24192408476323,-2.2201158850452,-2.54207712149581,-3.06054287161764,-2.70337482941526,-2.8488116241642,-3.01437541334316,-3.21455007089695,-2.29383676276571,-3.10150936483602,-2.26959419898126,-2.47873181355538,-2.9516229185451,-2.11610976871813,-2.6715913566697,-1.97721428486771,-2.50902801103996,-3.85454445984872
