"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
-0.168631439046144,-0.185642167717473,-0.0151247774753949,-0.0268152721325496,-0.0955758535497258,-0.0813095643920446,-0.0423746213627211,-0.0293690887925998,-0.176382433860401,-0.0412189680386368,-0.148829294943662,-0.10920704640769,-0.0628461615265918,-0.127439683128119,-0.0433717932756148,-0.205769340910179,-0.152958330673354,0.0453257279515227
-0.149921842189827,-0.164628867979094,-0.0172040454295724,-0.0273113376998822,-0.0867599165189571,-0.0744256604965921,-0.0407635392377287,-0.0295192999927452,-0.156623147162017,-0.0397643919601987,-0.132801432498687,-0.0985450850895688,-0.0584626910467582,-0.114308540238063,-0.041625667681643,-0.182030289219154,-0.136371287508116,0.0350598616296448
-0.134454788374422,-0.147219674862892,-0.0192630674296699,-0.0280356391504902,-0.0796337237258346,-0.0689282704070459,-0.0397114074608955,-0.0299520285308493,-0.140271151146904,-0.0388442027816025,-0.119595217889205,-0.0898625994486972,-0.055073294155168,-0.103544408301134,-0.0404596873566905,-0.16232314785942,-0.122693654964696,0.0260991186856043
-0.122062387258634,-0.133227977217304,-0.0213028917578838,-0.0289763590312649,-0.0741097846626979,-0.0647456040891188,-0.0391892850548662,-0.0306526464029987,-0.127150025274614,-0.0384307313561732,-0.109064553619476,-0.0830570974463121,-0.0526265003387404,-0.095024729722337,-0.0398438139062045,-0.146439155129727,-0.111774791421349,0.0183759232671851
-0.11257404318178,-0.122464156911551,-0.0233245835880195,-0.030121489467273,-0.0700991990340162,-0.0618047147119495,-0.0391677646986797,-0.0316062898953376,-0.117080506233011,-0.0384958626874128,-0.101060988035768,-0.0780244355269675,-0.0510700097086485,-0.0886249720614534,-0.0397475249086744,-0.134166185424308,-0.103461627876069,0.0118216106312817
-0.105816770410362,-0.114735939234158,-0.0253292230171409,-0.0314588543513112,-0.0675118210367323,-0.0600316334477719,-0.0396170270700497,-0.0327978870509746,-0.109880819201949,-0.0390110878831728,-0.0954339896526598,-0.0746590110671524,-0.0503507896461603,-0.0842188581586261,-0.0401398703185248,-0.12528914122333,-0.0975989508053637,0.00636655403062437
-0.101615521610013,-0.109848757991545,-0.0273179030146398,-0.0329761324643645,-0.0662564305325688,-0.0593515099267604,-0.040506897467437,-0.0342121862891913,-0.105367023014263,-0.0399475582894319,-0.0920312329879932,-0.0728539628976006,-0.0504151755030071,-0.0816786059142695,-0.0409895312352495,-0.119590361528311,-0.0940296968896393,0.00194029692371719
-0.0997935288294292,-0.107606134513778,-0.0292917272931819,-0.0346608814767573,-0.0662409107405458,-0.0596887580420129,-0.0418069045889408,-0.0358337861148002,-0.103353368464476,-0.0412761416861091,-0.0906988952857122,-0.0725013794637978,-0.0512089751375818,-0.0808751772025609,-0.0422648809111472,-0.116850045855461,-0.0925952589651261,-0.00152830977914678
-0.100172656294391,-0.1078100697873,-0.031251808105916,-0.0365005627805956,-0.0673724320839371,-0.0609672068045361,-0.0434863413470187,-0.0376471658564979,-0.103652669027629,-0.0429674804292402,-0.0912819635157945,-0.0734925141961951,-0.0526775770717832,-0.0816785354061292,-0.0439340478720849,-0.116846692914163,-0.0931358025725429,-0.00411096571631735
-0.102573764330289,-0.110261448957075,-0.0331992639741927,-0.038482567105516,-0.0695576418364766,-0.0631102559567858,-0.0455143276015364,-0.0396367173748214,-0.106076683272045,-0.0449920514271812,-0.0936245510581607,-0.0757180076740401,-0.0547660620595472,-0.0839579110743954,-0.0459649810293308,-0.119357553123089,-0.095490592490948,-0.00587977459598687
-0.106817083761256,-0.114760457473519,-0.0351352173498772,-0.0405942408718686,-0.0727028592281026,-0.0660410360660134,-0.047859874698783,-0.041786777682921,-0.110436508280984,-0.0473202278434139,-0.0975702235032808,-0.0790681161848634,-0.057419317867218,-0.0875820752296874,-0.048325516665834,-0.124159094153357,-0.0994983286718452,-0.00690709350057104
-0.112722600170374,-0.121107008200116,-0.0370607922160809,-0.0428229132379928,-0.0767142756894792,-0.0696825728342164,-0.0504919517103358,-0.0440816624265036,-0.116542983436417,-0.0499223424244983,-0.102962333033858,-0.0834329463038608,-0.0605821570770489,-0.092419619871807,-0.0509834471868106,-0.13102747873336,-0.104997491021268,-0.00726537822198925
-0.120110447447178,-0.129101178843881,-0.0389771116299132,-0.0451559238012125,-0.0814981599362804,-0.0739579553793408,-0.0533795532728741,-0.04650570017297,-0.124207103961939,-0.0527687523586215,-0.109644360888269,-0.088702695142887,-0.06419943773793,-0.098339245262186,-0.0539065915319861,-0.139739054001784,-0.111826692514993,-0.00702702485882507
-0.128801310093002,-0.138543659120251,-0.0408852952105442,-0.0475806509152738,-0.0869610676173387,-0.0787905082613456,-0.056491768937671,-0.0490432674636023,-0.133240443668518,-0.0558299055774784,-0.117460267445052,-0.0947678959458546,-0.0682161867010278,-0.105210053601149,-0.0570628671547599,-0.150070851750496,-0.119825040171834,-0.00626420788844384
-0.138616833799507,-0.149236207113644,-0.0427864565756172,-0.0500845405901189,-0.0930100552740862,-0.0841039670458852,-0.0597978539462195,-0.0516788245865855,-0.143455586393761,-0.059076408421616,-0.126254849506675,-0.101519668734661,-0.0725777254917523,-0.112901848744482,-0.0604203634815834,-0.161801098954632,-0.128832503450149,-0.0050487149091657
-0.149380043857364,-0.160982114341305,-0.0446817007287641,-0.0526551359428036,-0.0995528983804266,-0.0898226572161737,-0.0632673013556213,-0.0543969520322522,-0.154666565669169,-0.0624790945962233,-0.135874104397088,-0.108849975735193,-0.0772297985822321,-0.121285441635902,-0.0639474167722818,-0.17470973803904,-0.138690289670053,-0.00345177823078988
-0.160915770988068,-0.173586679067992,-0.0465721214007783,-0.0552801071709184,-0.106498313250921,-0.095871676258982,-0.0668699154435778,-0.0571823875950964,-0.166689312187685,-0.0660090953502909,-0.146165600518836,-0.116651881334932,-0.082118703939515,-0.130232961158314,-0.0676126863084998,-0.18857895637492,-0.149241226096113,-0.00154390347732143
-0.17305108421828,-0.186857687448483,-0.0484587983468074,-0.0579472820217119,-0.113756182618961,-0.102177078762027,-0.0705758863273703,-0.0600200640893856,-0.179342108671582,-0.06963791081641,-0.156978854038566,-0.124819816339807,-0.0871914257328103,-0.139618170126008,-0.0713852318421706,-0.203193724533456,-0.160330148339044,0.000605304644933618
