"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
-1.63268231969814,-1.7703508627546,-3.35769570275488,-4.74722795583878,-2.03531882243009,-2.19407405199378,-2.63025692733458,-3.93217228849567,-1.75313999812667,-3.87611257404866,-1.8522289667689,-3.37514429305935,-3.20550823766125,-1.64357978864075,-2.98617510519823,-1.69915649934864,-2.34396098455424,-2.49578753623456
-1.49780056103819,-1.55167159701615,-2.33143968586584,-3.62372977863567,-1.71213999373635,-1.97452815591654,-1.98774475907183,-2.7698842083973,-1.62768616738663,-3.19177180951175,-1.52210104022905,-2.25179479412723,-3.09012797391427,-1.17725674184841,-2.06061863668356,-1.03540633717343,-1.80799095688408,-2.19936576051832
-1.53212880109939,-1.54242094733685,-1.94266650372609,-3.05848772634276,-1.74407550430223,-2.03595040354687,-1.85103190379452,-2.27818676523339,-1.70897181368836,-3.00973006066334,-1.47542832385936,-1.78708779827926,-3.15712903742479,-1.06013062617897,-1.69483422646405,-0.875175023522077,-1.69065301065814,-2.15466544031747
-1.67276635112596,-1.67716636264403,-1.98599830149898,-2.87556545012881,-2.00008260072239,-2.24775668575301,-2.05987992998747,-2.22846585740836,-1.93170929110771,-3.17332441568336,-1.60913832738397,-1.737631702723,-3.35058699169904,-1.17609977196634,-1.70324445905449,-1.03789514082797,-1.83035625318847,-2.24758694466304
-1.86652779900474,-1.88689299168854,-2.27041222125134,-2.94357919368845,-2.35531402764555,-2.51926208157706,-2.45151767941401,-2.44209669112831,-2.22149265975578,-3.51733705208925,-1.83526075253856,-1.9384385945881,-3.60077207427461,-1.41914508652849,-1.93452181102013,-1.36704558172701,-2.10060293696335,-2.41863061942591
-2.07041639220145,-2.10540172757984,-2.62836073666386,-3.16837749940772,-2.69897399045489,-2.7931618438662,-2.87361698387426,-2.78543030869268,-2.50358837263517,-3.88356435009517,-2.08225930312724,-2.28663598291681,-3.83431048916776,-1.69765773756865,-2.26995099086561,-1.73369703686801,-2.4073788712954,-2.64775035935252
-2.25445004839939,-2.29268841930032,-2.95256038676561,-3.46829638946389,-2.96614259850557,-3.02734900479332,-3.23355473146001,-3.15663845460512,-2.73390315578328,-4.17865434322758,-2.30221832873418,-2.68767033662018,-4.01036949754758,-1.95177849161342,-2.62111014173308,-2.05392608548868,-2.68461707011882,-2.9040165655382
-2.39941868438109,-2.42505836883248,-3.17761099645992,-3.78106701621056,-3.12219962894235,-3.19767251163632,-3.47653250325026,-3.48593028778057,-2.8866303813423,-4.3491674001601,-2.4657778598131,-3.07099954983679,-4.10639612877515,-2.14447524640949,-2.92723140254893,-2.27771649672063,-2.89168175166099,-3.16185447561503
-2.49672854436894,-2.50035030562581,-3.28628312403022,-4.05519514736261,-3.16862648117347,-3.29036646524533,-3.59602315827256,-3.72855538123648,-2.96161456835803,-4.39427394525218,-2.56229358621568,-3.37240276590286,-4.12699264982226,-2.26422276981667,-3.15196941329267,-2.39025878080885,-3.00918416755747,-3.38596883795987
-2.54510947484346,-2.5228263143429,-3.28207480332947,-4.26050010757003,-3.11986447720993,-3.30721541067562,-3.60076831104837,-3.86584760884596,-2.96522550122613,-4.32788521176738,-2.59247429279997,-3.55849863454275,-4.08196614397854,-2.31160925742113,-3.27987758105224,-2.39580127287372,-3.03597417680614,-3.55680764552018
-2.55076184036545,-2.51210715401032,-3.20133729655002,-4.37463166119104,-3.01436367550934,-3.25486594605149,-3.53325994306729,-3.895542988733,-2.92256804192921,-4.20069324413835,-2.56956528341118,-3.59926525440772,-4.00102396221356,-2.30465421038821,-3.31240770708683,-2.32166226943923,-2.98401351415507,-3.64685115402258
-2.52295709141062,-2.48186682541978,-3.07551712309173,-4.39871825133747,-2.88273556931275,-3.15361923232343,-3.42363551048754,-3.83474913756717,-2.85025383203153,-4.04701511553396,-2.50956055893878,-3.50437557914126,-3.90247160706033,-2.26043939583265,-3.26391201905195,-2.19668069746212,-2.87548817204982,-3.65781357283463
-2.47397056236373,-2.44818966380442,-2.94244601948293,-4.34388414296318,-2.75821739985377,-3.02711291764748,-3.30711214021418,-3.71024177546586,-2.76779317595667,-3.90555487294219,-2.43213238254975,-3.29621890789496,-3.80698754584522,-2.2000052544413,-3.15739868033814,-2.05486333878266,-2.73771289301451,-3.5976739546516
-2.41628869742824,-2.41944539621402,-2.82736536883812,-4.23584444800183,-2.6610872187162,-2.90428343621114,-3.20201664811102,-3.55688933478683,-2.68483590181264,-3.79425864118445,-2.35499495199231,-3.02243557380588,-3.7231786771255,-2.13891733570431,-3.02052018748325,-1.9237046404585,-2.59973586490403,-3.49525457308393
-2.36245676571913,-2.40371316974322,-2.75325384621213,-4.10266891989417,-2.60831591405386,-2.81051580457507,-3.12548393089961,-3.40912275866814,-2.61120295634077,-3.72895722482493,-2.29479527894324,-2.73172318952998,-3.65966537166387,-2.09178978502564,-2.88173795697364,-1.82779468257493,-2.48807658871564,-3.37965168721903
-2.322864220779,-2.40153500210325,-2.7274157142793,-3.9774162041199,-2.60272229369863,-2.76906751009286,-3.07792484063874,-3.29947682302491,-2.54769813502545,-3.70560549493007,-2.26299751611325,-2.4819054633091,-3.61462860523092,-2.06563359719668,-2.76704889613358,-1.78064581635157,-2.42428380826793,-3.29001813223609
-2.30556348212929,-2.41129307104664,-2.74940866487885,-3.88918248738326,-2.64043687771102,-2.7952336995,-3.05462669296509,-3.25273875874145,-2.49326229814413,-3.71404137787295,-2.2666776333145,-2.32249069507098,-3.58433657680349,-2.06340260888501,-2.69724511838441,-1.78786679577094,-2.42232258834625,-3.26066525457081
-2.31630362400352,-2.43458723120245,-2.8195806593971,-3.85514162914917,-2.71877756136351,-2.89162512098187,-3.05748193623135,-3.28135062105921,-2.45200797729298,-3.75184357242068,-2.3097533782407,-2.27900199600152,-3.57139913479711,-2.08793544478943,-2.68594574510058,-1.85115201518775,-2.48694534856482,-3.30728708681606
-2.35707005533658,-2.46961919686078,-2.9284018648916,-3.88537525430946,-2.82744445190072,-3.05234999719565,-3.0811616599421,-3.38723812821817,-2.42450211160066,-3.80839844680456,-2.39035273547866,-2.36475307476193,-3.57454379456065,-2.13686490636218,-2.73856474956602,-1.96291849458109,-2.61398304494416,-3.4387443005891
-2.42710207204174,-2.51929537645057,-3.07064674369596,-3.97453565376492,-2.96096806276832,-3.2588292443092,-3.13082187710914,-3.55873633623501,-2.4181208893399,-3.88563575300173,-2.5039771125952,-2.56339679759622,-3.60056159499595,-2.20939254711349,-2.85209483135651,-2.11415036672176,-2.79051931466062,-3.6404324118921
-2.52192636228969,-2.58361792555427,-3.23410922049451,-4.10999805838319,-3.10905583009502,-3.48681838699395,-3.20620922507393,-3.77547786227028,-2.43683183524185,-3.97963712811155,-2.64144949301071,-2.84691310543595,-3.65220758487502,-2.30101971617748,-3.01588160428336,-2.28959208154533,-2.99717171474372,-3.89084767908368
-2.63455648127368,-2.66454908770054,-3.40923193305723,-4.26892398108455,-3.26479798349585,-3.7062161759012,-3.31238810066039,-4.00906442521577,-2.48716575086355,-4.09322661020608,-2.79175940350836,-3.16891043581009,-3.73499331453037,-2.408217575601,-3.21312351909104,-2.47395561956805,-3.21015970999596,-4.15419465718609
-2.75520956031938,-2.75880762010708,-3.57896051828434,-4.42795539311744,-3.41569830445565,-3.88922995627123,-3.44454531764873,-4.22965839734437,-2.56842838585767,-4.21840010179341,-2.94083973990255,-3.48504444524656,-3.84564576527165,-2.52368941895496,-3.42308494406993,-2.64814123088864,-3.40476994641359,-4.39849592119501
-2.87267202853154,-2.86025311030053,-3.72435172411348,-4.56413611444652,-3.54816807292841,-4.01252268439519,-3.59313496694946,-4.4088869734953,-2.67541959759684,-4.34244960930964,-3.07395452639295,-3.75398131980479,-3.97526492748062,-2.63905351854241,-3.623657054651,-2.79351050694824,-3.55824806079463,-4.59503866153598
-2.97546265955286,-2.95994238640201,-3.82606404729745,-4.6583403599289,-3.64840532363699,-4.06064776099349,-3.74384448018435,-4.52370310104739,-2.79817371826352,-4.44808334181072,-3.17723633504233,-3.94363328190942,-4.10913632361713,-2.74550316670231,-3.79406422340883,-2.89386444821068,-3.65269194185832,-4.72286618149962
-3.05273506846506,-3.04420880514727,-3.86209843464471,-4.70046622634506,-3.70002668052987,-4.03011454781395,-3.87311381726821,-4.5605790271177,-2.91922031700115,-4.50838349900404,-3.23832511268843,-4.04120843500651,-4.22380613533683,-2.83260456009731,-3.91740602925253,-2.93514462664882,-3.67755796445826,-4.77712714310297
-3.09605826477082,-3.09937452760234,-3.81584770632725,-4.68762876021914,-3.69061534891389,-3.92815255789131,-3.95763199797707,-4.51595825264876,-3.01962236116742,-4.49802864703381,-3.24905463839074,-4.04810302989661,-4.29453738708658,-2.89192196646002,-3.98268243795269,-2.909941792234,-3.63082723619175,-4.76336630339791
-3.10094623960003,-3.11632289069787,-3.68318666718349,-4.62162185110748,-3.61752884093578,-3.77027260724892,-3.98336800157562,-4.39551695803321,-3.08498551235357,-4.40393722678863,-3.20760570272617,-3.9734452845973,-4.30283329888811,-2.92015564558184,-3.98608510692566,-2.82096458014991,-3.51912573856177,-4.69101591530631
-3.06707845203838,-3.08856973418191,-3.46812388015939,-4.51163213386122,-3.48397799110738,-3.58062201493547,-3.9406107508838,-4.21478174141219,-3.10315094682297,-4.21954970246487,-3.11774902150216,-3.83942827421684,-4.23427872760412,-2.91687841838117,-3.93142176005998,-2.6781106102441,-3.35720565504361,-4.57861744427337
-2.99957197718745,-3.02038729706764,-3.19441173230466,-4.36591377843339,-3.30900748548753,-3.38442719661007,-3.84051909355829,-3.99400269617155,-3.0751329221355,-3.96402430733922,-2.99112286941201,-3.66297904286263,-4.09178994646325,-2.88991374136387,-3.82948375373391,-2.50323090376713,-3.16553066710298,-4.43703613883495
-2.90738171756248,-2.91876468820135,-2.89009202415356,-4.19806509992489,-3.11431742156575,-3.20974256075341,-3.69724854138496,-3.75868016097251,-3.00509580323725,-3.66120522095929,-2.84314282658302,-3.46965777538464,-3.88422992463607,-2.84802514381956,-3.69658212613893,-2.3207233125897,-2.96821163097558,-4.28371610733744
-2.80396389449249,-2.80384366873473,-2.60239291475173,-4.01426925547476,-2.93737536470575,-3.07645492189296,-3.54985738899279,-3.53130621730523,-2.91446577909971,-3.36469878259294,-2.69516500222493,-3.26640464415511,-3.64294615559018,-2.8081821259145,-3.55220513424736,-2.16355284166931,-2.78893013357595,-4.11801458881701
-2.70388967184491,-2.69458275937666,-2.37197678782437,-3.82403962218531,-2.80961221097062,-3.00109348893533,-3.4316227529835,-3.333298400248,-2.82374538179137,-3.1215439953403,-2.56749344168249,-3.06578285575501,-3.40028359246991,-2.78375715970233,-3.41637645350258,-2.05858917837576,-2.64863752602722,-3.94555066959204
-2.62100889235345,-2.6066350795379,-2.22788911346137,-3.63880128843832,-2.75250156986933,-2.99410871962112,-3.36593581526975,-3.18193544461295,-2.75016926516423,-2.96664744304754,-2.47681335430301,-2.88381420293853,-3.1862322735423,-2.78273681565363,-3.3068529121303,-2.02291955416032,-2.56265479787199,-3.77723285486366
-2.56707769973015,-2.55377604557352,-2.18918522350866,-3.46722560221285,-2.77937790555762,-3.05582319117677,-3.37025892486366,-3.08656403196225,-2.70984836990502,-2.92649280829446,-2.43517333537687,-2.73071090834988,-3.02999184494555,-2.80923438226114,-3.23662484410198,-2.06414473004234,-2.53828695233967,-3.62116413580674
-2.54934333851388,-2.54121402761463,-2.25418235594616,-3.31918308961325,-2.88651268762934,-3.1791428788249,-3.44314077460074,-3.04958126107742,-2.70914942705758,-3.00311823127954,-2.4465457973171,-2.62022583148674,-2.94872289540398,-2.85918376000897,-3.21218951519612,-2.17503869135849,-2.57424254287798,-3.49175138217298
-2.56935683842706,-2.56464972087368,-2.40021106308038,-3.20511390694503,-3.05310440782387,-3.35033414514588,-3.56379671978161,-3.06654413170667,-2.74336561382676,-3.17283142736987,-2.50613064348977,-2.56875576783977,-2.94472082735897,-2.92092402989344,-3.23278215512484,-2.33427659538972,-2.66095057494918,-3.40855322014343
-2.62275560353317,-2.61212366629341,-2.58886444100791,-3.1339467252829,-3.24583802185677,-3.54987744413236,-3.69772422268618,-3.12677183695816,-2.79883040037524,-3.39220125092283,-2.60142346145086,-2.59096067459184,-3.00669025190187,-2.97817708235433,-3.2907384591788,-2.51058349578741,-2.78202657251493,-3.3913318539502
-2.70024996532693,-2.66943699750884,-2.77772018510183,-3.10879477342745,-3.42885051150607,-3.75263796707361,-3.80977927302578,-3.21386545228079,-2.85954412973183,-3.61311809283299,-2.71529354353656,-2.69024733254376,-3.11658145957579,-3.01574276380572,-3.37293240417651,-2.67056848698473,-2.91657142976233,-3.44991527949053
