"j","lambda","FVE"
1,0.00413515081805307,-0.0770884315280915
2,0.000847512303023358,-0.0928879505820524
3,3.19666675175275e-05,-0.093483880541692
4,3.1602979290561e-07,-0.0934897720416936
5,4.83600785124137e-08,-0.0934906735813871
6,1.65769526372886e-10,-0.0934906766717007
7,3.243604200319e-11,-0.0934906772763809
8,7.98817100907260e-12,-0.0934906774252982
9,2.31759902302854e-12,-0.0934906774685034
10,3.29490190135699e-14,-0.0934906774691177
11,1.59560161967204e-14,-0.0934906774694151
12,6.34533498476716e-17,-0.0934906774694163
13,2.67468617602943e-17,-0.0934906774694168
14,2.20603494437342e-17,-0.0934906774694172
15,1.84645371653969e-17,-0.0934906774694175
16,1.68318841391738e-17,-0.0934906774694179
17,1.383855158631e-17,-0.0934906774694181
18,1.3639478951547e-17,-0.0934906774694184
19,1.29476231715883e-17,-0.0934906774694186
20,1.18656150717176e-17,-0.0934906774694188
21,8.75663525576299e-18,-0.093490677469419
22,7.80280211717207e-18,-0.0934906774694192
23,7.36495766930816e-18,-0.0934906774694193
24,4.75664804520359e-18,-0.0934906774694194
25,4.03872256712294e-18,-0.0934906774694195
26,3.72766874177256e-18,-0.0934906774694195
27,3.11564800301194e-18,-0.0934906774694196
28,2.31266849093941e-18,-0.0934906774694196
29,2.16634585520182e-18,-0.0934906774694197
30,1.84950152370375e-18,-0.0934906774694197
31,1.82404183841308e-18,-0.0934906774694197
32,1.51601126211334e-18,-0.0934906774694198
33,1.42175959527683e-18,-0.0934906774694198
34,1.30759000570492e-18,-0.0934906774694198
35,1.29486110431156e-18,-0.0934906774694198
36,1.1660771907526e-18,-0.0934906774694199
37,1.07408017629468e-18,-0.0934906774694199
38,8.07129109136245e-19,-0.0934906774694199
39,8.05488082892766e-19,-0.0934906774694199
40,7.70282386176991e-19,-0.0934906774694199
41,5.65228181495679e-19,-0.0934906774694199
42,5.53925946977063e-19,-0.0934906774694199
43,5.40807713994685e-19,-0.09349067746942
44,5.36567190277776e-19,-0.09349067746942
45,4.81571463633392e-19,-0.09349067746942
46,4.68099770072694e-19,-0.09349067746942
47,4.67701621919263e-19,-0.09349067746942
48,4.37016533185172e-19,-0.09349067746942
49,4.12990839775612e-19,-0.09349067746942
50,3.33823934729514e-19,-0.09349067746942
51,2.69156787838247e-19,-0.09349067746942
52,2.52860814011205e-20,-0.09349067746942
53,-1.48348413960281e-21,-0.09349067746942
54,-4.5032868976495e-20,-0.09349067746942
55,-7.31922055311148e-20,-0.09349067746942
56,-9.7637530876194e-20,-0.09349067746942
57,-3.12602617089292e-19,-0.09349067746942
58,-3.47101243839975e-19,-0.09349067746942
59,-4.6366181005478e-19,-0.09349067746942
60,-4.74734463974945e-19,-0.09349067746942
61,-5.02390806199205e-19,-0.09349067746942
62,-6.26469192609172e-19,-0.09349067746942
63,-7.04096326989918e-19,-0.0934906774694199
64,-7.14382706986795e-19,-0.0934906774694199
65,-7.87930395080307e-19,-0.0934906774694199
66,-8.9585797178337e-19,-0.0934906774694199
67,-9.60722245025925e-19,-0.0934906774694199
68,-9.61528279049142e-19,-0.0934906774694199
69,-9.65636093038032e-19,-0.0934906774694198
70,-1.26239885477084e-18,-0.0934906774694198
71,-1.29252431226741e-18,-0.0934906774694198
72,-1.31527322225164e-18,-0.0934906774694198
73,-1.43490927910338e-18,-0.0934906774694197
74,-1.50489379628929e-18,-0.0934906774694197
75,-1.59825367155423e-18,-0.0934906774694197
76,-1.99645246609065e-18,-0.0934906774694197
77,-2.54426705735733e-18,-0.0934906774694196
78,-2.66512962423661e-18,-0.0934906774694196
79,-3.05191581965553e-18,-0.0934906774694195
80,-4.00947589931092e-18,-0.0934906774694194
81,-5.26097827347022e-18,-0.0934906774694193
82,-5.62158987374935e-18,-0.0934906774694192
83,-7.90903468645172e-18,-0.0934906774694191
84,-8.68212643440105e-18,-0.0934906774694189
85,-9.28912570036024e-18,-0.0934906774694187
86,-1.0167215440862e-17,-0.0934906774694186
87,-1.2110753547362e-17,-0.0934906774694183
88,-1.6148962605282e-17,-0.093490677469418
89,-1.62901470625698e-17,-0.0934906774694177
90,-1.6392749985783e-17,-0.0934906774694174
91,-2.1509469356702e-17,-0.093490677469417
92,-2.58532584112461e-17,-0.0934906774694165
93,-4.72748339005309e-17,-0.0934906774694157
94,-1.06872387453595e-16,-0.0934906774694137
95,-7.63625187701196e-16,-0.0934906774693994
96,-5.62420709342427e-15,-0.0934906774692946
97,-2.44306945787779e-14,-0.0934906774688391
98,-8.6944133032277e-12,-0.0934906773067559
99,-2.96011588285758e-11,-0.0934906767549243
100,-1.23514544537102e-09,-0.0934906537290591
101,-1.74722692977995e-08,-0.0934903280070009
102,-1.15733309907678e-07,-0.09348817048005
103,-1.65599343882388e-06,-0.0934572990699281
104,-1.23784367102286e-05,-0.0932265374090486
105,-0.000185026860256192,-0.0897772241734959
106,-0.00384751304369493,-0.0180510021146928
107,-0.0156050187689447,0.272861342753726
108,-0.0175515878909775,0.600062076384994
109,-0.0214533309242955,1
