"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
-0.677343292924321,-0.582636307088704,-1.01811469457464,-1.37902666231571,-0.947163394787939,-1.10829283451515,-1.28798298954821,-1.63982679583683,-0.75760661974617,-1.39167014345128,-0.650541001882116,-0.941053073931088,-1.43045665410809,-0.59618207305732,-1.08071738872007,-0.439111104402777,-0.90036701247446,-2.28281404571187
-0.788001124214691,-0.693172689780652,-1.12920951801239,-1.49058430538866,-1.05816723300597,-1.21950329893342,-1.39942388171462,-1.75171887897675,-0.868367377641807,-1.50324400003847,-0.761164462944642,-1.05204907650851,-1.54208024902573,-0.706735826318893,-1.19189249144656,-0.549463435891422,-1.01131084081051,-2.39553067098678
-0.898671584275766,-0.803721611269675,-1.24031729396086,-1.60215524384631,-1.16918395632949,-1.33072680153355,-1.51087798277231,-1.86362450526697,-0.979140840560001,-1.61483116402192,-0.871800527315133,-1.16305795838649,-1.65371718818763,-0.817302131246303,-1.30308060615765,-0.659828169825174,-1.12226750979449,-2.50826145026344
-1.00604322386391,-0.910971622683723,-1.34812657183935,-1.71042802569186,-1.27690211445619,-1.43865189138099,-1.61903384108172,-1.97223222168744,-1.08661555894219,-1.72312018335525,-0.979137745855108,-1.27076826928669,-1.76205601939522,-0.924569538914354,-1.410970282027,-0.766893857895124,-1.22992556930771,-2.61769492799894
-1.10738391685964,-1.01219059992082,-1.44990521826911,-1.81267050985828,-1.37858957551875,-1.54054643317601,-1.72115931751526,-2.07480988161543,-1.18805940495909,-1.82537891670207,-1.08044399301605,-1.37244787747196,-1.86436460048588,-1.02580592493251,-1.51282938434229,-0.867928379056734,-1.33155288847975,-2.72109894387334
-1.20061383989676,-1.1052987232431,-1.54357339682857,-1.90680284609697,-1.47216650581383,-1.63433058704217,-1.81517456531234,-2.16927762481077,-1.28139255216951,-1.9195275133294,-1.17363944645859,-1.46601694947305,-1.95856307924066,-1.11893146904395,-1.60657807428354,-0.960851919070772,-1.42506963540007,-2.81639361301283
-1.28434839669237,-1.18891140157074,-1.62774649251332,-1.99144039957554,-1.556248294235,-1.71861973302082,-1.89969495464238,-2.25425080211308,-1.365230399881,-2.00418133771024,-1.2573395113723,-1.55009087451921,-2.04326681800168,-1.20256157942466,-1.69083173340704,-1.04427989474248,-1.50909120153317,-2.90219425093221
-1.35790667105241,-1.26234772545025,-1.70174356487559,-2.06590220415907,-1.6301540053843,-1.79273292424594,-1.9740395258503,-2.32904842882551,-1.43889202618693,-2.07865942280979,-1.33086327347073,-1.6239887176474,-2.11779484697359,-1.27601534565708,-1.76490941680943,-1.11753140683349,-1.58293665481173,-2.97781982717134
-1.42128313339835,-1.32560217354293,-1.76555905468857,-2.13018266922012,-1.69387808620791,-1.8566645936449,-2.03820269622978,-2.39366489163012,-1.50237189452556,-2.14295617690058,-1.39420520550722,-1.68770492633539,-2.18214157105437,-1.33928724522395,-1.8288055598172,-1.18060094649229,-1.64660044625339,-3.04326467247014
-1.47508296685349,-1.37927993867198,-1.81979811017376,-2.18488690601565,-1.74802569219419,-1.91101988020319,-2.09278958636246,-2.44870527507272,-1.55627517979965,-2.19767670994464,-1.44797049335019,-1.74184465669737,-2.23691209623353,-1.39298246956114,-1.88312530424013,-1.23409372124192,-1.70068773613937,-3.09913380551973
-1.52042420800004,-1.42449906853936,-1.86557872790266,-2.23113286874165,-1.79371482824516,-1.95691676990426,-2.13891816113398,-2.49528750272819,-1.6017199091675,-2.24393897465344,-1.49327717672875,-1.78752591435278,-2.28322437066853,-1.43821906478015,-1.92898663929938,-1.27912779563595,-1.74631653486618,-3.14654507440042
-1.55881249515375,-1.46276521395941,-1.90440650121898,-2.27042610311184,-1.83245109706807,-1.99586084419091,-2.17809397827321,-2.53491708589214,-1.64021171035241,-2.28324851507215,-1.53163089749577,-1.82625430281528,-2.32258393328584,-1.47650267990769,-1.9678951500769,-1.31720883942992,-1.78499245131683,-3.18700390555199
-1.59199619531536,-1.49582675576844,-1.93802974734087,-2.30451487361948,-1.8659828262462,-2.02960040710735,-2.21206531557378,-2.56934225095804,-1.67349893862962,-2.31735359384694,-1.56478002656751,-1.85977815056076,-2.35673904106538,-1.50958169380117,-2.00159914464534,-1.35008525442745,-1.818463819911,-3.22225843143519
-1.62181086845198,-1.5255192690634,-1.96828397179571,-2.33523462813469,-1.89614553264172,-2.05997094977462,-2.24266763545044,-2.60039840413209,-1.70341714114382,-2.3480896568281,-1.59456012819284,-1.88993297542757,-2.38752513366114,-1.53929167939356,-2.03193411853104,-1.37959263865426,-1.84856616498678,-3.25414395553624
-1.6500225897031,-1.55360884536453,-1.99693519078236,-2.36435132043214,-1.9247052447254,-2.08873847279414,-2.27166690742499,-2.6298514540803,-1.73173237915197,-2.37722265560344,-1.62273728214706,-1.91848480694332,-2.4167081559523,-1.56739872586221,-2.06066607710494,-1.40749710845506,-1.87706552310895,-3.28442627530852
-1.67818000186296,-1.58164414505365,-2.02553198381201,-2.39341346299974,-1.95321055518444,-2.11745153893055,-2.30061166089264,-2.65924986485865,-1.75999328054297,-2.40630110031292,-1.6508601362017,-1.94698223892993,-2.44583661087597,-1.59545149107339,-2.08934358825258,-1.43534735086505,-1.90551049565505,-3.31465373540189
-1.70748543802331,-1.61082751997225,-2.05527661651181,-2.42362325001269,-1.98286374369266,-2.14731239595787,-2.33070410805306,-2.68979577901014,-1.78940216251835,-2.43652718262864,-1.68013102875476,-1.97662755227092,-2.47611268242545,-1.62465232418686,-2.11916890520727,-1.46434574614029,-1.93510337156348,-3.34602835106322
-1.73869585280925,-1.64191594461202,-2.08692597202351,-2.45573748890452,-2.01442170827522,-2.17907790810126,-2.36270107543793,-2.72224594926044,-1.82071596286645,-2.46865770733189,-1.71130692005362,-2.0081776462732,-2.50829316724583,-1.65575819685283,-2.15089889797863,-1.49524929887965,-1.96660105867581,-3.37930674013923
