"j","lambda","FVE"
1,0.0261136299904966,-0.0996552858907022
2,0.000255914270502018,-0.10063191035079
3,6.01090050379131e-06,-0.100654849253132
4,4.44375128048779e-06,-0.100671807573536
5,2.07098392237939e-07,-0.100672597905998
6,3.23265124320162e-10,-0.100672599139648
7,1.41397661116361e-12,-0.100672599145044
8,3.60878007166506e-14,-0.100672599145182
9,1.78280976216027e-14,-0.10067259914525
10,5.22848495949255e-16,-0.100672599145252
11,4.93492704770978e-16,-0.100672599145254
12,4.32537209287404e-16,-0.100672599145255
13,3.95233894069987e-16,-0.100672599145257
14,3.91446164961659e-16,-0.100672599145258
15,3.74369992827049e-16,-0.10067259914526
16,3.63257850257418e-16,-0.100672599145261
17,3.37216693960935e-16,-0.100672599145263
18,3.2587893615689e-16,-0.100672599145264
19,3.04633035237477e-16,-0.100672599145265
20,2.77307873342631e-16,-0.100672599145266
21,2.74355831599485e-16,-0.100672599145267
22,2.57624221344497e-16,-0.100672599145268
23,2.39053017455779e-16,-0.100672599145269
24,2.32627769588922e-16,-0.10067259914527
25,2.19358933800222e-16,-0.100672599145271
26,2.05977408657112e-16,-0.100672599145271
27,2.02202367947526e-16,-0.100672599145272
28,1.97030456639353e-16,-0.100672599145273
29,1.8650816962778e-16,-0.100672599145274
30,1.84076742199131e-16,-0.100672599145274
31,1.76870265507956e-16,-0.100672599145275
32,1.75815123697247e-16,-0.100672599145276
33,1.7300568799525e-16,-0.100672599145276
34,1.67135629204935e-16,-0.100672599145277
35,1.59757484451396e-16,-0.100672599145278
36,1.47348413573263e-16,-0.100672599145278
37,1.3576312232532e-16,-0.100672599145279
38,1.34812791641514e-16,-0.100672599145279
39,1.30677158572769e-16,-0.10067259914528
40,1.28951301592903e-16,-0.10067259914528
41,1.22699055402927e-16,-0.100672599145281
42,1.1082415645983e-16,-0.100672599145281
43,1.10457261383204e-16,-0.100672599145282
44,9.99860896709234e-17,-0.100672599145282
45,8.87078185074903e-17,-0.100672599145282
46,8.37873962596378e-17,-0.100672599145283
47,7.47218005222616e-17,-0.100672599145283
48,7.24935984252019e-17,-0.100672599145283
49,6.16219808469814e-17,-0.100672599145283
50,5.91899314706787e-17,-0.100672599145284
51,5.29355376457098e-17,-0.100672599145284
52,3.93030728069908e-17,-0.100672599145284
53,3.59128934207597e-17,-0.100672599145284
54,3.03271175399073e-17,-0.100672599145284
55,2.40205727547694e-17,-0.100672599145284
56,1.56202139852175e-17,-0.100672599145284
57,1.42363549419441e-17,-0.100672599145284
58,1.35401433655256e-17,-0.100672599145284
59,1.28262399953122e-17,-0.100672599145285
60,1.22417181086452e-17,-0.100672599145285
61,1.20574418285123e-17,-0.100672599145285
62,1.17383223942905e-17,-0.100672599145285
63,1.17175353590677e-17,-0.100672599145285
64,1.14763636805043e-17,-0.100672599145285
65,1.1302801630939e-17,-0.100672599145285
66,1.08595260289651e-17,-0.100672599145285
67,1.05314438328208e-17,-0.100672599145285
68,1.04852363081636e-17,-0.100672599145285
69,1.0060955596947e-17,-0.100672599145285
70,9.51916280178909e-18,-0.100672599145285
71,9.47284999339071e-18,-0.100672599145285
72,9.39581731324821e-18,-0.100672599145285
73,9.27897140645491e-18,-0.100672599145285
74,9.06637789768285e-18,-0.100672599145285
75,9.02228665786859e-18,-0.100672599145285
76,8.94296099624347e-18,-0.100672599145285
77,8.94026198915715e-18,-0.100672599145285
78,8.82876623964239e-18,-0.100672599145285
79,8.60796351495607e-18,-0.100672599145285
80,8.28067519324163e-18,-0.100672599145285
81,7.81708454536334e-18,-0.100672599145285
82,7.13025096388982e-18,-0.100672599145285
83,6.92771027725913e-18,-0.100672599145285
84,6.65567055516927e-18,-0.100672599145285
85,6.40573866747292e-18,-0.100672599145285
86,6.22264049854408e-18,-0.100672599145286
87,6.09758426439021e-18,-0.100672599145286
88,5.9855989239391e-18,-0.100672599145286
89,5.97749589488762e-18,-0.100672599145286
90,5.94672270955238e-18,-0.100672599145286
91,5.89127919406658e-18,-0.100672599145286
92,5.85442163650313e-18,-0.100672599145286
93,5.65615464598947e-18,-0.100672599145286
94,5.59897880831669e-18,-0.100672599145286
95,5.31471662871224e-18,-0.100672599145286
96,5.12252101787793e-18,-0.100672599145286
97,5.00100169045772e-18,-0.100672599145286
98,4.96370084582141e-18,-0.100672599145286
99,4.8749801714035e-18,-0.100672599145286
100,4.64407913687158e-18,-0.100672599145286
101,4.16131193079497e-18,-0.100672599145286
102,3.95003149023746e-18,-0.100672599145286
103,3.7826199607029e-18,-0.100672599145286
104,3.70714924309075e-18,-0.100672599145286
105,3.70283624938887e-18,-0.100672599145286
106,3.59330173788037e-18,-0.100672599145286
107,3.26727422377432e-18,-0.100672599145286
108,3.12783371871418e-18,-0.100672599145286
109,3.11093643189161e-18,-0.100672599145286
110,3.08540535286401e-18,-0.100672599145286
111,2.95540113172975e-18,-0.100672599145286
112,2.8706819918591e-18,-0.100672599145286
113,2.77455332622044e-18,-0.100672599145286
114,2.76298215316624e-18,-0.100672599145286
115,2.75603505735159e-18,-0.100672599145286
116,2.68492195297066e-18,-0.100672599145286
117,2.63683170277452e-18,-0.100672599145286
118,2.41074491065199e-18,-0.100672599145286
119,2.18702837246993e-18,-0.100672599145286
120,2.03139123742336e-18,-0.100672599145286
121,2.02011599717562e-18,-0.100672599145286
122,2.00011016083358e-18,-0.100672599145286
123,1.9861618062316e-18,-0.100672599145286
124,1.77087086402464e-18,-0.100672599145286
125,1.73754976653796e-18,-0.100672599145286
126,1.7108212501271e-18,-0.100672599145286
127,1.67484258327822e-18,-0.100672599145286
128,1.49218175543564e-18,-0.100672599145286
129,1.48154905257318e-18,-0.100672599145286
130,1.23935862533128e-18,-0.100672599145286
131,9.46747837602919e-19,-0.100672599145286
132,7.66905782663293e-19,-0.100672599145286
133,6.71359638191868e-19,-0.100672599145286
134,5.41896063521361e-19,-0.100672599145286
135,4.75530049718083e-19,-0.100672599145286
136,4.52705534019263e-19,-0.100672599145286
137,4.45523089333781e-19,-0.100672599145286
138,3.89965779295912e-19,-0.100672599145286
139,3.62821921118667e-19,-0.100672599145286
140,3.53969115168495e-19,-0.100672599145286
141,1.44844712754073e-19,-0.100672599145286
142,-6.08731879003901e-20,-0.100672599145286
143,-3.42751091243078e-19,-0.100672599145286
144,-3.72619533437778e-19,-0.100672599145286
145,-4.78850857039361e-19,-0.100672599145286
146,-5.37088896056645e-19,-0.100672599145286
147,-5.53270630561076e-19,-0.100672599145286
148,-5.92267691717354e-19,-0.100672599145286
149,-6.17403763688257e-19,-0.100672599145286
150,-6.26160470684919e-19,-0.100672599145286
151,-8.18078395279636e-19,-0.100672599145286
152,-8.78390092346282e-19,-0.100672599145286
153,-9.67420336188082e-19,-0.100672599145286
154,-1.14555798818377e-18,-0.100672599145286
155,-1.3695761677972e-18,-0.100672599145286
156,-1.37182759656578e-18,-0.100672599145286
157,-1.44863385127023e-18,-0.100672599145286
158,-1.69689151625778e-18,-0.100672599145286
159,-1.76161054957704e-18,-0.100672599145286
160,-1.83450239914057e-18,-0.100672599145286
161,-1.86401440763718e-18,-0.100672599145286
162,-1.98537133022953e-18,-0.100672599145286
163,-2.08873912178379e-18,-0.100672599145286
164,-2.16400383431503e-18,-0.100672599145286
165,-2.18417921418545e-18,-0.100672599145286
166,-2.22047589476018e-18,-0.100672599145286
167,-2.2318191812823e-18,-0.100672599145286
168,-2.34978073423673e-18,-0.100672599145286
169,-2.50261736325347e-18,-0.100672599145286
170,-2.55452219528712e-18,-0.100672599145286
171,-2.5847662505212e-18,-0.100672599145286
172,-2.92345860777648e-18,-0.100672599145286
173,-2.97756265858669e-18,-0.100672599145286
174,-3.13846018330552e-18,-0.100672599145286
175,-3.218433664966e-18,-0.100672599145286
176,-3.29302801901587e-18,-0.100672599145286
177,-3.44616990637128e-18,-0.100672599145286
178,-3.48056814193836e-18,-0.100672599145286
179,-3.8620760074278e-18,-0.100672599145286
180,-4.02065601381446e-18,-0.100672599145286
181,-4.15351983246009e-18,-0.100672599145286
182,-4.24076486317584e-18,-0.100672599145286
183,-4.38318404696123e-18,-0.100672599145286
184,-4.44515604613641e-18,-0.100672599145286
185,-4.64528095713313e-18,-0.100672599145286
186,-4.83527242205123e-18,-0.100672599145286
187,-4.8409773982036e-18,-0.100672599145286
188,-5.28652156428363e-18,-0.100672599145286
189,-5.37339399492807e-18,-0.100672599145286
190,-5.43642902421108e-18,-0.100672599145286
191,-5.46374146244847e-18,-0.100672599145286
192,-5.59407782596629e-18,-0.100672599145286
193,-5.70927076440746e-18,-0.100672599145286
194,-5.85343186179571e-18,-0.100672599145286
195,-6.15966177510133e-18,-0.100672599145286
196,-6.27167202141717e-18,-0.100672599145286
197,-6.35540222497518e-18,-0.100672599145286
198,-6.68106135819157e-18,-0.100672599145285
199,-6.88086662045344e-18,-0.100672599145285
200,-6.91576069594394e-18,-0.100672599145285
201,-7.02738822271384e-18,-0.100672599145285
202,-7.25329979268189e-18,-0.100672599145285
203,-7.26465928711964e-18,-0.100672599145285
204,-7.41146437662078e-18,-0.100672599145285
205,-7.73897113411383e-18,-0.100672599145285
206,-8.2609336723473e-18,-0.100672599145285
207,-8.66570181719326e-18,-0.100672599145285
208,-8.66728449190805e-18,-0.100672599145285
209,-8.81521605602583e-18,-0.100672599145285
210,-8.98913835922596e-18,-0.100672599145285
211,-9.01553657786277e-18,-0.100672599145285
212,-9.03915704938972e-18,-0.100672599145285
213,-9.35127201057777e-18,-0.100672599145285
214,-9.37920659071031e-18,-0.100672599145285
215,-9.61607032242021e-18,-0.100672599145285
216,-9.93054757343348e-18,-0.100672599145285
217,-1.01988984788263e-17,-0.100672599145285
218,-1.03320002993093e-17,-0.100672599145285
219,-1.10271448740194e-17,-0.100672599145285
220,-1.109440311669e-17,-0.100672599145285
221,-1.12007674507467e-17,-0.100672599145285
222,-1.37019409139239e-17,-0.100672599145285
223,-1.44023209230152e-17,-0.100672599145285
224,-1.50927416408347e-17,-0.100672599145285
225,-1.69804236297124e-17,-0.100672599145284
226,-1.7302570243882e-17,-0.100672599145284
227,-1.78245571540836e-17,-0.100672599145284
228,-1.88844848203343e-17,-0.100672599145284
229,-1.95794855155882e-17,-0.100672599145284
230,-2.17410179062337e-17,-0.100672599145284
231,-2.33026658669123e-17,-0.100672599145284
232,-2.43056237610953e-17,-0.100672599145284
233,-2.47559239139249e-17,-0.100672599145284
234,-3.69615468476351e-17,-0.100672599145284
235,-3.80631786955233e-17,-0.100672599145284
236,-4.59986518289482e-17,-0.100672599145283
237,-5.70587163240174e-17,-0.100672599145283
238,-6.3246455792609e-17,-0.100672599145283
239,-7.36738677140718e-17,-0.100672599145283
240,-8.22335830242389e-17,-0.100672599145282
241,-8.5758979327737e-17,-0.100672599145282
242,-9.33110164519622e-17,-0.100672599145282
243,-1.04040760763563e-16,-0.100672599145281
244,-1.10030114211371e-16,-0.100672599145281
245,-1.17199411617143e-16,-0.10067259914528
246,-1.18091825479684e-16,-0.10067259914528
247,-1.23669847492906e-16,-0.100672599145279
248,-1.24847776297796e-16,-0.100672599145279
249,-1.30158973525057e-16,-0.100672599145278
250,-1.31430097496168e-16,-0.100672599145278
251,-1.48284185039903e-16,-0.100672599145277
252,-1.57027248165207e-16,-0.100672599145277
253,-1.59197408016247e-16,-0.100672599145276
254,-1.63651002133431e-16,-0.100672599145276
255,-1.66559109700707e-16,-0.100672599145275
256,-1.69409085157057e-16,-0.100672599145274
257,-1.76443480919431e-16,-0.100672599145274
258,-1.81016515674775e-16,-0.100672599145273
259,-2.00077106781174e-16,-0.100672599145272
260,-2.02985002624231e-16,-0.100672599145271
261,-2.14530290747548e-16,-0.100672599145271
262,-2.19005476208386e-16,-0.10067259914527
263,-2.20280870280771e-16,-0.100672599145269
264,-2.39779016560063e-16,-0.100672599145268
265,-2.59611792192476e-16,-0.100672599145267
266,-2.59670019315789e-16,-0.100672599145266
267,-2.73664289664751e-16,-0.100672599145265
268,-3.05025218919185e-16,-0.100672599145264
269,-3.27357712044406e-16,-0.100672599145263
270,-3.3753071450136e-16,-0.100672599145261
271,-3.4467889263889e-16,-0.10067259914526
272,-3.88460525153302e-16,-0.100672599145258
273,-4.01902161366545e-16,-0.100672599145257
274,-4.25266166973713e-16,-0.100672599145255
275,-4.30086481348038e-16,-0.100672599145254
276,-4.68485015011587e-16,-0.100672599145252
277,-5.21828990550113e-16,-0.10067259914525
278,-5.73559330321591e-16,-0.100672599145248
279,-1.39277086020941e-15,-0.100672599145242
280,-6.87938241054403e-14,-0.10067259914498
281,-1.50153742426338e-10,-0.100672598571961
282,-2.8113902578955e-10,-0.100672597499073
283,-5.42590371681253e-09,-0.100672576792645
284,-2.04677228527756e-07,-0.10067179569987
285,-0.00186516956016817,-0.0935539034029799
286,-0.00950235393324621,-0.0572908561668465
287,-0.0429951127130769,0.10678783572256
288,-0.234056946929375,1
