"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
-0.0401701752484131,-0.000692193646608275,-0.0809172317457395,0.237874239688731,-0.0837643335459533,0.18777770234215,-0.784510357823152,0.11610114476741,0.247685377987626,-0.14869829346694,0.0158759587678702,-0.146925221158785,-0.326117170284968,-0.188660482799921,-0.182997238048651,0.11133526336406,-0.0193890471028334,-0.461194536937201
-0.0415806955436309,-0.00235614943553825,-0.0820661695090817,0.234678766852516,-0.0848949938639677,0.184903832591011,-0.781142462049291,0.11368741464397,0.244426920911139,-0.149412099388565,0.0141056409584746,-0.147650409614106,-0.32569200610691,-0.189117744775465,-0.183490856169351,0.108952128611949,-0.0209329753195756,-0.459902221052853
-0.0430477224564577,-0.00408462922335601,-0.0832633387788285,0.231370320781191,-0.08607330748505,0.181927163454192,-0.777679908654084,0.111185441560165,0.241053498105668,-0.150160371507599,0.0122674344088954,-0.148410424351017,-0.325265277034405,-0.18960135723187,-0.184011974890309,0.106481718777941,-0.0225376304869068,-0.458580908102844
-0.0445713510122991,-0.00587774106402905,-0.084508821133,0.227948714688854,-0.0872993550476178,0.178847524678701,-0.77412254701504,0.108595078917773,0.237564919547428,-0.150943169032889,0.0103612255973262,-0.149205325163519,-0.324836983724344,-0.19011136618962,-0.184560642101001,0.103923888836654,-0.0242031144884412,-0.457230554165696
-0.0461516533340109,-0.00773556795989949,-0.0858026774652309,0.224413799828159,-0.0885731966606905,0.175664781322978,-0.770470244127049,0.105916211528119,0.233961033785286,-0.151760534178718,0.00838692695551405,-0.150035154754522,-0.324407119497272,-0.190647802850074,-0.185136890563481,0.101278524912813,-0.0259295051739732,-0.455851115336844
-0.0477886765688642,-0.00965816559709712,-0.0871449461094397,0.220765468912439,-0.0898948700423754,0.172378836935944,-0.766722886140904,0.103148758443351,0.23024173141048,-0.152612490618353,0.00634447921373299,-0.1508999371808,-0.323975669651779,-0.191210682242907,-0.185740736532354,0.0985455470893976,-0.027716854185612,-0.454442547698424
-0.0494824408710036,-0.0116455601415808,-0.0885356410146986,0.217003659446189,-0.0912643887081797,0.168989636650935,-0.762880379860609,0.100292675711902,0.226406948433441,-0.153499041978983,0.00423385368298135,-0.15179967633955,-0.323542610797227,-0.191800001909759,-0.186372178411671,0.0957249121406036,-0.0295651848421087,-0.453004807289851
-0.0512329374430046,-0.0136977460997391,-0.0899747499735639,0.213128356957995,-0.0926817402123935,0.165497170188989,-0.758942654196776,0.0973479590532438,0.222456669561683,-0.154420170380736,0.00205505447032334,-0.152734354499283,-0.323107910206003,-0.192415740626422,-0.18703119545117,0.0928166161847452,-0.0314744900851592,-0.451537850079226
-0.0530401266400314,-0.0158146842473812,-0.0914622329070332,0.209139598130082,-0.0941468844456779,0.161901474766117,-0.754909661573497,0.0943146464471131,0.218390931372893,-0.155375835022392,-0.000191879376586657,-0.153703930877672,-0.322671525186457,-0.193057857165871,-0.187717746484168,0.0898206972523422,-0.0334447304913541,-0.450041631935625
-0.0549039361396885,-0.01799629963049,-0.092998020208929,0.205037473819418,-0.0956597519916445,0.158202637899829,-0.750781379286448,0.0911928206330265,0.214209825378054,-0.15636597081609,-0.00250687179929085,-0.154708340268664,-0.322233402477557,-0.193726289104146,-0.188431768709189,0.0867372377652147,-0.0354758323530181,-0.44851610860234
