"","PC1"
"材料.csv",-0.403246973424619
"电子.csv",-0.451506867943648
"房地产及建筑.csv",-0.387676381407578
"服装纺织.csv",-0.79693779897716
"化工.csv",-0.359803603723716
"环保.csv",-0.553028497302577
"交通（航运，铁路）.csv",0.0215138615250143
"金融.csv",-0.497489943570364
"军工.csv",-0.682365200458429
"农业.csv",-0.395566321993033
"其他制造业（如电力）.csv",-0.399385064848065
"汽车.csv",-0.4375154214041
"食品.csv",-0.281178612669627
"文化产业.csv",-0.410316980598951
"物流与供应链.csv",-0.416710116146655
"信息计算机.csv",-0.509846239561271
"医药医疗.csv",-0.384794205239026
"银行.csv",-0.105818747588851
